;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (INR/USD)
2006.0;;;;;;;594.0;;;;;;;;;;;;;;;;;;;;;;;65.42;63.7;;27.85;;18.59;;;587.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007.0;;;;;;;704.0;;;;;;;;;;;;;;;;;;;;;;;63.6;62.23;;24.45;;16.03;;;684.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.12;1.94;-23.97;0.56;0.17;11.37;684.0;25.2;1.5;1.2;8291.0;62.2;74.0;1329.0;34.5;16.0;55601.0;49112.0;7782.0;6.0;8.3;17.1;70.9;-5.2;
2008.0;;;;;;;795.0;;;;;;;;;;;;;;;;;;;;;;;60.37;59.1;;22.92;;14.89;;;698.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.43;2.6;-19.22;0.3;0.2;18.95;698.0;20.0;0.9;0.6;12164.0;59.1;90.0;1811.0;35.0;14.9;63814.0;50734.0;13222.0;7.2;10.3;13.7;88.6;29.1;
2009.0;;;;;;;795.0;;;;;;;;;;;;;;;;;;;;;;;61.05;60.17;;24.21;;15.9;;;783.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.64;2.81;-11.64;0.65;0.19;18.93;783.0;17.2;0.2;1.3;13817.0;60.2;88.0;2197.0;34.3;15.9;66050.0;52202.0;14824.0;7.9;11.2;14.8;76.8;-4.1;
2010.0;;;;;;;795.0;;;;;;;;;;;;;;;;;;;;;;;66.79;65.04;;34.6;;22.79;;;786.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.87;4.53;-27.0;0.79;0.28;22.34;786.0;23.6;1.1;0.7;15612.0;65.0;101.0;3558.0;34.1;22.8;81359.0;65250.0;17548.0;7.9;11.2;20.3;82.5;-2.9;
2011.0;;;;;;;853.0;;;;;;;;;;;;;;;;;;;;;;;69.36;74.22;;36.59;;24.11;;;794.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.75;6.21;-52.5;1.08;0.66;32.07;794.0;22.1;1.4;0.8;20435.0;74.2;161.0;4928.0;34.0;24.1;122252.0;97846.0;25450.0;7.0;10.1;19.4;82.6;8.4;
2012.0;;;;;;;853.0;;;;;;;;;;;;;;;;;;;;;;;72.95;71.95;;33.32;;22.31;;;841.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.3;7.65;-75.82;1.47;0.49;36.04;841.0;20.1;1.4;1.0;28849.0;72.0;203.0;6435.0;33.0;22.3;33131.0;99110.0;30311.0;10.4;10.7;21.2;80.8;-1.6;
2013.0;;;;;;;883.0;;;;;;;;;;;;;;;;;;;;;;;122.98;;;54.97;;37.67;;;872.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.21;10.63;-85.08;2.15;0.4;52.49;872.0;23.6;1.4;0.9;24609.0;;237.0;9270.0;31.3;37.7;264996.0;178246.0;45796.0;7.6;11.1;20.2;79.7;9.6;
2014.0;;;;;;;933.0;;;;;;;;;;;;;;;;;;;;;;;122.91;;;48.07;;31.39;;;924.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.92;10.33;-71.17;2.64;0.45;57.31;924.0;26.7;1.5;1.0;30406.0;;261.0;9544.0;34.0;31.4;332069.0;223177.0;52937.0;7.2;10.9;18.0;74.4;-3.7;
2015.0;551.0;;648.0;;224.0;146.0;933.0;6058.0;6181.0;;5223.0;951.0;-613.0;5.0;603.0;-5.0;-620.0;;;191.0;;71.0;45.0;26.0;120.0;;879.0;419.0;7.0;117.74;;;40.67;76.0;26.52;0.16;0.16;925.0;;43.0;;43.0;76.0;;5938.0;18.0;0.0;1.0;1.0;105.0;;;124.0;6305.0;175.0;;5.0;;;3944.0;;;;3944.0;9166.0;;;18.0;359.0;-21.0;595.0;6173.0;8.0;6181.0;;146.0;7.0;;2.0;-784.0;;;;;16.0;-7.0;;-428.0;446.0;-6.0;-392.0;1.0;;-42.0;1036.0;;33.0;37.0;;0.02;37.22;9.87;-41.91;2.83;0.48;64.26;925.0;26.1;1.3;1.1;34418.0;;455.0;9129.0;33.9;26.5;378598.0;246491.0;59427.0;6.9;10.4;15.4;71.3;-6.6;0.016
2016.0;567.0;;619.0;;185.0;117.0;933.0;6596.0;6796.0;;5809.0;977.0;-748.0;-66.0;820.0;5.0;-757.0;;;216.0;;79.0;52.0;26.0;138.0;;897.0;429.0;7.0;109.12;;;32.6;66.0;20.57;0.13;0.13;926.0;;40.0;;40.0;98.0;;6458.0;19.0;0.0;1.0;1.0;181.0;;;201.0;6997.0;211.0;;5.0;;;4438.0;;;;4438.0;10247.0;;;17.0;381.0;-25.0;604.0;6786.0;10.0;6796.0;;117.0;7.0;;2.0;-972.0;;;;;97.0;-8.0;;-354.0;279.0;17.0;-185.0;1.0;;-43.0;1047.0;;36.0;31.0;;0.02;40.57;8.34;-54.15;3.09;0.6;69.9;926.0;35.2;1.6;1.1;37544.0;;457.0;7723.0;35.7;20.6;436789.0;293933.0;64694.0;5.8;9.0;11.9;63.0;-5.5;0.015
2017.0;620.0;;619.0;;129.0;79.0;932.0;7964.0;8198.0;;7114.0;1068.0;-1002.0;-15.0;1048.0;31.0;-1012.0;;;277.0;;106.0;71.0;35.0;172.0;;1005.0;485.0;8.0;99.86;;;20.74;47.0;12.66;0.08;0.08;926.0;;75.0;;75.0;98.0;;7790.0;20.0;0.0;1.0;1.0;213.0;;;234.0;8432.0;306.0;;5.0;;;5610.0;;;;5610.0;12724.0;;;17.0;438.0;-31.0;644.0;8183.0;15.0;8198.0;;79.0;8.0;;1.0;-1242.0;;;;;152.0;-10.0;;-819.0;794.0;19.0;;0.0;;-44.0;1093.0;;67.0;36.0;;0.02;43.62;5.52;-71.16;3.12;0.68;75.14;926.0;66.5;2.8;0.8;40398.0;;537.0;5116.0;36.8;12.7;518817.0;365475.0;69602.0;4.7;7.5;7.4;43.6;-4.4;0.015
2018.0;795.0;;782.0;;255.0;157.0;954.0;9560.0;9766.0;;8220.0;1524.0;-1466.0;62.0;1389.0;-14.0;-1476.0;;;343.0;;127.0;88.0;39.0;217.0;;1195.0;523.0;8.0;98.4;;;32.13;94.0;19.79;0.17;0.16;953.0;;75.0;;75.0;127.0;;9358.0;21.0;1.0;1.0;2.0;183.0;;;206.0;9972.0;408.0;;6.0;;;6793.0;;;;6793.0;15013.0;;;19.0;514.0;-36.0;1027.0;9744.0;22.0;9766.0;;157.0;8.0;;1.0;-1789.0;;;;;157.0;-11.0;;;1077.0;-1004.0;-8196.0;322.0;;-28.0;9291.0;;53.0;67.0;;0.02;54.27;10.74;-100.78;1.93;0.74;104.03;953.0;42.5;1.7;0.4;51726.0;;552.0;10239.0;36.7;19.8;621979.0;441956.0;99152.0;5.0;7.9;10.3;82.1;19.9;0.015
2019.0;846.0;;1049.0;;409.0;263.0;1010.0;10222.0;10739.0;;9105.0;1623.0;-1739.0;-175.0;1942.0;29.0;-1759.0;;;340.0;;61.0;29.0;32.0;279.0;;1436.0;634.0;11.0;123.87;;;48.33;140.0;31.09;0.26;0.26;1008.0;;166.0;;166.0;92.0;;9964.0;26.0;;5.0;5.0;487.0;;;517.0;11256.0;160.0;;2.0;;;7657.0;;;;7657.0;16761.0;;;18.0;570.0;-40.0;1076.0;10728.0;11.0;10739.0;;263.0;11.0;;4.0;-2115.0;;;;;98.0;-20.0;;-5073.0;4939.0;-21.0;-7988.0;;-0.0;-46.0;9976.0;;77.0;49.0;;0.01;58.31;18.13;-121.16;3.19;1.34;111.79;1008.0;20.7;0.9;0.8;58783.0;;755.0;18273.0;34.3;31.1;709838.0;531707.0;112690.0;6.4;9.7;16.2;82.4;-2.6;0.014
2020.0;865.0;;957.0;;213.0;143.0;1011.0;10068.0;10854.0;;9254.0;1588.0;-413.0;-357.0;803.0;33.0;-429.0;;;351.0;;51.0;24.0;27.0;300.0;;1520.0;726.0;19.0;110.6;;;24.57;69.0;16.49;0.14;0.14;1009.0;;137.0;;137.0;87.0;;9844.0;60.0;;4.0;4.0;723.0;;;786.0;11640.0;92.0;;2.0;;;7577.0;;;;7577.0;16831.0;;;16.0;;-51.0;1623.0;10842.0;12.0;10854.0;;143.0;19.0;;4.0;-851.0;;;;;271.0;-16.0;;-10555.0;10265.0;-52.0;-5505.0;;;-69.0;6376.0;;104.0;71.0;;0.01;64.63;10.66;-32.05;5.12;1.17;118.65;1009.0;15.3;0.4;3.1;65195.0;;1469.0;10751.0;32.2;16.5;758689.0;571020.0;119690.0;5.9;8.6;9.0;51.9;-16.0;0.013
2021.0;929.0;;840.0;;128.0;106.0;1108.0;9993.0;11702.0;;9531.0;2157.0;814.0;-1159.0;348.0;4.0;808.0;;;292.0;;31.0;19.0;12.0;261.0;;1600.0;693.0;21.0;90.39;;;13.74;21.0;11.37;0.1;0.1;1106.0;;477.0;;477.0;133.0;;9383.0;53.0;;3.0;3.0;1652.0;;;1709.0;13410.0;100.0;;2.0;;;7652.0;;;;7652.0;17183.0;;;34.0;722.0;;1400.0;11688.0;14.0;11702.0;;106.0;21.0;;3.0;290.0;;;;;395.0;-6.0;;-10604.0;9665.0;-221.0;-3492.0;420.0;;;3420.0;;111.0;107.0;;0.01;61.47;6.99;53.45;;0.41;142.66;1106.0;24.7;0.8;;67979.0;;1505.0;7732.0;16.5;11.4;731007.0;559746.0;157764.0;5.9;7.0;4.9;100.0;-51.9;0.014
2022.0;899.0;;804.0;;204.0;150.0;1234.0;9791.0;11038.0;;8794.0;2225.0;2.0;410.0;-418.0;-6.0;-37.0;;;349.0;;;;;349.0;;1430.0;582.0;20.0;89.43;;;22.7;53.0;16.65;0.12;0.12;1232.0;;636.0;;636.0;9.0;;9146.0;61.0;6.0;2.0;7.0;1179.0;;;1247.0;12285.0;147.0;;4.0;;;7091.0;;;;7091.0;15884.0;;;32.0;;;2193.0;11019.0;19.0;11038.0;;195.0;20.0;;2.0;-580.0;;;;;365.0;-40.0;;-1596.0;1738.0;307.0;-6671.0;;;-13.0;6266.0;-0.0;101.0;106.0;;0.01;55.43;9.23;-2.29;0.81;2.44;137.18;1232.0;17.6;0.7;0.5;68270.0;;1520.0;11369.0;25.8;16.7;743396.0;538394.0;168963.0;5.3;7.1;6.7;93.3;-35.1;0.013
