;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CHF/USD)
2006.0;4.0;;-15.0;-17.0;-17.0;-17.0;0.0;35.0;38.0;3.0;3.0;35.0;-16.0;-1.0;33.0;16.0;-16.0;;;21.0;8.0;;;;13.0;21.0;0.0;0.0;2.0;-379.66;-441.03;0.0;-433.53;;-433.53;-35.4;-35.4;0.0;;34.0;;34.0;;;1.0;3.0;;0.0;0.0;;;0.0;3.0;;2.0;0.0;0.0;;2.0;;;;;;;0.0;;3.0;-53.0;;84.0;38.0;0.0;38.0;;-17.0;2.0;;0.0;-1.0;;;;;-0.0;-0.0;;;;-0.0;;33.0;-0.0;;-1.0;0.0;34.0;18.0;;0.82;9.94;-43.11;-41.8;;0.75;88.72;0.0;;;;5.0;-441.0;3.0;-21.0;;-433.5;38.0;;42.0;-48.5;-44.3;-48.6;100.0;;0.821
2007.0;0.0;;-29.0;-33.0;-31.0;-31.0;1.0;127.0;132.0;8.0;8.0;124.0;-29.0;-0.0;117.0;87.0;-32.0;;;34.0;11.0;;;;23.0;34.0;2.0;0.0;2.0;-6833.66;-7726.28;2.0;-7205.5;;-7205.5;-36.99;-36.99;1.0;;124.0;;124.0;;;3.0;4.0;;0.0;0.0;;;0.0;5.0;;2.0;;0.0;;6.0;;;;;;;;;5.0;-88.0;;206.0;132.0;0.0;132.0;;-31.0;2.0;;1.0;2.0;;;;;-2.0;-2.0;;;;2.0;;121.0;-0.0;;-4.0;-0.0;124.0;36.0;;0.88;0.58;-41.96;-42.74;;3.26;167.56;1.0;;;;0.0;-7726.3;2.0;-35.0;;-7205.5;134.0;;140.0;-25.0;-23.5;-25.0;100.0;;0.882
2008.0;25.0;;-18.0;-23.0;-21.0;-21.0;1.0;115.0;124.0;12.0;12.0;111.0;-17.0;-2.0;-0.0;-19.0;-22.0;;;48.0;41.0;7.0;7.0;;-0.0;48.0;3.0;0.0;2.0;-72.92;-92.78;3.0;-82.32;;-82.32;-21.64;-21.64;1.0;;112.0;;112.0;;;3.0;8.0;;0.0;0.0;;;0.0;9.0;;;;;;12.0;;;;;;;;;5.0;-114.0;;220.0;124.0;;124.0;;-21.0;2.0;;;3.0;;;;;-1.0;-5.0;;;;3.0;;;-0.0;;-0.0;-0.0;112.0;131.0;;0.94;28.04;-23.08;-24.48;;5.87;124.46;1.0;;;;27.0;-92.8;2.0;-22.0;;-82.3;109.0;;119.0;-18.1;-16.3;-18.5;100.0;;0.937
2009.0;4.0;;-38.0;-42.0;41.0;-41.0;1.0;76.0;86.0;11.0;11.0;75.0;-38.0;-4.0;0.0;-41.0;-42.0;;;46.0;39.0;7.0;7.0;;;46.0;0.0;;3.0;-974.3;-1052.47;83.0;1043.62;;-1043.62;-43.1;-43.1;1.0;;74.0;;74.0;;;2.0;9.0;;0.0;0.0;;;0.0;10.0;;;;;;11.0;;;;0.0;0.0;;;;6.0;-159.0;-13.0;241.0;86.0;;86.0;;-41.0;3.0;;;-0.0;;;;;1.0;-4.0;;;;0.0;;0.0;;;-0.0;0.0;74.0;115.0;;0.97;4.28;-44.67;-45.6;;4.41;81.17;1.0;;;;4.0;-1052.5;3.0;-43.0;;-1043.6;68.0;;78.0;-55.0;-48.2;-55.0;100.0;;0.966
2010.0;2.0;;-33.0;-36.0;-36.0;-36.0;1.0;71.0;79.0;10.0;11.0;69.0;-34.0;-1.0;21.0;-14.0;-34.0;;;38.0;33.0;7.0;7.0;;-2.0;38.0;0.0;0.0;3.0;-1547.1;-1700.93;-0.0;-1703.33;;-1703.33;-36.53;-36.53;1.0;;68.0;;68.0;;;3.0;7.0;;0.0;0.0;;;1.0;8.0;;;;;;10.0;;;;1.0;1.0;;;;7.0;-212.0;-16.0;290.0;79.0;;79.0;;-36.0;3.0;;;-3.0;;;;;2.0;-0.0;;;;-1.0;;6.0;-0.0;;15.0;-0.0;68.0;82.0;;1.07;2.0;-34.12;-32.24;;0.46;65.33;1.0;;;;2.0;-1700.9;3.0;-34.0;;-1703.3;57.0;;64.0;-51.5;-45.1;-52.2;100.0;;1.07
2011.0;3.0;-27.0;-30.0;-33.0;-33.0;-33.0;1.0;41.0;46.0;9.0;10.0;36.0;-28.0;-1.0;-0.0;-30.0;-29.0;30.0;-891.19;6.0;;7.0;7.0;;-1.0;36.0;0.0;0.0;3.0;-990.78;-1097.02;-0.0;-1102.95;;-1102.95;-26.79;-26.79;1.0;;38.0;;38.0;;;2.0;4.0;;0.0;0.0;;;2.0;6.0;;;;;;9.0;;;;1.0;1.0;;;;8.0;-244.0;-19.0;291.0;46.0;;46.0;;-33.0;3.0;;;0.0;;;;;2.0;-0.0;;;;-1.0;;;-0.0;;;-0.0;38.0;68.0;;1.07;2.28;-25.14;-21.6;;0.16;27.32;1.0;;;;3.0;-1097.0;3.0;-31.0;;-1102.9;29.0;;34.0;-88.6;-70.8;-92.0;100.0;;1.066
2012.0;;-1.0;-27.0;-30.0;-30.0;-30.0;1.0;19.0;24.0;5.0;6.0;18.0;-32.0;-0.0;10.0;-23.0;-33.0;1.0;-inf;30.0;5.0;14.0;14.0;;10.0;30.0;0.0;;2.0;-inf;-inf;-0.0;-inf;;-inf;-22.35;-22.35;1.0;;17.0;;17.0;1.0;;1.0;2.0;;0.0;0.0;;;3.0;5.0;;1.0;;0.0;;4.0;;;;1.0;1.0;;;;9.0;-280.0;7.0;282.0;24.0;;24.0;;-30.0;2.0;;1.0;-6.0;;;;;0.0;-0.0;;;;-0.0;;11.0;;;-1.0;-0.0;17.0;39.0;;1.09;;-20.49;-22.59;;0.25;12.35;1.0;;;;;-inf;2.0;-27.0;;-inf;12.0;;16.0;-158.0;-124.1;-165.9;100.0;;1.092
2013.0;;;-15.0;-16.0;-16.0;-16.0;2.0;4.0;7.0;3.0;3.0;3.0;-18.0;0.0;4.0;-14.0;-18.0;0.0;;16.0;2.0;7.0;7.0;;6.0;16.0;0.0;;1.0;-inf;-inf;-0.0;-inf;;-inf;-10.75;-10.75;2.0;;3.0;;3.0;1.0;;0.0;0.0;;0.0;0.0;;;2.0;2.0;;1.0;;0.0;;2.0;;;;1.0;1.0;;;;11.0;-304.0;6.0;291.0;7.0;;7.0;;-16.0;1.0;;0.0;-2.0;;;;;-1.0;;;;;0.0;;4.0;;;-0.0;-0.0;3.0;17.0;;1.12;;-9.57;-10.44;;;2.0;2.0;;;;;-inf;1.0;-14.0;;-inf;2.0;;3.0;-411.0;-245.8;-477.9;100.0;;1.119
2014.0;;;-2.0;-2.0;-2.0;-2.0;2.0;2.0;4.0;2.0;2.0;2.0;-2.0;0.0;0.0;-1.0;-2.0;0.0;;2.0;0.0;2.0;2.0;;-0.0;2.0;0.0;;0.0;-inf;-inf;0.0;-inf;;-inf;-1.09;-1.09;2.0;;2.0;;2.0;0.0;;0.0;0.0;;0.0;0.0;;;2.0;2.0;;1.0;;0.0;0.0;1.0;;;;0.0;0.0;;;;10.0;-275.0;6.0;261.0;4.0;;4.0;;-2.0;0.0;;0.0;-0.0;;;;;-0.0;;;;;0.0;;0.0;;;0.0;0.0;2.0;3.0;;1.01;;-1.07;-1.08;;;1.41;2.0;;;;;-inf;0.0;-2.0;;-inf;1.0;;2.0;-73.0;-45.4;-75.7;100.0;;1.006
2015.0;;;-3.0;-4.0;-4.0;-4.0;2.0;3.0;3.0;1.0;1.0;2.0;-3.0;0.0;3.0;1.0;-3.0;0.0;;3.0;1.0;2.0;2.0;;0.0;3.0;0.0;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-2.33;-2.33;2.0;;3.0;;3.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;0.0;0.0;1.0;;;;0.0;0.0;;;;11.0;-277.0;7.0;261.0;3.0;;3.0;;-4.0;0.0;;0.0;-0.0;;;;;1.0;;;;;0.0;;3.0;;;-0.0;-0.0;3.0;2.0;;1.0;;-2.32;-1.45;;;0.92;2.0;;;;;-inf;0.0;-4.0;;-inf;2.0;;2.0;-142.0;-91.4;-252.6;100.0;;0.998
2016.0;;;-3.0;-3.0;-3.0;-3.0;2.0;2.0;2.0;1.0;1.0;0.0;-3.0;-0.0;1.0;-1.0;-3.0;0.0;;3.0;1.0;1.0;1.0;;1.0;3.0;0.0;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-1.65;-1.65;2.0;;1.0;;1.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;1.0;;0.0;;1.0;;;;0.0;0.0;;;;11.0;-276.0;7.0;258.0;2.0;;2.0;;-3.0;0.0;;0.0;0.0;;;;;0.0;-0.0;;;;0.0;;1.0;;;-0.0;-0.0;1.0;3.0;;0.98;;-1.66;-1.42;;0.01;0.11;2.0;;;;;-inf;0.0;-3.0;;-inf;0.0;;0.0;-725.4;-186.7;-1440.8;100.0;;0.981
