;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
2011.0;;;;;;;;23.0;50.0;25.0;35.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;4.0;13.0;4.0;2.0;23.0;2.0;1.0;3.0;0.0;1.0;;27.0;;7.0;7.0;1.0;5.0;6.0;8.0;1.0;0.0;;10.0;;;;3.0;;-3.0;16.0;50.0;-0.0;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012.0;78.0;47.0;7.0;3.0;2.0;2.0;41.0;30.0;62.0;25.0;44.0;18.0;8.0;-7.0;3.0;5.0;1.0;31.0;59.75;44.0;12.0;36.0;9.0;26.0;-4.0;75.0;0.0;1.0;4.0;8.83;3.57;-1.0;2.66;0.0;2.62;0.05;0.05;39.0;;8.0;;8.0;15.0;5.0;2.0;27.0;2.0;1.0;4.0;0.0;0.0;;31.0;;6.0;5.0;1.0;7.0;6.0;15.0;3.0;0.0;;19.0;;;;3.0;;-1.0;16.0;62.0;0.0;62.0;;2.0;4.0;0.0;0.0;1.0;;-1.0;;;1.0;-7.0;;;;-1.0;-8.0;;-1.0;;12.0;-0.0;8.0;4.0;;1.32;1.51;0.04;0.03;;0.13;0.34;39.0;;;;59.0;3.6;3.0;2.0;7.7;2.6;4.0;12.0;13.0;7.7;4.9;11.7;100.0;57.6;1.319
2013.0;94.0;57.0;10.0;6.0;5.0;5.0;39.0;43.0;77.0;33.0;52.0;24.0;12.0;-5.0;1.0;8.0;8.0;37.0;60.44;51.0;15.0;41.0;11.0;31.0;-5.0;89.0;0.0;1.0;4.0;10.6;6.43;-1.0;5.0;0.0;5.11;0.09;0.09;38.0;;17.0;;17.0;17.0;5.0;4.0;28.0;2.0;2.0;4.0;0.0;1.0;;33.0;;9.0;6.0;1.0;9.0;8.0;16.0;2.0;0.0;0.0;19.0;;;;3.0;;4.0;17.0;77.0;0.0;77.0;;5.0;4.0;-0.0;0.0;2.0;;0.0;;;1.0;-4.0;;;;-1.0;-5.0;;;;6.0;-0.0;17.0;9.0;;1.37;1.82;0.09;0.16;;0.08;0.47;38.0;;;;69.0;6.4;3.0;4.0;0.6;5.1;7.0;12.0;18.0;12.9;7.4;19.8;100.0;;1.375
2014.0;98.0;59.0;9.0;0.0;3.0;2.0;43.0;105.0;161.0;40.0;58.0;103.0;6.0;-38.0;75.0;46.0;-7.0;39.0;60.18;59.0;18.0;46.0;13.0;33.0;-5.0;99.0;0.0;1.0;6.0;9.37;0.41;2.0;2.78;0.0;2.53;0.06;0.06;43.0;;62.0;12.0;74.0;22.0;4.0;4.0;37.0;9.0;9.0;19.0;1.0;0.0;;56.0;;9.0;7.0;1.0;15.0;10.0;14.0;1.0;2.0;1.0;18.0;;;;3.0;;7.0;93.0;161.0;-0.0;161.0;;2.0;6.0;0.0;1.0;-1.0;;-0.0;;;-2.0;-13.0;;-12.0;;-14.0;-6.0;85.0;;;-4.0;3.0;62.0;15.0;;1.21;1.89;0.05;-0.13;;0.24;1.98;43.0;233.7;12.9;;81.0;0.4;5.0;2.0;17.1;2.5;53.0;12.0;85.0;2.5;2.3;2.4;100.0;1244.2;1.21
2015.0;111.0;64.0;4.0;-4.0;-4.0;-3.0;47.0;91.0;157.0;44.0;66.0;90.0;3.0;-3.0;-2.0;-0.0;-9.0;47.0;57.89;69.0;20.0;55.0;15.0;40.0;-6.0;115.0;0.0;1.0;7.0;4.04;-3.81;1.0;-3.18;-0.0;-2.75;-0.07;-0.07;47.0;;55.0;;55.0;25.0;6.0;5.0;42.0;10.0;10.0;21.0;1.0;1.0;;65.0;;11.0;5.0;1.0;18.0;10.0;18.0;0.0;2.0;2.0;23.0;;;;3.0;;2.0;85.0;157.0;;157.0;;-3.0;7.0;-0.0;1.0;-1.0;;-2.0;;;-1.0;-11.0;;-1.0;11.0;-3.0;-7.0;1.0;;;4.0;2.0;55.0;55.0;;1.09;2.16;-0.06;-0.17;;0.22;1.76;47.0;-137.6;-6.9;;102.0;-3.8;7.0;-3.0;12.0;-2.8;44.0;17.0;83.0;-2.2;-1.8;-3.4;100.0;;1.086
2016.0;120.0;71.0;8.0;0.0;-1.0;-3.0;47.0;101.0;170.0;50.0;87.0;83.0;9.0;-13.0;10.0;5.0;-6.0;49.0;59.2;72.0;19.0;57.0;19.0;38.0;-4.0;121.0;0.0;1.0;9.0;6.75;0.09;-1.0;-1.14;2.0;-2.64;-0.06;-0.06;47.0;;59.0;;59.0;32.0;8.0;2.0;47.0;9.0;10.0;20.0;;0.0;2.0;70.0;;14.0;6.0;2.0;19.0;11.0;30.0;4.0;1.0;2.0;37.0;;;;3.0;;-3.0;83.0;170.0;;170.0;;-3.0;9.0;2.0;1.0;0.0;;-3.0;;;0.0;-15.0;;;;-0.0;-5.0;;;;15.0;0.0;59.0;53.0;;1.05;2.42;-0.06;-0.13;;0.31;1.67;47.0;-110.8;-5.0;;114.0;0.1;8.0;-3.0;-130.6;-2.6;48.0;28.0;79.0;-1.3;-0.4;-3.8;100.0;;1.051
2017.0;171.0;96.0;15.0;1.0;-1.0;-2.0;47.0;119.0;285.0;77.0;192.0;93.0;12.0;-71.0;46.0;-15.0;-27.0;75.0;55.96;94.0;24.0;73.0;27.0;47.0;-3.0;170.0;0.0;1.0;15.0;8.79;0.61;-2.0;-0.79;1.0;-1.16;-0.04;-0.04;47.0;;52.0;;52.0;53.0;12.0;2.0;104.0;22.0;34.0;56.0;0.0;0.0;4.0;166.0;;19.0;15.0;7.0;24.0;19.0;98.0;6.0;8.0;2.0;115.0;;;;3.0;;-6.0;96.0;285.0;;285.0;;-2.0;15.0;1.0;1.0;-4.0;;-1.0;;;1.0;-38.0;;;;-38.0;-18.0;;;;63.0;-2.0;52.0;67.0;;1.2;3.01;-0.03;-0.47;;0.68;1.64;47.0;-346.1;-14.7;;143.0;0.6;13.0;-2.0;-47.6;-1.2;35.0;82.0;78.0;-0.1;-0.0;-2.1;100.0;;1.2
2018.0;212.0;117.0;26.0;6.0;4.0;3.0;51.0;194.0;359.0;84.0;203.0;156.0;32.0;-25.0;75.0;83.0;9.0;94.0;55.45;112.0;26.0;86.0;33.0;53.0;1.0;206.0;;2.0;20.0;12.17;2.8;-2.0;1.87;0.0;1.64;0.07;0.07;50.0;;132.0;;132.0;49.0;11.0;2.0;106.0;20.0;30.0;50.0;3.0;0.0;5.0;165.0;;21.0;16.0;5.0;27.0;19.0;106.0;5.0;7.0;1.0;119.0;;;;3.0;;-4.0;157.0;359.0;;359.0;;3.0;20.0;0.0;1.0;6.0;;1.0;;;2.0;-23.0;;-3.0;;-1.0;-25.0;69.0;;;31.0;1.0;132.0;50.0;;1.15;3.71;0.06;0.16;;0.4;2.73;50.0;221.3;8.9;;185.0;2.8;17.0;3.0;12.3;1.6;96.0;92.0;136.0;1.9;1.7;2.2;100.0;-736.4;1.147
2019.0;220.0;123.0;29.0;8.0;5.0;2.0;54.0;214.0;392.0;94.0;232.0;156.0;32.0;-29.0;12.0;15.0;14.0;97.0;55.78;115.0;26.0;91.0;32.0;59.0;-2.0;213.0;;2.0;22.0;13.01;3.57;-3.0;2.2;3.0;0.84;0.03;0.03;53.0;;144.0;;144.0;53.0;14.0;3.0;113.0;23.0;31.0;53.0;3.0;0.0;7.0;177.0;;21.0;19.0;6.0;32.0;23.0;125.0;6.0;6.0;1.0;137.0;;11.0;;3.0;;-2.0;155.0;388.0;3.0;392.0;;2.0;22.0;3.0;0.0;4.0;;-1.0;;;1.0;-18.0;;-0.0;;-13.0;-20.0;;;;32.0;-0.0;144.0;129.0;;1.12;3.72;0.03;0.24;;0.3;2.64;53.0;571.6;23.6;;197.0;3.6;19.0;2.0;60.1;0.8;107.0;111.0;140.0;1.0;1.8;1.2;100.0;;1.121
2020.0;208.0;115.0;17.0;-6.0;-10.0;-9.0;53.0;196.0;400.0;103.0;238.0;163.0;37.0;-35.0;-21.0;-21.0;15.0;93.0;55.15;119.0;33.0;87.0;33.0;55.0;-2.0;212.0;3.0;3.0;24.0;8.15;-2.72;-4.0;-4.8;-1.0;-4.18;-0.16;-0.16;53.0;;136.0;;136.0;45.0;11.0;3.0;121.0;25.0;40.0;65.0;12.0;0.0;5.0;204.0;;22.0;21.0;5.0;37.0;24.0;119.0;7.0;8.0;0.0;134.0;;13.0;;5.0;-9.0;-6.0;173.0;400.0;;400.0;;-9.0;24.0;-1.0;1.0;15.0;;3.0;;;6.0;-22.0;;-0.0;;-21.0;-21.0;;;;1.0;-3.0;136.0;157.0;;1.22;3.19;-0.13;0.23;;0.33;2.49;53.0;-217.3;-5.7;;170.0;-2.7;20.0;-7.0;11.6;-4.2;76.0;98.0;133.0;-2.1;-1.8;-5.4;100.0;;1.221
