;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno
2010.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;-0.0;;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2012.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;;;0.0;-inf;-inf;;-inf;;-inf;-0.8;-0.8;0.0;;0.0;;0.0;;;;0.0;;;;;;;0.0;;0.0;;;;0.0;;;;;;;;;;-0.0;0.0;;0.0;;0.0;;-0.0;0.0;;0.0;-0.0;;;;;;-0.0;;;;;;0.0;;;;;0.0;0.0;;1.0
2013.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;;-0.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;0.0;;0.0;-inf;-inf;0.0;-inf;;-inf;-0.29;-0.29;0.0;;0.0;;0.0;0.0;;0.0;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;0.0;;0.0;;0.0;;-0.0;0.0;;;0.0;;;;;;;;;;;;;;;;;0.0;0.0;;0.96
2014.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.44;-0.44;0.0;;0.0;;0.0;0.0;;0.0;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;0.0;-0.0;0.0;;0.0;;-0.0;;;;-0.0;-0.0;;;;;;;;;;;0.0;;;;;0.0;0.0;;0.89
2015.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.23;-0.23;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;0.0;;0.0;;0.0;;-0.0;;;;0.0;0.0;;;;;;;;;;;;;;0.0;;0.0;0.0;;0.76
2016.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.37;-0.37;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;0.0;;0.0;;0.0;;-0.0;;;;0.0;;;;;;;;;;;;0.0;;;;;0.0;0.0;;0.75
2017.0;;;-0.0;-0.0;-0.0;-0.0;1.0;0.0;2.0;12.0;14.0;-12.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.08;-0.08;1.0;;0.0;;0.0;;;0.0;2.0;;;;;;;2.0;;0.0;2.0;0.0;;9.0;;;;;;3.0;;;;-13.0;0.0;;2.0;;2.0;;-0.0;;;;-0.0;;;;;;;;;;;;0.0;;;;;0.0;0.0;;0.78
2018.0;;-0.0;-5.0;-5.0;-8.0;-8.0;45.0;3.0;14.0;4.0;6.0;8.0;-3.0;-8.0;14.0;3.0;-10.0;0.0;-inf;5.0;;5.0;5.0;;;5.0;;0.0;0.0;-inf;-inf;-3.0;-inf;;-inf;-0.17;-0.17;45.0;;3.0;;3.0;0.0;;0.0;11.0;;0.0;0.0;;;;11.0;;1.0;2.0;0.0;;1.0;2.0;;;0.0;2.0;;;;24.0;-20.0;-0.0;4.0;14.0;;14.0;;-8.0;0.0;;2.0;1.0;-0.0;;1.0;-0.0;2.0;-7.0;0.0;;;-1.0;-0.0;15.0;;;-1.0;0.0;3.0;0.0;;0.73
2019.0;;-0.0;-3.0;-3.0;-4.0;-4.0;68.0;0.0;16.0;4.0;9.0;7.0;0.0;-4.0;0.0;-3.0;-2.0;0.0;-inf;3.0;;3.0;3.0;;;3.0;;0.0;0.0;-inf;-inf;-1.0;-inf;;-inf;-0.05;-0.05;68.0;;0.0;;0.0;0.0;;;16.0;;;;;;0.0;16.0;;2.0;1.0;0.0;;1.0;2.0;3.0;;0.0;5.0;;0.0;;28.0;-24.0;-0.0;3.0;16.0;;16.0;;-4.0;0.0;;0.0;1.0;-0.0;;1.0;0.0;3.0;-3.0;;;;-1.0;-0.0;;;;0.0;0.0;0.0;3.0;;0.77
