;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (KRW/USD)
2000.0;;;;;;;1.0;;;;;;;;;;;;17.04;;;;;;;;;;;-86.42;-86.42;;;;-86.42;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;-inf;-inf;;;;-inf;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;3.0;;;;;;;;;;;;87.5;;;;;;;;;;;37.5;25.0;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;5.0;;;;;;;;;;;;83.82;;;;;;;;;;;58.42;53.86;;40.55;;34.57;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;6.0;;;;;;;;;;;;84.0;;;;;;;;;;;57.27;59.56;;52.51;;45.32;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;7.0;;;;;;;;;;;;69.96;;;;;;;;;;;6.9;-5.0;;-6.47;;-5.68;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;7.0;;;;;;;;;;;;56.68;;;;;;;;;;;-6.46;-29.78;;-24.25;;-54.36;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5622.78;-3056.36;-506.16;;392.29;13467.55;7.0;-0.0;-0.0;;39072.0;-29.8;7113.0;-21238.0;-121.5;-54.4;68687.0;;93585.0;-21.0;-8.2;-22.7;100.0;;
2007.0;;;;;;;7.0;;;;;;;;;;;;51.58;;;;;;;;;;;-31.83;-56.33;;-47.77;;-57.67;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5792.55;-3340.6;-2914.4;;1384.24;10867.72;7.0;-0.0;-0.0;;40252.0;-56.3;7485.0;-23213.0;-15.2;-57.7;62590.0;;75519.0;-26.9;-20.9;-30.7;100.0;;
2008.0;;;;;;;7.0;;;;;;;;;;;;47.77;;;;;;;;;;;17.19;-0.44;;10.9;;-5.22;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7651.57;-399.06;156.86;;843.59;11004.76;7.0;-0.0;-0.0;;53170.0;-0.4;8501.0;-2773.0;58.3;-5.2;64153.0;;76471.0;0.3;0.7;-3.6;100.0;;
2009.0;;;;;;;7.0;;;;;;;;;;;;63.12;;;;;;;;;;;29.84;18.91;;22.58;;12.05;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8260.73;995.41;1797.12;;485.4;12001.32;7.0;0.0;0.0;;57403.0;18.9;5627.0;6917.0;35.1;12.0;74651.0;;83396.0;7.9;11.3;8.3;100.0;;
