;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
2007.0;44.0;16.0;6.0;8.0;6.0;5.0;1.0;138.0;139.0;65.0;118.0;20.0;12.0;-16.0;53.0;47.0;1.0;28.0;35.53;8.0;1.0;7.0;5.0;3.0;;36.0;;;0.0;14.49;17.6;-2.0;14.05;1.0;10.73;5.09;4.35;1.0;;57.0;;57.0;45.0;;36.0;1.0;;0.0;0.0;;;0.0;1.0;;39.0;;2.0;16.0;10.0;;;;53.0;53.0;;;15.0;0.0;1.0;1.0;3.0;139.0;;139.0;;5.0;0.0;;1.0;5.0;-20.0;;20.0;1.0;2.0;-11.0;-5.0;;;-11.0;;;;;53.0;-2.0;57.0;10.0;;0.14;344.19;36.95;5.59;;90.04;161.31;1.0;;;;319.0;17.6;1.0;34.0;23.6;10.7;531.0;;149.0;6.4;4.4;22.9;100.0;;0.137
2008.0;75.0;27.0;12.0;10.0;11.0;10.0;2.0;231.0;292.0;74.0;243.0;49.0;-9.0;-38.0;103.0;53.0;-17.0;48.0;35.64;16.0;2.0;15.0;8.0;6.0;;64.0;;;1.0;16.6;13.68;1.0;14.77;1.0;13.25;6.95;6.51;1.0;;114.0;;114.0;58.0;;59.0;7.0;32.0;17.0;50.0;;0.0;4.0;61.0;;22.0;;3.0;33.0;18.0;;;3.0;166.0;169.0;;;16.0;0.0;-1.0;3.0;30.0;292.0;;292.0;;10.0;1.0;-0.0;1.0;-23.0;-4.0;;-20.0;9.0;1.0;-8.0;-48.0;;;11.0;;;;;103.0;-2.0;114.0;61.0;;0.15;359.93;47.69;-83.8;;38.75;238.49;1.0;;;;508.0;13.7;9.0;67.0;10.3;13.3;1076.0;;337.0;4.5;3.8;20.0;100.0;;0.147
2009.0;132.0;72.0;30.0;22.0;20.0;20.0;2.0;166.0;538.0;166.0;232.0;298.0;77.0;-118.0;-13.0;-54.0;58.0;60.0;54.66;50.0;3.0;48.0;28.0;20.0;;110.0;;;10.0;23.07;16.48;-1.0;15.47;0.0;15.33;10.11;9.58;2.0;;60.0;18.0;78.0;37.0;;51.0;89.0;151.0;118.0;269.0;;0.0;14.0;372.0;;12.0;30.0;7.0;62.0;62.0;11.0;;24.0;31.0;66.0;;;;0.0;-6.0;3.0;301.0;530.0;8.0;538.0;;20.0;10.0;-1.0;2.0;44.0;57.0;;-18.0;-13.0;1.0;-19.0;-82.0;-19.0;2.0;-6.0;-44.0;;;;31.0;-0.0;60.0;114.0;;0.15;451.21;69.15;198.36;;63.3;1017.09;2.0;;;;902.0;16.5;68.0;138.0;1.1;15.3;2.0;73.0;2033.0;5.6;3.9;6.8;100.0;;0.146
2010.0;213.0;125.0;58.0;40.0;38.0;33.0;2.0;252.0;643.0;163.0;228.0;407.0;69.0;-60.0;62.0;70.0;48.0;88.0;58.64;85.0;4.0;81.0;44.0;37.0;;173.0;;2.0;18.0;27.37;18.78;-2.0;17.81;6.0;15.38;7.01;5.37;1.0;;132.0;9.0;141.0;30.0;;81.0;102.0;152.0;119.0;271.0;;1.0;17.0;391.0;;6.0;27.0;14.0;68.0;62.0;8.0;;23.0;34.0;66.0;;;;0.0;21.0;1.0;385.0;635.0;8.0;643.0;;33.0;18.0;-3.0;5.0;15.0;-4.0;;-8.0;14.0;2.0;-22.0;-49.0;-10.0;19.0;-2.0;-43.0;;;;104.0;-2.0;132.0;62.0;;0.15;985.3;151.51;220.63;;99.82;1879.56;1.0;;;;1405.0;18.8;117.0;216.0;15.4;15.4;592.0;54.0;2680.0;7.3;6.4;8.1;100.0;;0.152
2011.0;265.0;152.0;37.0;33.0;28.0;3.0;1.0;265.0;750.0;230.0;311.0;431.0;47.0;-79.0;-7.0;-63.0;-21.0;114.0;57.15;115.0;6.0;109.0;52.0;56.0;;229.0;1.0;5.0;22.0;13.97;12.32;-4.0;10.67;7.0;1.27;2.76;2.76;1.0;;75.0;7.0;82.0;28.0;;155.0;125.0;184.0;120.0;304.0;;1.0;54.0;485.0;;8.0;21.0;21.0;72.0;128.0;7.0;;25.0;48.0;80.0;;;;0.0;18.0;-3.0;417.0;741.0;9.0;750.0;;3.0;22.0;-3.0;5.0;-10.0;-11.0;;1.0;2.0;30.0;-68.0;-14.0;-10.0;11.0;-2.0;-38.0;;;;31.0;-2.0;75.0;138.0;;0.16;1401.35;17.79;-110.85;;359.94;2276.45;1.0;;;;1669.0;12.3;138.0;21.0;23.7;1.3;220.0;47.0;2712.0;2.2;2.0;0.8;100.0;;0.159
2012.0;216.0;78.0;-246.0;-275.0;-277.0;-260.0;2.0;203.0;510.0;267.0;288.0;176.0;-5.0;-73.0;12.0;-34.0;-45.0;138.0;36.16;216.0;5.0;211.0;115.0;96.0;;353.0;;2.0;22.0;-113.98;-127.63;-2.0;-128.38;-9.0;-120.64;-107.18;-107.18;2.0;;30.0;0.0;31.0;38.0;;134.0;85.0;108.0;68.0;176.0;;9.0;38.0;308.0;;8.0;29.0;47.0;86.0;144.0;;;21.0;;21.0;;;;0.0;-241.0;16.0;401.0;464.0;46.0;510.0;;-260.0;22.0;-19.0;15.0;55.0;3.0;;2.0;28.0;182.0;-40.0;-28.0;-7.0;0.0;-1.0;-18.0;;;;31.0;-1.0;30.0;65.0;;0.16;553.53;-667.79;-115.61;;102.43;451.35;2.0;;;;1344.0;-127.6;139.0;-1621.0;3.4;-120.6;-401.0;;1096.0;-131.4;-57.8;-148.0;100.0;;0.161
2013.0;188.0;66.0;-131.0;-105.0;-110.0;-150.0;3.0;112.0;323.0;240.0;257.0;66.0;-27.0;11.0;14.0;-0.0;-32.0;123.0;34.88;157.0;3.0;154.0;92.0;62.0;;280.0;;2.0;21.0;-69.48;-55.74;-5.0;-58.17;-5.0;-79.51;-54.81;-54.81;3.0;;29.0;0.0;30.0;61.0;;21.0;44.0;86.0;37.0;123.0;;13.0;30.0;211.0;;7.0;33.0;49.0;89.0;110.0;;;17.0;;17.0;;;;0.0;-392.0;11.0;447.0;323.0;0.0;323.0;;-150.0;21.0;-5.0;13.0;19.0;-11.0;;7.0;-1.0;76.0;-5.0;5.0;;10.0;0.0;-21.0;10.0;;;24.0;-0.0;29.0;29.0;;0.17;417.4;-331.88;-70.46;;11.7;145.11;3.0;;;;1140.0;-55.7;130.0;-907.0;4.4;-79.5;-777.0;;396.0;-176.2;-47.2;-228.7;100.0;;0.165
2014.0;66.0;22.0;-140.0;-122.0;-165.0;-173.0;7.0;163.0;243.0;240.0;251.0;-8.0;-26.0;18.0;14.0;13.0;-28.0;44.0;33.49;97.0;2.0;95.0;82.0;13.0;;141.0;;20.0;14.0;-210.51;-183.45;-43.0;-248.46;0.0;-261.36;-24.94;-24.94;7.0;;29.0;0.0;29.0;38.0;;96.0;24.0;14.0;20.0;34.0;;2.0;19.0;79.0;;6.0;9.0;49.0;20.0;205.0;;;11.0;;11.0;;;;0.0;-556.0;12.0;536.0;243.0;-1.0;243.0;;-173.0;14.0;-5.0;25.0;0.0;4.0;;0.0;8.0;112.0;-2.0;22.0;-2.0;;0.0;-12.0;;;;26.0;0.0;29.0;16.0;;0.16;59.16;-154.63;-25.12;;2.09;-7.04;7.0;;;;412.0;-183.4;87.0;-1077.0;-0.1;-261.4;-479.0;;-49.0;-5134.4;-63.2;2194.9;100.0;;0.161
2015.0;61.0;23.0;6.0;-55.0;-61.0;10.0;18.0;105.0;155.0;129.0;133.0;22.0;-6.0;9.0;2.0;10.0;-8.0;38.0;37.85;53.0;1.0;52.0;43.0;9.0;;91.0;;8.0;7.0;10.48;-89.97;-6.0;-99.92;-18.0;16.11;0.53;0.53;18.0;;38.0;40.0;77.0;20.0;;8.0;15.0;13.0;16.0;29.0;;5.0;1.0;50.0;;4.0;0.0;61.0;19.0;106.0;;;4.0;;4.0;;;;0.0;-522.0;13.0;531.0;155.0;-0.0;155.0;;10.0;7.0;-20.0;8.0;4.0;-1.0;;-0.0;1.0;-15.0;-2.0;42.0;-115.0;83.0;0.0;-6.0;;;;8.0;-0.0;38.0;28.0;;0.15;21.48;3.46;-2.82;;0.64;7.8;18.0;;;;396.0;-90.0;46.0;64.0;30.1;16.1;-157.0;;144.0;-1.7;-0.4;44.3;100.0;;0.154
2016.0;59.0;25.0;-1.0;-6.0;-4.0;-5.0;19.0;89.0;140.0;121.0;124.0;17.0;3.0;-9.0;-0.0;-7.0;-9.0;34.0;42.06;28.0;1.0;27.0;21.0;6.0;;62.0;;;4.0;-1.16;-10.69;2.0;-7.55;1.0;-8.66;-0.27;-0.27;19.0;;28.0;34.0;63.0;20.0;;6.0;13.0;10.0;14.0;24.0;;4.0;11.0;52.0;;4.0;;57.0;18.0;99.0;;;3.0;;3.0;;;;0.0;-493.0;12.0;497.0;141.0;-0.0;140.0;;-5.0;4.0;0.0;1.0;-1.0;-0.0;;-0.0;-1.0;3.0;-12.0;-0.0;-157.0;160.0;-0.0;-0.0;;;;0.0;0.0;29.0;36.0;;0.14;21.42;-1.86;-3.43;;4.34;6.06;19.0;;;;412.0;-10.7;25.0;-36.0;-19.0;-8.7;-221.0;;117.0;-25.4;-3.0;-30.6;100.0;;0.144
