;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (AUD/USD)
1999.0;13.0;-8.0;-11.0;-12.0;;-11.0;1.0;29.0;37.0;5.0;6.0;32.0;-14.0;-3.0;27.0;10.0;-17.0;21.0;-64.34;4.0;2.0;;;;1.0;25.0;;;1.0;-81.4;-93.8;0.0;;;-88.37;-20.02;-20.02;1.0;;20.0;;20.0;3.0;6.0;-0.0;;;0.0;0.0;;;8.0;8.0;;4.0;1.0;;;0.0;1.0;;;;1.0;;;;54.0;-22.0;-2.0;2.0;37.0;;37.0;;-11.0;1.0;;;-4.0;;-4.0;;;0.0;-3.0;;;;;;28.0;;;-1.0;;20.0;10.0;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;16.0;12.0;-8.0;-8.0;-8.0;-8.0;1.0;29.0;39.0;6.0;7.0;31.0;-11.0;-2.0;12.0;-1.0;-13.0;4.0;73.42;20.0;4.0;;;;16.0;24.0;;;;-51.06;-51.06;;-51.06;0.0;-51.14;-9.62;-9.62;1.0;;17.0;;17.0;4.0;7.0;0.0;;;0.0;0.0;;;10.0;10.0;;5.0;1.0;;;0.0;1.0;;;;1.0;;;;60.0;-28.0;;;39.0;;39.0;;-8.0;;;;2.0;;;;;-5.0;-2.0;;;;0.0;;11.0;;;1.0;0.0;17.0;18.0;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;30.0;-21.0;-22.0;-21.0;-22.0;-22.0;1.0;45.0;61.0;7.0;9.0;52.0;-17.0;-1.0;21.0;2.0;-18.0;52.0;-71.14;;;;;;;52.0;;;;-72.29;-71.14;-0.0;-72.29;0.0;-72.39;-12.93;-12.93;1.0;;31.0;;31.0;5.0;8.0;1.0;;;0.0;0.0;;;16.0;16.0;;5.0;0.0;;;1.0;0.0;;;2.0;3.0;;;;121.0;-69.0;;;61.0;;61.0;;-22.0;;;;2.0;;;;;2.0;-1.0;;;;0.0;;21.0;;;-0.0;0.0;31.0;29.0;;0.51;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;11.0;7.0;-7.0;-11.0;-8.0;-8.0;1.0;29.0;35.0;3.0;4.0;30.0;-4.0;-0.0;9.0;5.0;-4.0;4.0;61.27;17.0;4.0;;;;13.0;22.0;;0.0;1.0;-63.39;-96.97;2.0;-74.61;0.0;-74.83;-8.65;-8.65;1.0;;23.0;;23.0;3.0;4.0;0.0;;;0.0;0.0;;;6.0;6.0;;2.0;0.0;;;0.0;1.0;;;0.0;1.0;;;;77.0;-47.0;-4.0;5.0;35.0;;35.0;;-8.0;1.0;;;3.0;;3.0;;0.0;0.0;;-0.0;;;0.0;;11.0;;;-2.0;-0.0;23.0;18.0;;0.56;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;22.0;17.0;-6.0;-7.0;-7.0;-7.0;1.0;28.0;34.0;4.0;6.0;28.0;-4.0;-0.0;0.0;-6.0;-4.0;5.0;78.22;24.0;6.0;;;;19.0;29.0;;;1.0;-25.93;-31.89;0.0;-31.65;-0.0;-31.63;-7.31;-7.31;1.0;;21.0;;21.0;3.0;4.0;0.0;6.0;;;;;;0.0;6.0;;4.0;0.0;;;0.0;1.0;;;0.0;1.0;;;;93.0;-63.0;-1.0;-0.0;34.0;0.0;34.0;;-7.0;1.0;;;2.0;;1.0;;0.0;-0.0;-1.0;;;;0.0;;1.0;;;-1.0;-2.0;21.0;27.0;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;11.0;8.0;-7.0;-9.0;;-9.0;1.0;49.0;54.0;5.0;20.0;31.0;-7.0;-0.0;26.0;19.0;-8.0;3.0;71.1;17.0;6.0;;;;11.0;20.0;1.0;0.0;1.0;-65.3;-75.77;;;;-76.49;-7.93;-7.93;1.0;;41.0;;41.0;2.0;5.0;1.0;5.0;;;;;;0.0;5.0;;2.0;1.0;;;2.0;1.0;;;15.0;15.0;;;;82.0;-51.0;-7.0;7.0;52.0;2.0;54.0;;-9.0;1.0;;;-0.0;;-1.0;;1.0;0.0;-0.0;;;;0.0;;29.0;-2.0;;-0.0;1.0;41.0;22.0;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;13.0;10.0;-8.0;-9.0;-9.0;-9.0;1.0;43.0;51.0;5.0;5.0;43.0;-10.0;-1.0;5.0;-9.0;-10.0;4.0;73.61;19.0;8.0;;;;11.0;23.0;1.0;0.0;1.0;-59.93;-69.14;-0.0;-69.46;0.0;-69.47;-8.77;-8.77;1.0;;36.0;;36.0;3.0;4.0;1.0;4.0;;;;;;3.0;8.0;;4.0;1.0;;;0.0;0.0;;;0.0;0.0;;;;134.0;-88.0;-3.0;-0.0;48.0;3.0;51.0;;-9.0;1.0;;;-2.0;;-1.0;;;;-1.0;;;;;;5.0;;;-1.0;-3.0;33.0;42.0;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;10.0;6.0;-11.0;-17.0;-13.0;-12.0;1.0;32.0;38.0;5.0;5.0;32.0;-11.0;-0.0;0.0;-10.0;-11.0;4.0;59.66;23.0;9.0;;;;14.0;27.0;1.0;0.0;1.0;-109.46;-165.16;3.0;-132.68;0.0;-120.15;-12.41;-12.63;1.0;;18.0;7.0;25.0;3.0;4.0;1.0;3.0;;;;;;2.0;5.0;;4.0;0.0;;;1.0;;;;0.0;0.0;0.0;;;131.0;-98.0;-2.0;0.0;36.0;2.0;38.0;;-12.0;1.0;;;1.0;;1.0;;-0.0;-1.0;-0.0;;;;0.0;;1.0;;;-1.0;1.0;23.0;33.0;;0.74;13.92;-16.72;-15.21;;0.33;43.75;1.0;-4.8;-0.3;;14.0;-165.2;1.0;-16.0;-0.0;-120.1;38.0;;42.0;-37.8;-33.0;-38.2;100.0;;0.742
2007.0;15.0;9.0;-16.0;-23.0;-21.0;-17.0;1.0;43.0;44.0;5.0;6.0;34.0;-12.0;-0.0;21.0;7.0;-13.0;6.0;59.84;32.0;14.0;;;;18.0;38.0;;0.0;1.0;-109.89;-156.04;2.0;-140.48;-0.0;-115.53;-17.4;-17.4;1.0;;34.0;;34.0;4.0;3.0;2.0;1.0;;;;;;;1.0;;3.0;;;;2.0;;;;0.0;0.0;;;;;-124.0;-4.0;;40.0;3.0;44.0;;-17.0;1.0;;;4.0;;4.0;;-0.0;-1.0;-0.0;;;;0.0;;21.0;;;-0.0;-2.0;33.0;26.0;;0.85;17.75;-20.51;-15.3;;0.31;41.64;1.0;-2.9;-0.2;;17.0;-156.0;1.0;-20.0;0.0;-115.5;44.0;;41.0;-48.9;-42.2;-49.2;100.0;;0.849
2008.0;13.0;9.0;-19.0;-25.0;-24.0;-19.0;1.0;41.0;42.0;7.0;7.0;29.0;-19.0;4.0;16.0;-4.0;-19.0;4.0;69.21;34.0;18.0;;;;16.0;37.0;;0.0;0.0;-149.68;-194.57;1.0;-186.5;0.0;-152.55;-19.98;-19.98;1.0;;27.0;6.0;33.0;5.0;2.0;1.0;1.0;;;;;;;1.0;;3.0;;;;4.0;;;;0.0;0.0;;;;;-155.0;-7.0;;37.0;5.0;42.0;;-19.0;0.0;;;4.0;;2.0;;0.0;-4.0;-0.0;;;;4.0;;18.0;;;-2.0;-5.0;33.0;37.0;;0.96;13.6;-20.75;-20.69;;0.1;31.43;1.0;-1.7;-0.1;;13.0;-194.6;0.0;-20.0;-0.0;-152.6;35.0;;31.0;-65.1;-52.6;-66.0;100.0;;0.958
