;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
2007.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;126.0;126.0;5.0;45.0;81.0;-0.0;-125.0;125.0;125.0;-0.0;0.0;81.33;;;;;;;0.0;1.0;;0.0;81.34;81.33;;81.33;0.0;49.65;1.2;1.2;0.0;;0.0;;0.0;0.0;;125.0;0.0;;;;;0.0;-0.0;0.0;;;;;;5.0;;;;40.0;40.0;;;;0.0;0.0;;81.0;126.0;-0.0;126.0;;0.0;0.0;-0.0;;-0.0;;;;-0.0;0.0;-0.0;;-125.0;;0.0;;131.0;;;-6.0;;0.0;;;0.14;17.02;8.45;-4.24;;0.04;2292.91;0.0;25.2;1.5;;4.0;81.3;0.0;2.0;39.0;49.7;887.0;;592.0;0.2;0.4;0.4;100.0;87436.0;0.137
2008.0;3.0;2.0;0.0;2.0;0.0;0.0;1.0;126.0;126.0;5.0;45.0;81.0;-3.0;3.0;-0.0;0.0;-3.0;1.0;71.33;;;;;;;1.0;3.0;;0.0;16.97;71.33;-2.0;16.96;0.0;11.19;0.48;0.48;1.0;;0.0;;0.0;0.0;;126.0;0.0;;;;;1.0;;1.0;;;;;;5.0;;;;40.0;40.0;;;;0.0;1.0;;81.0;126.0;;126.0;;0.0;0.0;-1.0;;1.0;;;;;-3.0;;;;;3.0;;;;;-0.0;;0.0;0.0;;0.15;29.86;3.34;-31.58;;;832.85;1.0;64.3;3.0;;20.0;71.3;0.0;2.0;34.0;11.2;826.0;;555.0;0.3;0.4;0.4;100.0;;0.147
2009.0;122.0;37.0;34.0;35.0;31.0;22.0;0.0;100.0;110.0;36.0;36.0;74.0;23.0;-22.0;13.0;14.0;22.0;85.0;30.3;2.0;;2.0;1.0;1.0;;88.0;0.0;0.0;2.0;27.42;28.64;-4.0;25.38;9.0;18.29;85.95;83.07;0.0;;22.0;;22.0;40.0;17.0;21.0;9.0;;0.0;0.0;;;;9.0;;19.0;4.0;3.0;;13.0;;;;;;;;;0.0;;;74.0;110.0;;110.0;;22.0;2.0;;2.0;-5.0;-11.0;2.0;5.0;;2.0;-1.0;-21.0;;;0.0;-4.0;;;-3.0;21.0;0.0;22.0;8.0;;0.15;3210.92;587.29;582.36;86.27;30.89;1940.57;0.0;0.4;0.0;38.5;836.0;28.6;16.0;153.0;27.9;18.3;441.0;;505.0;30.5;28.5;30.3;85.3;14.8;0.146
2010.0;162.0;51.0;52.0;;46.0;34.0;1.0;111.0;186.0;48.0;52.0;134.0;31.0;-39.0;25.0;17.0;-3.0;111.0;31.72;4.0;;5.0;4.0;1.0;-1.0;115.0;;1.0;5.0;31.92;;-1.0;28.46;12.0;21.1;61.75;61.75;1.0;;40.0;;40.0;44.0;27.0;;70.0;1.0;5.0;5.0;;;;75.0;;27.0;11.0;3.0;;10.0;4.0;;0.0;;4.0;;;;0.0;134.0;;;186.0;;186.0;;34.0;5.0;;;-9.0;-2.0;-8.0;6.0;;1.0;-34.0;-6.0;;;1.0;-9.0;;;;34.0;-0.0;40.0;23.0;;0.15;1929.35;407.11;-32.51;;401.28;1592.95;1.0;0.4;0.0;;1069.0;;31.0;225.0;25.8;21.1;414.0;25.0;882.0;25.3;25.3;25.6;100.0;;0.152
2011.0;237.0;74.0;73.0;;64.0;47.0;1.0;132.0;272.0;73.0;82.0;190.0;20.0;-69.0;14.0;-35.0;-50.0;163.0;31.33;9.0;;9.0;7.0;2.0;;172.0;;2.0;8.0;30.88;;-1.0;26.85;17.0;19.74;54.95;54.95;1.0;;7.0;;7.0;79.0;46.0;;134.0;1.0;5.0;6.0;;;;140.0;;40.0;20.0;6.0;;12.0;10.0;;0.0;;10.0;;;;;190.0;;;272.0;;272.0;;47.0;8.0;;3.0;-40.0;-30.0;-18.0;12.0;;2.0;-70.0;;;;1.0;-14.0;;;;27.0;-0.0;7.0;42.0;;0.16;1752.15;345.88;-372.82;;518.75;1402.28;1.0;0.3;0.0;;1492.0;;49.0;294.0;26.5;19.7;376.0;60.0;1194.0;24.1;24.0;24.7;100.0;;0.159
2012.0;232.0;61.0;65.0;55.0;53.0;39.0;1.0;135.0;268.0;28.0;37.0;232.0;31.0;-3.0;-20.0;8.0;28.0;171.0;26.37;7.0;;7.0;5.0;2.0;;177.0;0.0;1.0;11.0;28.03;23.51;-2.0;22.75;14.0;16.88;45.95;45.95;1.0;;14.0;;14.0;73.0;47.0;1.0;128.0;1.0;5.0;6.0;;0.0;;133.0;;18.0;2.0;0.0;;8.0;8.0;;0.0;;8.0;;;;0.0;159.0;-33.0;106.0;268.0;;268.0;;39.0;11.0;;1.0;-15.0;3.0;-0.0;-22.0;;-5.0;-3.0;;;;0.0;-20.0;;;;;-0.0;14.0;7.0;;0.16;1697.31;286.43;201.67;;22.93;1695.31;1.0;0.2;0.0;;1445.0;23.5;67.0;244.0;25.8;16.9;663.0;50.0;1443.0;16.8;20.2;16.9;100.0;;0.161
2013.0;154.0;9.0;12.0;3.0;-1.0;-0.0;1.0;145.0;285.0;50.0;51.0;235.0;9.0;-21.0;3.0;-10.0;-7.0;145.0;5.8;6.0;;6.0;5.0;2.0;;151.0;0.0;1.0;12.0;7.58;1.79;-3.0;-0.4;-0.0;-0.22;-0.4;-0.4;1.0;;5.0;;5.0;83.0;51.0;7.0;133.0;1.0;5.0;6.0;;2.0;;140.0;;25.0;16.0;0.0;;9.0;;;0.0;;0.0;;;;0.0;159.0;-33.0;109.0;285.0;;285.0;;-0.0;12.0;;0.0;-8.0;-6.0;-7.0;6.0;;5.0;-16.0;;;1.0;-6.0;-2.0;;;-2.0;6.0;-0.0;5.0;15.0;;0.17;1095.87;-2.39;-52.81;13.9;114.03;1667.57;1.0;-26.4;-1.6;22.0;933.0;1.8;70.0;-2.0;45.0;-0.2;575.0;;1420.0;0.0;0.0;-0.1;682.2;;0.165
2014.0;167.0;17.0;10.0;10.0;-2.0;-5.0;1.0;157.0;279.0;46.0;46.0;233.0;4.0;2.0;-1.0;5.0;4.0;150.0;10.06;7.0;;7.0;5.0;2.0;;157.0;;1.0;11.0;5.86;5.85;-12.0;-1.34;3.0;-2.93;-5.76;-5.76;1.0;;10.0;;10.0;89.0;53.0;5.0;116.0;1.0;5.0;5.0;;1.0;0.0;123.0;;20.0;14.0;2.0;;13.0;;;0.0;;0.0;;;;0.0;149.0;-22.0;106.0;279.0;;279.0;;-5.0;11.0;;0.0;-14.0;-9.0;-4.0;-5.0;;11.0;;;;;2.0;-12.0;;;-0.0;11.0;0.0;10.0;5.0;;0.16;1218.92;-35.66;26.69;1.77;;1700.52;1.0;-0.9;-0.1;5.3;1038.0;5.8;70.0;-30.0;-118.5;-2.9;688.0;;1448.0;-1.4;-0.5;-2.1;105.0;;0.161
2015.0;157.0;19.0;-41.0;14.0;-52.0;-56.0;1.0;135.0;202.0;35.0;35.0;167.0;25.0;-27.0;-7.0;-9.0;-0.0;137.0;12.33;6.0;;6.0;3.0;2.0;;143.0;0.0;1.0;11.0;-26.2;8.79;-66.0;-33.34;4.0;-35.63;-65.57;-65.57;1.0;;0.0;;0.0;81.0;47.0;7.0;63.0;;2.0;2.0;;1.0;;67.0;;17.0;6.0;1.0;;11.0;;;0.0;;0.0;;;;0.0;85.0;-20.0;102.0;202.0;;202.0;;-56.0;11.0;;;4.0;6.0;3.0;-2.0;;66.0;-25.0;;;;-2.0;-15.0;;;-0.0;8.0;0.0;0.0;9.0;;0.15;1194.84;-425.72;-3.19;1.77;193.47;1276.71;1.0;-0.1;-0.0;6.9;1017.0;8.8;69.0;-362.0;-6.9;-35.6;653.0;;1087.0;-32.9;-25.5;-33.3;100.4;;0.154
2016.0;114.0;-4.0;-39.0;11.0;-46.0;-46.0;1.0;112.0;134.0;23.0;23.0;111.0;-1.0;6.0;-5.0;-0.0;-1.0;119.0;-3.79;7.0;;9.0;7.0;2.0;-2.0;125.0;0.0;0.0;6.0;-34.17;9.37;-56.0;-39.84;1.0;-40.54;-50.3;-50.3;1.0;;0.0;;0.0;81.0;31.0;0.0;19.0;;1.0;1.0;1.0;1.0;0.0;22.0;;12.0;;1.0;;11.0;;;;;;;;;0.0;33.0;-19.0;96.0;134.0;;134.0;;-46.0;6.0;;;-8.0;-10.0;3.0;-4.0;;47.0;;;;;6.0;-6.0;1.0;;;;-0.0;0.0;0.0;;0.14;862.14;-349.53;-9.43;;;839.01;1.0;-0.0;-0.0;;794.0;9.4;45.0;-322.0;-1.8;-40.5;623.0;;772.0;-41.6;-33.9;-41.7;100.0;;0.144
