;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ARS/USD)
2012.0;521.0;;237.0;;84.0;66.0;19.0;;;;;;;-12.0;-51.0;183.0;227.0;;;;;268.0;250.0;18.0;-1.0;;441.0;138.0;18.0;45.46;;;16.03;15.0;12.72;3.44;3.44;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66.0;;;;;;;;;-66.0;-5.0;;;;-8.0;;;;-5.0;-46.0;;446.0;263.0;;0.2;132.96;16.92;57.83;1.26;1.19;;19.0;;;;2564.0;;86.0;326.0;18.3;12.7;;;;;;;92.5;2.2;0.203
2013.0;507.0;;253.0;74.0;74.0;57.0;19.0;2518.0;2672.0;;2464.0;207.0;57.0;-14.0;21.0;91.0;51.0;;;;;256.0;242.0;14.0;3.0;;440.0;165.0;16.0;49.83;14.57;;14.57;15.0;11.29;2.97;2.97;19.0;;426.0;0.0;426.0;386.0;;1706.0;26.0;9.0;21.0;30.0;97.0;;;154.0;2826.0;31.0;;52.0;;;127.0;;;;127.0;2591.0;;;19.0;57.0;117.0;14.0;2672.0;;2672.0;;57.0;;;;;;;;;-0.0;-7.0;;;-1.0;-13.0;;;;-1.0;22.0;;427.0;337.0;;0.15;171.33;19.34;17.12;0.45;2.22;70.14;19.0;;;;3304.0;14.6;103.0;373.0;20.3;11.3;16417.0;825.0;1352.0;7.1;8.9;27.6;97.7;2.6;0.153
2014.0;491.0;;312.0;;67.0;42.0;19.0;2607.0;2715.0;;2515.0;199.0;;-42.0;-39.0;147.0;200.0;;;;;260.0;249.0;11.0;3.0;;543.0;232.0;14.0;63.45;;;13.68;23.0;8.63;2.2;2.2;19.0;;441.0;20.0;461.0;375.0;;1771.0;28.0;6.0;19.0;25.0;55.0;;;108.0;2823.0;42.0;;57.0;;;133.0;;;;133.0;2649.0;;;15.0;42.0;132.0;11.0;2715.0;;2715.0;;42.0;;;;;;;;;-42.0;-6.0;;;-0.0;-36.0;;;;-1.0;-38.0;;473.0;326.0;;0.12;218.19;18.82;88.65;0.43;2.69;88.52;19.0;;;;4207.0;;120.0;363.0;34.6;8.6;22319.0;1141.0;1707.0;7.2;11.0;21.3;97.7;0.5;0.117
2015.0;481.0;;295.0;;72.0;52.0;19.0;2495.0;2553.0;;2370.0;183.0;;-15.0;67.0;276.0;189.0;;;;;251.0;239.0;13.0;-1.0;;499.0;211.0;12.0;61.28;;;15.06;19.0;10.83;2.7;2.7;19.0;;536.0;1.0;537.0;338.0;;1621.0;18.0;3.0;16.0;19.0;20.0;;;58.0;2611.0;22.0;;65.0;;;148.0;;;;148.0;2517.0;;;19.0;52.0;105.0;7.0;2553.0;;2553.0;;52.0;;;;;;;;;-52.0;;;;;-15.0;;;;-1.0;68.0;;588.0;313.0;;0.08;322.84;34.96;127.05;0.38;;123.1;19.0;;;;6225.0;;158.0;674.0;26.4;10.8;32293.0;1912.0;2374.0;8.1;11.1;28.4;98.9;0.3;0.077
2016.0;618.0;;390.0;;115.0;83.0;64.0;3228.0;3350.0;;2913.0;436.0;;-30.0;150.0;130.0;-50.0;;;;;270.0;255.0;14.0;-16.0;;656.0;262.0;13.0;63.07;;;18.69;32.0;13.36;1.28;1.28;64.0;;536.0;0.0;536.0;1004.0;;1689.0;42.0;2.0;16.0;18.0;62.0;;;121.0;3471.0;17.0;;;;;317.0;;;;317.0;3230.0;;;23.0;83.0;126.0;205.0;3350.0;;3350.0;;83.0;;;;;;;;;-83.0;-31.0;-0.0;-0.0;-0.0;-30.0;-8.0;208.0;;-2.0;-48.0;;610.0;480.0;;0.06;152.27;20.34;-12.23;0.4;7.67;107.54;64.0;0.7;0.0;3.0;9815.0;;210.0;1311.0;27.3;13.4;51278.0;5033.0;6932.0;8.2;11.2;18.9;98.1;415.4;0.063
2017.0;765.0;;466.0;;173.0;131.0;79.0;4874.0;5042.0;;4230.0;813.0;;-15.0;637.0;844.0;159.0;;;;;326.0;311.0;15.0;-2.0;;808.0;280.0;14.0;60.93;;;22.54;41.0;17.08;1.66;1.66;79.0;;621.0;2.0;623.0;1444.0;;2807.0;54.0;1.0;16.0;17.0;97.0;;;168.0;5211.0;40.0;;51.0;;;665.0;;;;665.0;4895.0;;;25.0;131.0;175.0;483.0;5042.0;;5042.0;;131.0;;;;;;;;;-131.0;-9.0;;;2.0;-8.0;-57.0;313.0;;-4.0;384.0;;1364.0;520.0;;0.05;181.56;31.02;37.79;0.83;2.24;192.76;79.0;0.6;0.0;4.3;14265.0;;268.0;2437.0;24.0;17.1;90836.0;12397.0;15145.0;6.8;9.0;16.1;97.3;-194.5;0.054
2018.0;742.0;;420.0;;-54.0;-80.0;91.0;3097.0;3760.0;;3310.0;450.0;106.0;-82.0;-24.0;407.0;72.0;;;;;325.0;302.0;22.0;-160.0;;813.0;462.0;11.0;56.62;;;-7.32;27.0;-10.83;-0.88;-0.88;91.0;;894.0;0.0;894.0;380.0;;1823.0;58.0;46.0;26.0;72.0;533.0;;;663.0;4424.0;15.0;;51.0;;;284.0;3.0;6.0;;293.0;3603.0;;;12.0;-167.0;152.0;453.0;3760.0;0.0;3760.0;;-80.0;11.0;27.0;;324.0;;;;59.0;-176.0;-34.0;-49.0;-6.0;;6.0;-2015.0;;;-9.0;2000.0;407.0;1246.0;839.0;;0.03;306.03;-33.15;29.8;3.59;13.84;185.61;91.0;-0.5;-0.0;20.4;27954.0;;432.0;-3028.0;-49.4;-10.8;116731.0;10691.0;16954.0;16.2;10.9;-17.9;110.8;;0.027
2019.0;677.0;;580.0;;-33.0;-36.0;91.0;2143.0;2483.0;;2092.0;391.0;-40.0;-22.0;-248.0;-740.0;-59.0;;;;;334.0;317.0;18.0;-90.0;;755.0;583.0;30.0;85.74;;;-4.9;3.0;-5.31;-0.39;-0.39;91.0;;441.0;;441.0;248.0;;1454.0;67.0;45.0;28.0;73.0;200.0;;;340.0;2823.0;37.0;;23.0;;;153.0;3.0;8.0;;165.0;2256.0;16.0;;8.0;-240.0;181.0;443.0;2483.0;0.0;2483.0;;-36.0;30.0;3.0;;-147.0;;;;-1280.0;109.0;-19.0;-3.0;;;0.0;-2227.0;;;-8.0;1987.0;-430.0;467.0;1207.0;;0.02;443.64;-23.55;-38.55;5.1;12.19;256.35;91.0;-0.2;-0.0;87.4;40524.0;;1815.0;-2152.0;-8.5;-5.3;128312.0;9153.0;23416.0;24.0;22.2;-9.2;121.7;;0.017
2020.0;640.0;;418.0;;50.0;42.0;91.0;2169.0;2963.0;;2539.0;424.0;267.0;-52.0;-169.0;17.0;211.0;;;;;290.0;276.0;14.0;-51.0;;772.0;340.0;29.0;65.29;;;7.75;8.0;6.5;0.44;0.44;91.0;;436.0;;436.0;321.0;;1412.0;84.0;43.0;37.0;81.0;630.0;;;795.0;3758.0;16.0;;37.0;;;78.0;2.0;0.0;;81.0;2620.0;14.0;;5.0;24.0;16.0;378.0;2963.0;0.0;2963.0;;42.0;29.0;8.0;;544.0;;;;35.0;-354.0;-56.0;-0.0;-1.0;;5.0;-371.0;;;-6.0;208.0;123.0;469.0;452.0;;0.01;589.51;38.32;194.51;5.8;51.72;390.29;91.0;0.1;0.0;246.9;53849.0;;2407.0;3500.0;16.1;6.5;182391.0;6549.0;35651.0;11.0;13.1;9.8;84.9;3.0;0.012
2021.0;561.0;;633.0;;-0.0;-8.0;91.0;2611.0;3820.0;;3300.0;520.0;87.0;-47.0;-122.0;-145.0;37.0;;;;;336.0;316.0;20.0;;;1010.0;592.0;41.0;112.82;;;-0.05;8.0;-1.49;-0.09;-0.09;91.0;;317.0;;317.0;622.0;;1672.0;107.0;54.0;58.0;111.0;990.0;;;1209.0;5030.0;125.0;;34.0;;;24.0;2.0;1.0;;26.0;3326.0;13.0;;4.0;37.0;8.0;470.0;3820.0;0.0;3820.0;;-0.0;41.0;;;440.0;;;;-474.0;-393.0;-50.0;;;;3.0;-91.0;;;-5.0;-27.0;104.0;436.0;580.0;;0.01;630.4;-9.42;41.72;5.63;56.54;584.32;91.0;-0.2;-0.0;265.8;57584.0;;4227.0;-860.0;-2821.4;-1.5;268089.0;2418.0;53374.0;452.5;15.5;-1.6;1845.7;;0.01
