;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (DKK/USD)
2007.0;12.0;12.0;-11.0;-12.0;-11.0;-11.0;18.0;49.0;52.0;4.0;4.0;47.0;-11.0;-1.0;-1.0;-13.0;-12.0;;100.0;24.0;21.0;3.0;3.0;;-0.0;24.0;;;;-91.79;-104.35;1.0;-91.79;;-91.79;-0.63;-0.63;18.0;;48.0;1.0;49.0;;;0.0;2.0;;;;0.0;;0.0;2.0;;1.0;1.0;;;2.0;0.0;;;;0.0;;;;3.0;44.0;-6.0;6.0;52.0;;52.0;;-11.0;;;;-1.0;;;;;0.0;-0.0;;;;-0.0;-1.0;;;;;;48.0;61.0;;0.2;3.39;-3.11;-3.39;;0.13;13.71;18.0;;;;60.0;-104.3;;-55.0;;-91.8;232.0;1.0;242.0;-22.6;-20.9;-22.7;100.0;;0.196
2008.0;11.0;11.0;-6.0;-8.0;-6.0;-6.0;18.0;40.0;42.0;3.0;3.0;39.0;-5.0;-1.0;-1.0;-7.0;-6.0;;100.0;19.0;16.0;3.0;3.0;;-0.0;19.0;;;;-59.96;-79.43;2.0;-59.96;;-59.96;-0.37;-0.37;18.0;;39.0;0.0;40.0;;;0.0;2.0;;;;0.0;;0.0;2.0;;1.0;;;;2.0;;;;;;;;;3.0;36.0;-7.0;7.0;42.0;;42.0;;-6.0;;;;0.0;;;;;1.0;-1.0;;;;-0.0;-1.0;;;;;0.0;39.0;46.0;;0.19;3.18;-1.91;-1.81;;0.19;11.8;18.0;;;;56.0;-79.4;;-34.0;;-60.0;197.0;;209.0;-16.2;-15.0;-16.2;100.0;;0.188
2009.0;5.0;;-14.0;-15.0;-15.0;-15.0;18.0;28.0;31.0;5.0;5.0;26.0;-12.0;-1.0;;-13.0;-13.0;;;20.0;18.0;3.0;3.0;;-1.0;20.0;1.0;0.0;1.0;-284.06;-315.67;1.0;-299.02;;-299.02;-0.85;-0.85;18.0;;28.0;0.0;28.0;;;0.0;2.0;;;;0.0;;0.0;2.0;;1.0;;;;4.0;;;;;;;;;3.0;22.0;;;31.0;;31.0;;-15.0;1.0;;;2.0;;;;;0.0;-1.0;;;;-0.0;;;;;;;28.0;40.0;;0.19;1.43;-4.28;-3.68;;0.2;7.52;18.0;;;;25.0;-315.7;4.0;-76.0;;-299.0;121.0;;133.0;-56.9;-47.6;-57.0;100.0;;0.193
2010.0;16.0;;-19.0;-20.0;-19.0;-19.0;23.0;79.0;81.0;8.0;8.0;73.0;-10.0;-10.0;63.0;43.0;-11.0;;;35.0;27.0;7.0;7.0;;1.0;35.0;1.0;0.0;;-119.71;-124.43;1.0;-119.78;;-119.78;-1.06;-1.06;23.0;;69.0;10.0;78.0;;;0.0;2.0;;;;;;0.0;2.0;;2.0;;;;6.0;;;;;;;;;4.0;69.0;;;81.0;;81.0;;-19.0;;;;3.0;;;;;6.0;-1.0;;-9.0;;-0.0;;71.0;-8.0;;;;69.0;26.0;;0.18;3.82;-4.58;-2.63;;0.19;17.8;23.0;;;;87.0;-124.4;;-105.0;;-119.8;394.0;;407.0;-25.7;-23.2;-25.7;100.0;;0.179
2011.0;25.0;25.0;3.0;2.0;2.0;2.0;23.0;78.0;82.0;5.0;5.0;77.0;-0.0;-19.0;1.0;-18.0;-2.0;0.0;99.92;23.0;22.0;6.0;6.0;;-5.0;23.0;1.0;0.0;1.0;13.67;6.16;1.0;9.4;;9.4;0.1;0.1;23.0;;48.0;26.0;74.0;4.0;;0.0;3.0;;;;;;0.0;4.0;;1.0;;;2.0;2.0;;;;;;;;;4.0;73.0;-8.0;8.0;82.0;;82.0;;2.0;1.0;;;-5.0;;;;;2.0;-2.0;;-17.0;;-0.0;;1.0;-0.0;;;;48.0;67.0;;0.17;6.22;0.58;-0.58;;0.5;19.29;23.0;;;;142.0;6.2;4.0;13.0;;9.4;421.0;;441.0;3.5;3.3;3.0;100.0;60.7;0.174
2012.0;40.0;37.0;7.0;6.0;6.0;6.0;23.0;88.0;92.0;5.0;5.0;87.0;12.0;2.0;;14.0;11.0;3.0;92.87;31.0;32.0;5.0;5.0;;-6.0;34.0;1.0;0.0;1.0;18.73;14.49;1.0;16.27;;16.27;0.28;0.28;23.0;;63.0;22.0;86.0;1.0;;1.0;4.0;;;;;;0.0;4.0;;2.0;;;1.0;3.0;;;;;;;;;4.0;83.0;-9.0;9.0;92.0;;92.0;;6.0;1.0;;2.0;2.0;;;;;-0.0;-2.0;;-17.0;21.0;-0.0;;;;;;-0.0;63.0;49.0;;0.18;9.88;1.61;2.64;;0.39;21.7;23.0;;;;224.0;14.5;5.0;36.0;;16.3;467.0;;491.0;7.4;7.0;7.4;100.0;;0.177
2013.0;1.0;1.0;-33.0;-34.0;-34.0;-34.0;23.0;60.0;64.0;6.0;6.0;58.0;-31.0;18.0;;-13.0;-32.0;0.0;86.74;35.0;30.0;6.0;6.0;;-1.0;35.0;1.0;0.0;1.0;-2702.83;-2823.52;0.0;-2793.98;;-2793.98;-1.49;-1.49;23.0;;53.0;4.0;57.0;2.0;;1.0;4.0;;;;;;0.0;4.0;;2.0;;;0.0;3.0;;;;;;;;;4.0;54.0;-11.0;11.0;64.0;;64.0;;-34.0;1.0;;2.0;-1.0;-1.0;;0.0;;1.0;-1.0;;-9.0;27.0;-0.0;;;;;;0.0;53.0;66.0;;0.18;0.29;-8.12;-7.7;;0.2;13.97;23.0;;;;7.0;-2823.5;6.0;-184.0;;-2794.0;294.0;;316.0;-58.1;-52.9;-58.1;100.0;;0.184
2014.0;25.0;23.0;-10.0;-12.0;-12.0;-11.0;23.0;94.0;97.0;12.0;56.0;41.0;-7.0;3.0;44.0;41.0;-8.0;2.0;91.04;35.0;29.0;6.0;6.0;;-1.0;37.0;0.0;0.0;1.0;-41.97;-47.82;0.0;-47.14;-1.0;-42.26;-0.47;-0.47;23.0;;87.0;;87.0;6.0;;0.0;3.0;;;;;;0.0;3.0;;3.0;1.0;;2.0;6.0;43.0;;;;43.0;;;;4.0;37.0;-10.0;10.0;97.0;;97.0;;-11.0;1.0;;0.0;3.0;;;;;-0.0;-1.0;;;4.0;-0.0;;;;;44.0;0.0;87.0;47.0;;0.16;6.8;-2.87;-2.06;;0.2;11.17;23.0;;;;154.0;-47.8;6.0;-65.0;10.3;-42.3;499.0;267.0;253.0;-12.2;-11.8;-25.7;100.0;;0.163
2015.0;27.0;24.0;-12.0;-12.0;-17.0;-17.0;24.0;90.0;92.0;10.0;56.0;37.0;-33.0;-1.0;14.0;-14.0;-33.0;3.0;88.14;36.0;31.0;6.0;6.0;;-2.0;39.0;0.0;5.0;1.0;-43.11;-43.33;-6.0;-63.85;-1.0;-60.72;-0.7;-0.7;24.0;;61.0;;61.0;25.0;;3.0;2.0;;;;;;0.0;3.0;;3.0;;;0.0;7.0;46.0;;;;46.0;;;;4.0;33.0;-10.0;10.0;92.0;;92.0;;-17.0;1.0;;2.0;-20.0;;;;;1.0;-1.0;;;;0.0;;14.0;;;;5.0;64.0;78.0;;0.15;7.94;-4.82;-9.71;;0.17;10.67;24.0;;;;188.0;-43.3;6.0;-114.0;4.9;-60.7;546.0;313.0;252.0;-14.7;-13.7;-45.2;100.0;;0.145
2016.0;33.0;29.0;-17.0;-16.0;-23.0;-22.0;24.0;53.0;98.0;12.0;59.0;39.0;6.0;-42.0;22.0;-14.0;5.0;4.0;86.6;45.0;38.0;7.0;7.0;;-0.0;50.0;0.0;5.0;1.0;-51.9;-49.26;-6.0;-67.9;-1.0;-65.56;-0.9;-0.9;24.0;;46.0;;46.0;3.0;;4.0;2.0;;;;;;44.0;45.0;;3.0;0.0;;;9.0;47.0;;;;47.0;;;;4.0;-168.0;-7.0;211.0;98.0;;98.0;;-22.0;1.0;-1.0;3.0;22.0;;;;;3.0;-0.0;;;;-42.0;;19.0;;;3.0;1.0;46.0;59.0;;0.14;9.66;-6.33;1.58;;0.11;11.44;24.0;;;;235.0;-49.3;5.0;-154.0;3.5;-65.6;286.0;329.0;278.0;-20.2;-18.3;-55.3;100.0;;0.141
