;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (RUB/USD)
2010.0;201.0;79.0;36.0;27.0;27.0;23.0;52.0;340.0;442.0;359.0;365.0;75.0;213.0;-44.0;-12.0;156.0;208.0;123.0;39.08;51.0;;42.0;35.0;7.0;9.0;173.0;0.0;0.0;6.0;17.72;13.26;0.0;13.34;7.0;11.26;0.44;0.43;52.0;;225.0;38.0;263.0;46.0;1.0;29.0;5.0;54.0;14.0;68.0;10.0;4.0;15.0;102.0;;2.0;1.0;4.0;236.0;120.0;1.0;1.0;3.0;1.0;6.0;;;;0.0;14.0;0.0;61.0;441.0;1.0;442.0;;23.0;6.0;;;187.0;;-1.0;32.0;-1.0;-2.0;-5.0;;-50.0;7.0;2.0;-3.0;;;-12.0;3.0;-0.0;225.0;69.0;;0.03;118.42;13.33;122.42;7.12;2.96;44.37;52.0;;;;6158.0;13.3;191.0;693.0;24.9;11.3;-580.0;31.0;2307.0;27.2;6.7;30.1;46.6;5.8;0.033
2011.0;253.0;80.0;29.0;28.0;26.0;16.0;52.0;375.0;474.0;396.0;401.0;76.0;64.0;11.0;-15.0;59.0;59.0;173.0;31.69;51.0;;42.0;38.0;5.0;8.0;223.0;0.0;0.0;5.0;11.29;11.05;-2.0;10.13;7.0;6.37;0.31;0.31;52.0;;273.0;9.0;283.0;49.0;2.0;42.0;5.0;51.0;12.0;63.0;21.0;3.0;7.0;99.0;;2.0;4.0;5.0;236.0;155.0;2.0;1.0;2.0;1.0;5.0;;;;0.0;16.0;1.0;58.0;477.0;-3.0;474.0;;16.0;5.0;;;36.0;;;49.0;-1.0;6.0;-4.0;;-20.0;35.0;-2.0;-1.0;;;-13.0;-1.0;0.0;273.0;214.0;;0.03;156.89;10.0;36.73;8.17;2.67;46.96;52.0;;;;8158.0;11.0;157.0;520.0;29.1;6.4;-665.0;68.0;2442.0;20.7;5.0;21.3;18.3;22.2;0.031
2012.0;291.0;113.0;48.0;49.0;48.0;30.0;52.0;510.0;612.0;526.0;530.0;83.0;114.0;-49.0;-28.0;37.0;112.0;178.0;38.79;58.0;;48.0;47.0;1.0;10.0;236.0;1.0;0.0;4.0;16.41;16.67;-1.0;16.34;13.0;10.21;0.57;0.57;52.0;;325.0;57.0;382.0;57.0;1.0;70.0;3.0;54.0;11.0;65.0;23.0;3.0;7.0;101.0;;3.0;1.0;5.0;324.0;198.0;1.0;1.0;1.0;;4.0;;;;0.0;19.0;3.0;61.0;613.0;-2.0;612.0;;30.0;4.0;;2.0;72.0;;-0.0;132.0;-11.0;6.0;-3.0;;-54.0;9.0;-3.0;-1.0;;;-28.0;0.0;0.0;325.0;288.0;;0.03;171.37;17.5;65.79;16.65;1.5;49.0;52.0;;;;8911.0;16.7;137.0;910.0;28.0;10.2;-477.0;39.0;2548.0;35.7;7.1;35.7;4.9;25.3;0.033
2013.0;355.0;160.0;80.0;77.0;74.0;57.0;52.0;497.0;628.0;540.0;546.0;85.0;144.0;-36.0;-56.0;51.0;132.0;194.0;45.17;75.0;;62.0;57.0;5.0;13.0;269.0;1.0;1.0;3.0;22.5;21.8;-3.0;20.96;19.0;16.06;1.09;1.09;52.0;;354.0;50.0;403.0;26.0;1.0;66.0;9.0;50.0;24.0;73.0;42.0;6.0;1.0;131.0;;11.0;0.0;3.0;377.0;152.0;3.0;1.0;2.0;0.0;6.0;;;;0.0;17.0;11.0;57.0;631.0;-3.0;628.0;;57.0;3.0;;7.0;66.0;;;48.0;8.0;10.0;-11.0;;-87.0;64.0;-8.0;-0.0;;;-57.0;1.0;0.0;354.0;302.0;;0.03;224.2;36.0;83.61;36.15;7.21;53.78;52.0;0.9;0.1;110.5;11666.0;21.8;113.0;1873.0;24.9;16.1;-1411.0;109.0;2799.0;62.7;12.1;66.9;-0.4;43.2;0.03
2014.0;253.0;128.0;109.0;69.0;101.0;86.0;54.0;433.0;517.0;372.0;374.0;147.0;82.0;-28.0;3.0;94.0;73.0;125.0;50.59;57.0;;45.0;36.0;9.0;12.0;182.0;0.0;1.0;6.0;42.89;27.24;32.0;39.83;15.0;34.13;1.62;1.59;53.0;;294.0;37.0;330.0;16.0;2.0;85.0;7.0;28.0;13.0;41.0;31.0;4.0;2.0;84.0;;8.0;0.0;2.0;263.0;100.0;1.0;0.0;1.0;0.0;2.0;;;;0.0;46.0;17.0;85.0;521.0;-4.0;517.0;;86.0;6.0;;7.0;13.0;;;62.0;-1.0;-31.0;-9.0;;-44.0;27.0;-6.0;-0.0;52.0;;-51.0;1.0;36.0;294.0;200.0;;0.02;275.65;94.09;79.45;55.07;9.6;160.57;53.0;0.4;0.0;152.9;14719.0;27.2;353.0;5024.0;15.3;34.1;3535.0;42.0;8574.0;58.3;19.7;58.6;41.5;-2.4;0.017
2015.0;243.0;124.0;94.0;67.0;84.0;71.0;58.0;370.0;570.0;247.0;262.0;307.0;-14.0;49.0;-26.0;31.0;-18.0;119.0;50.92;52.0;;36.0;33.0;3.0;16.0;171.0;0.0;1.0;9.0;38.73;27.45;18.0;34.72;12.0;29.28;1.23;1.23;58.0;;265.0;18.0;284.0;32.0;0.0;54.0;5.0;86.0;82.0;168.0;21.0;4.0;1.0;200.0;;5.0;;6.0;126.0;116.0;;;16.0;0.0;16.0;;;;0.0;98.0;18.0;191.0;569.0;0.0;570.0;;71.0;9.0;;1.0;-83.0;;;-122.0;1.0;-13.0;-4.0;;-13.0;28.0;35.0;-17.0;;;-10.0;1.0;22.0;265.0;234.0;;0.01;306.43;89.72;-22.77;12.09;5.36;387.82;58.0;0.3;0.0;51.7;17717.0;27.5;689.0;5187.0;14.3;29.3;9014.0;;22423.0;22.5;14.9;23.1;86.5;-53.1;0.014
2016.0;291.0;151.0;64.0;67.0;51.0;40.0;61.0;444.0;647.0;307.0;321.0;325.0;90.0;3.0;-76.0;-6.0;79.0;141.0;51.64;65.0;;44.0;41.0;3.0;21.0;206.0;1.0;1.0;13.0;22.1;23.14;-17.0;17.38;10.0;13.84;0.67;0.66;60.0;;310.0;29.0;339.0;53.0;;52.0;10.0;102.0;77.0;180.0;7.0;4.0;3.0;203.0;;6.0;;3.0;131.0;171.0;;;14.0;0.0;14.0;;;;0.0;78.0;19.0;227.0;646.0;0.0;647.0;;40.0;13.0;;4.0;4.0;;;17.0;;29.0;-11.0;;-9.0;22.0;-3.0;-0.0;;;-75.0;-0.0;-23.0;310.0;316.0;;0.02;295.66;40.91;80.32;76.53;11.34;329.86;60.0;0.3;0.0;572.0;17880.0;23.1;796.0;2474.0;19.9;13.8;8378.0;;19948.0;12.2;8.0;12.4;-87.1;95.3;0.016
2017.0;362.0;193.0;80.0;69.0;67.0;54.0;61.0;540.0;781.0;400.0;414.0;366.0;62.0;-29.0;-37.0;-10.0;41.0;169.0;53.28;118.0;;97.0;75.0;22.0;21.0;288.0;;;14.0;22.05;19.1;-3.0;18.38;12.0;14.9;0.89;0.88;61.0;;319.0;12.0;331.0;126.0;;83.0;13.0;109.0;78.0;187.0;34.0;4.0;4.0;242.0;;17.0;;4.0;146.0;236.0;;;14.0;0.0;14.0;;;;0.0;99.0;25.0;242.0;781.0;1.0;781.0;;54.0;14.0;;7.0;-19.0;;;59.0;-33.0;6.0;-20.0;;-24.0;31.0;-29.0;;;;-37.0;-0.0;-6.0;320.0;330.0;;0.02;343.92;51.25;39.19;35.35;19.4;347.59;61.0;0.3;0.0;200.0;20897.0;19.1;796.0;3114.0;18.2;14.9;8057.0;;21120.0;14.2;8.5;14.7;31.0;90.2;0.017
2018.0;439.0;222.0;76.0;64.0;65.0;51.0;62.0;838.0;1047.0;664.0;679.0;368.0;325.0;-19.0;-0.0;323.0;309.0;217.0;50.57;158.0;;127.0;93.0;34.0;31.0;375.0;;;12.0;17.39;14.53;1.0;14.7;13.0;11.71;0.84;0.83;61.0;;587.0;21.0;608.0;168.0;;62.0;15.0;91.0;64.0;156.0;31.0;2.0;5.0;209.0;;94.0;;6.0;70.0;500.0;;;11.0;3.0;14.0;;;;0.0;130.0;37.0;200.0;1046.0;1.0;1047.0;;51.0;12.0;;9.0;240.0;;;105.0;-84.0;12.0;-16.0;;-12.0;10.0;-6.0;;;;;-0.0;18.0;587.0;264.0;;0.01;500.15;58.56;351.69;;18.32;419.04;61.0;0.3;0.0;;30610.0;14.5;864.0;3584.0;19.4;11.7;12125.0;;25646.0;13.5;6.1;14.0;100.0;;0.014
2019.0;635.0;374.0;123.0;104.0;103.0;78.0;62.0;1003.0;1315.0;811.0;872.0;442.0;149.0;-79.0;-37.0;18.0;128.0;261.0;58.92;256.0;;200.0;169.0;32.0;56.0;517.0;;;21.0;19.44;16.37;-1.0;16.22;24.0;12.28;1.26;1.25;62.0;;680.0;18.0;698.0;234.0;;70.0;38.0;114.0;69.0;183.0;83.0;4.0;6.0;312.0;;441.0;5.0;3.0;101.0;264.0;41.0;;12.0;8.0;61.0;;22.0;;0.0;170.0;46.0;225.0;1314.0;1.0;1315.0;;78.0;21.0;;7.0;10.0;20.0;;16.0;;32.0;-21.0;;-87.0;36.0;-13.0;-6.0;;;-55.0;24.0;-15.0;680.0;661.0;;0.02;636.6;78.2;128.47;54.9;21.06;442.9;62.0;0.2;0.0;302.8;39336.0;16.4;1324.0;4832.0;23.4;12.3;11877.0;2562.0;27367.0;15.5;7.8;17.7;29.8;42.7;0.016
