;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (INR/USD)
2005.0;;;;;;;485.0;;;;;;;;;;;;;;;;;;;;;;;160.53;;;16.62;;16.62;;;485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;485.0;;;;;;;;;;;;;;;;;;;;;;;157.9;;;22.19;;22.19;;;485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.44;3.65;-17.26;0.9;0.64;37.12;485.0;12.6;0.7;2.0;7969.0;;389.0;1768.0;;22.2;;;17995.0;4.6;4.6;9.8;75.2;-5.2;
2007.0;;;;;;;485.0;;;;;;;;;;;;;;;;;;;;;;;155.07;;;29.58;;29.58;;;485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.14;5.66;30.08;0.91;0.45;41.44;485.0;12.4;0.7;1.3;9281.0;;331.0;2745.0;;29.6;;6202.0;20087.0;4.9;4.9;13.7;83.9;3.0;
2008.0;;;;;;;485.0;;;;;;;;;;;;;;;;;;;;;;;191.0;;;34.11;;34.11;;;485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.77;7.43;17.75;1.35;0.84;47.63;485.0;7.5;0.3;2.4;10555.0;;322.0;3600.0;;34.1;;7518.0;23089.0;6.1;6.1;15.6;81.9;4.3;
2009.0;;;;;;;485.0;;;;;;;;;;;;;;;;;;;;;;;195.15;;;32.91;;32.91;;;485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.69;8.45;19.09;1.81;0.82;54.11;485.0;5.6;0.1;3.9;12453.0;;325.0;4098.0;;32.9;;9966.0;26228.0;6.4;6.4;15.6;78.5;9.5;
2010.0;;;;;;;485.0;;;;;;;;;;;;;;;;;;;;;;;161.91;;;33.37;;33.37;;;485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.67;10.57;-23.73;1.98;0.86;62.08;485.0;7.2;0.3;2.6;15358.0;;369.0;5126.0;;33.4;;11002.0;30106.0;5.8;5.8;17.0;81.3;43.8;
2011.0;;;;;;;485.0;;;;;;;;;;;;;;;;;;;;;;;147.88;;;32.24;;32.24;;;485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.37;12.69;-18.29;2.57;4.69;71.76;485.0;6.3;0.4;3.2;19087.0;;379.0;6153.0;;32.2;;11047.0;34790.0;5.5;5.5;17.7;79.7;-14.1;
2012.0;;;;;;;485.0;;;;;;;;;;;;;;;;;;;;;;;176.82;;;36.94;;36.94;;;485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.84;16.57;22.82;3.03;1.45;84.44;485.0;5.9;0.4;3.1;21739.0;;440.0;8031.0;;36.9;;7410.0;40933.0;6.3;6.3;19.6;81.7;13.3;
2013.0;;;;;;;485.0;;;;;;;;;;;;;;;;;;;;;;;175.76;;;37.65;;37.65;;;485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.8;21.76;24.62;3.89;1.78;100.35;485.0;5.7;0.3;3.1;28020.0;;498.0;10549.0;;37.6;;11022.0;48646.0;6.8;6.8;21.7;82.1;15.8;
2014.0;;;;;;;485.0;;;;;;;;;;;;;;;;;;;;;;;173.51;;;38.37;;38.37;;;485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.5;24.36;-17.31;5.85;3.23;118.04;485.0;6.3;0.3;3.8;30783.0;;782.0;11811.0;;38.4;;16634.0;57221.0;6.7;6.7;20.6;76.0;-33.8;
2015.0;520.0;;802.0;;81.0;81.0;485.0;;12170.0;;11193.0;977.0;19.0;-42.0;-54.0;-77.0;-21.0;;;227.0;;4.0;3.0;1.0;222.0;;1130.0;705.0;15.0;154.14;;;15.64;;15.64;0.17;0.17;485.0;;1765.0;;1765.0;197.0;;;110.0;;;;2849.0;;;;12170.0;19.0;;;;;413.0;;;;413.0;11606.0;;;8.0;;;970.0;12170.0;;12170.0;;81.0;15.0;;;-244.0;;;;;166.0;-40.0;-2.0;;;;;;;-45.0;-9.0;;598.0;674.0;;0.02;67.07;10.49;-2.71;5.85;5.14;126.01;485.0;15.1;0.8;3.7;32516.0;;950.0;5085.0;;15.6;;25790.0;61084.0;6.5;6.5;8.3;44.2;-216.1;0.016
2016.0;486.0;;737.0;;104.0;62.0;485.0;;12118.0;;11149.0;970.0;-33.0;-21.0;-27.0;-80.0;-54.0;;;239.0;;5.0;3.0;2.0;234.0;;1033.0;624.0;9.0;151.64;;;21.41;42.0;12.85;0.13;0.13;485.0;;1137.0;;1137.0;154.0;;;115.0;;;;2417.0;;;;12118.0;5.0;;;;;360.0;;;;360.0;11508.0;;;7.0;;;962.0;12118.0;;12118.0;;62.0;9.0;;;-242.0;;;;;138.0;-21.0;;;;;;;;-18.0;-8.0;;484.0;564.0;;0.02;66.42;8.54;-7.32;2.52;2.8;132.45;485.0;18.5;0.8;1.6;32201.0;;611.0;4138.0;40.0;12.9;;23811.0;64209.0;3.6;6.0;6.4;70.5;-34.4;0.015
2017.0;462.0;;422.0;;-231.0;-251.0;485.0;;12589.0;;11718.0;871.0;377.0;-132.0;91.0;336.0;245.0;;;311.0;;6.0;4.0;2.0;304.0;;1026.0;641.0;13.0;91.3;;;-50.05;19.0;-54.25;-0.52;-0.52;485.0;;1290.0;;1290.0;172.0;;;237.0;;;;2803.0;;;;12589.0;5.0;;;;;235.0;;;;235.0;11953.0;;;8.0;;;863.0;12589.0;;12589.0;;-251.0;13.0;;;169.0;;;;;447.0;-132.0;;;;;;38.0;;-16.0;68.0;;828.0;492.0;;0.02;62.09;-33.69;32.92;2.11;17.77;117.02;485.0;-2.7;-0.1;2.4;30101.0;;819.0;-16330.0;-8.4;-54.3;;15284.0;56729.0;3.5;3.3;-28.8;106.3;;0.015
2018.0;518.0;;609.0;;19.0;31.0;557.0;;13784.0;;12838.0;946.0;363.0;-25.0;103.0;441.0;338.0;;;334.0;;7.0;4.0;4.0;327.0;;1018.0;576.0;14.0;117.54;;;3.59;-13.0;6.01;0.06;0.06;557.0;;1335.0;;1335.0;149.0;;;248.0;;;;2834.0;;;;13784.0;7.0;;;;;295.0;;;;295.0;13133.0;;;9.0;;;938.0;13784.0;;13784.0;;31.0;14.0;;;147.0;;;;;171.0;-25.0;;;;;;43.0;;;59.0;;1270.0;829.0;;0.02;60.56;3.64;39.49;;2.94;110.58;557.0;15.1;0.6;;33723.0;;927.0;2027.0;-67.6;6.0;;19205.0;61576.0;7.2;4.3;3.3;100.0;-12.8;0.015
2019.0;605.0;;728.0;;95.0;67.0;557.0;;14602.0;;13649.0;954.0;-431.0;-24.0;111.0;-344.0;-455.0;;;371.0;;7.0;4.0;3.0;364.0;;1105.0;618.0;15.0;120.29;;;15.68;28.0;11.04;0.12;0.12;557.0;;1235.0;;1235.0;216.0;;;241.0;;;;2943.0;;;;14602.0;4.0;;;;;418.0;;;;418.0;14066.0;;;8.0;;;946.0;14602.0;;14602.0;;67.0;15.0;;;-721.0;;;;;209.0;-24.0;;;;;;;;;111.0;;846.0;1189.0;;0.01;75.42;8.33;-56.66;;2.96;118.87;557.0;5.0;0.2;;42017.0;;1043.0;4638.0;29.6;11.0;;28993.0;66218.0;3.4;4.9;7.0;100.0;;0.014
2020.0;565.0;;494.0;;-152.0;-157.0;713.0;;14442.0;;13600.0;842.0;580.0;-15.0;-45.0;520.0;565.0;;;383.0;;5.0;4.0;2.0;378.0;;1121.0;629.0;17.0;87.41;;;-26.87;5.0;-27.8;-0.22;-0.22;713.0;;1503.0;;1503.0;119.0;;;275.0;;;;2847.0;;;;14442.0;3.0;;;;;300.0;;;;300.0;13900.0;;;9.0;;;833.0;14442.0;;14442.0;;-157.0;17.0;;;353.0;;;;;368.0;-15.0;;;;;-80.0;66.0;;;-32.0;;1299.0;779.0;;0.01;59.67;-16.59;59.7;;1.61;88.95;713.0;-1.1;-0.0;;42570.0;;1257.0;-11834.0;-3.4;-27.8;;22643.0;63459.0;3.4;3.3;-18.6;100.0;;0.013
2021.0;615.0;;684.0;;73.0;59.0;713.0;;16441.0;;15511.0;930.0;-2.0;-10.0;-27.0;-39.0;-12.0;;;402.0;;4.0;4.0;0.0;398.0;;1109.0;593.0;18.0;111.23;;;11.82;14.0;9.52;0.08;0.08;713.0;;1299.0;;1299.0;123.0;;;275.0;;;;4207.0;;;;16441.0;3.0;;;;;313.0;;;;313.0;15825.0;;;10.0;;;920.0;16441.0;;16441.0;;59.0;18.0;;;-254.0;;;;;175.0;-10.0;;;;;;;;;-27.0;;1299.0;1339.0;;0.01;63.06;6.01;-1.26;;1.07;95.34;713.0;5.6;0.2;;44993.0;;1343.0;4284.0;19.2;9.5;;22925.0;68023.0;3.3;4.0;6.3;100.0;;0.014
