;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (INR/USD)
2011.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014.0;;;-0.0;-0.0;-0.0;-0.0;6.0;1.0;216.0;0.0;8.0;208.0;-0.0;-215.0;216.0;1.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.06;-0.06;6.0;;1.0;;1.0;;;0.0;;;;;215.0;;;215.0;;;;0.0;;0.0;;;;8.0;8.0;;;;203.0;-0.0;;5.0;216.0;;216.0;;-0.0;;;;0.0;;;;;;;;-215.0;;;-0.0;210.0;;;6.0;;1.0;0.0;;0.02;;-4.04;-2.74;;;2247.39;6.0;;;;;-inf;;-23.0;;-inf;56.0;;13075.0;-0.2;-0.2;-0.2;100.0;;0.016
2015.0;;;-1.0;-1.0;-1.0;-1.0;6.0;1.0;214.0;0.0;8.0;206.0;-1.0;0.0;-0.0;-1.0;-1.0;;;1.0;;0.0;0.0;;0.0;1.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.08;-0.08;6.0;;0.0;;0.0;;;0.0;;;;;214.0;;;214.0;;;;0.0;;0.0;;;;7.0;7.0;;;;201.0;-1.0;;6.0;214.0;;214.0;;-1.0;;;;0.0;;;;;;;;-427.0;427.0;0.0;;;;;-0.0;;0.0;1.0;;0.02;176.23;-25.28;-16.43;;6.09;19.66;37.0;;;;6528.0;-15.1;209.0;-937.0;4.3;-14.3;-472.0;114.0;728.0;-79.6;-20.5;-128.6;100.0;;0.016
2015.0;;;-1.0;-1.0;-1.0;-1.0;6.0;1.0;214.0;0.0;8.0;206.0;-1.0;0.0;-0.0;-1.0;-1.0;;;1.0;;0.0;0.0;;0.0;1.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.08;-0.08;6.0;;0.0;;0.0;;;0.0;;;;;214.0;;;214.0;;;;0.0;;0.0;;;;7.0;7.0;;;;201.0;-1.0;;6.0;214.0;;214.0;;-1.0;;;;0.0;;;;;;;;-427.0;427.0;0.0;;;;;-0.0;;0.0;1.0;;0.02;;-5.58;-5.27;;;2105.71;6.0;;;;;-inf;;-36.0;;-inf;23.0;;13673.0;-0.3;-0.3;-0.3;100.0;;0.015
2016.0;126.0;63.0;-15.0;-18.0;-19.0;-18.0;21.0;55.0;81.0;53.0;74.0;6.0;-7.0;-7.0;17.0;3.0;-12.0;63.0;50.1;81.0;;78.0;78.0;;4.0;144.0;;0.0;4.0;-11.71;-14.44;-0.0;-14.82;0.0;-14.61;-0.88;-0.88;21.0;;6.0;16.0;21.0;27.0;0.0;6.0;2.0;10.0;11.0;21.0;2.0;;1.0;26.0;;31.0;;;;22.0;6.0;;;16.0;22.0;;;;0.0;-88.0;-1.0;95.0;81.0;;81.0;;-18.0;4.0;;;7.0;0.0;-0.0;5.0;;1.0;-5.0;;;;-3.0;;;13.0;;4.0;-1.0;6.0;4.0;;0.02;397.84;-58.1;-36.6;;14.67;20.47;21.0;-0.2;-0.0;;8345.0;-14.4;234.0;-1219.0;-0.5;-14.6;133.0;406.0;429.0;-65.3;-22.6;-283.8;100.0;;0.015
2017.0;143.0;47.0;-84.0;-29.0;-91.0;-91.0;25.0;117.0;147.0;90.0;98.0;48.0;-24.0;-37.0;79.0;18.0;-32.0;97.0;32.63;75.0;;46.0;8.0;38.0;29.0;172.0;2.0;2.0;4.0;-58.49;-19.94;-62.0;-63.09;1.0;-63.15;-3.65;-3.65;25.0;;24.0;46.0;70.0;36.0;0.0;12.0;2.0;10.0;15.0;25.0;1.0;1.0;2.0;30.0;;35.0;0.0;0.0;16.0;39.0;0.0;7.0;;1.0;8.0;;0.0;;0.0;-184.0;12.0;221.0;146.0;1.0;147.0;;-91.0;4.0;;9.0;-6.0;-14.0;-0.0;8.0;;59.0;-7.0;-0.0;-158.0;129.0;-6.0;-7.0;87.0;-0.0;;-1.0;-0.0;24.0;6.0;;0.02;376.7;-237.89;-83.18;;19.09;126.47;25.0;-0.0;-0.0;;9345.0;-19.9;276.0;-5901.0;-0.7;-63.2;1787.0;31.0;3137.0;-156.6;-60.3;-188.1;100.0;;0.015
2018.0;188.0;68.0;-52.0;-52.0;-61.0;-61.0;34.0;136.0;179.0;165.0;182.0;-3.0;-14.0;19.0;9.0;14.0;-22.0;120.0;36.04;115.0;;75.0;11.0;64.0;40.0;235.0;1.0;2.0;7.0;-27.66;-27.43;-10.0;-32.62;1.0;-32.6;-1.79;-1.79;34.0;;38.0;15.0;53.0;67.0;0.0;15.0;4.0;15.0;19.0;34.0;0.0;2.0;3.0;43.0;;61.0;8.0;0.0;27.0;70.0;6.0;9.0;1.0;1.0;17.0;;0.0;;0.0;-246.0;13.0;230.0;179.0;-0.0;179.0;;-61.0;7.0;;11.0;16.0;-13.0;-0.0;29.0;;14.0;-9.0;-5.0;-81.0;114.0;-5.0;-9.0;0.0;;;18.0;0.0;38.0;24.0;;0.02;357.09;-116.41;-42.51;;16.8;-6.56;34.0;-0.1;-0.0;;12249.0;-27.4;426.0;-3993.0;-1.4;-32.6;-1908.0;360.0;-225.0;-450.6;-32.8;1775.4;100.0;;0.015
2019.0;135.0;36.0;-5.0;-37.0;-16.0;-17.0;44.0;140.0;181.0;143.0;146.0;34.0;-51.0;-9.0;42.0;-16.0;-57.0;98.0;26.99;67.0;;26.0;15.0;12.0;40.0;165.0;1.0;2.0;8.0;-3.96;-27.55;21.0;-12.24;1.0;-12.27;-0.38;-0.39;44.0;;31.0;17.0;48.0;78.0;0.0;14.0;2.0;15.0;18.0;32.0;1.0;2.0;4.0;41.0;;76.0;17.0;0.0;18.0;32.0;0.0;1.0;1.0;1.0;4.0;;0.0;;0.0;-248.0;11.0;272.0;180.0;0.0;181.0;;-17.0;8.0;;4.0;-32.0;;0.0;;;-15.0;-6.0;-4.0;-38.0;38.0;-5.0;-8.0;51.0;;;-2.0;3.0;20.0;35.0;;0.01;214.92;-26.37;-91.09;;9.74;54.19;44.0;-0.2;-0.0;;9359.0;-27.5;582.0;-1148.0;-4.2;-12.3;-202.0;25.0;2360.0;-38.0;-7.6;-48.7;100.0;;0.014
