;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (RUB/USD)
2009.0;288.0;219.0;119.0;87.0;89.0;66.0;308.0;182.0;279.0;61.0;63.0;216.0;105.0;-97.0;-8.0;5.0;73.0;69.0;76.1;132.0;53.0;;;;79.0;201.0;2.0;;30.0;41.17;30.22;1.0;30.73;22.0;23.03;0.22;0.22;303.0;;142.0;;142.0;13.0;;27.0;64.0;20.0;2.0;22.0;;0.0;11.0;96.0;;17.0;;12.0;13.0;31.0;;;2.0;0.0;2.0;;;;32.0;169.0;5.0;10.0;279.0;;279.0;;66.0;30.0;-1.0;7.0;1.0;-4.0;;;2.0;2.0;-33.0;-8.0;;;-56.0;;0.0;;-5.0;-2.0;4.0;79.0;75.0;;0.03;28.8;6.63;7.26;0.53;3.26;21.56;303.0;;;;8729.0;30.2;912.0;2010.0;25.1;23.0;3674.0;;6536.0;30.5;31.8;30.8;92.0;7.2;0.033
2010.0;409.0;324.0;202.0;158.0;164.0;125.0;309.0;268.0;413.0;96.0;98.0;314.0;195.0;-133.0;-30.0;32.0;123.0;85.0;79.32;167.0;68.0;;;;99.0;251.0;5.0;;39.0;49.47;38.58;6.0;40.02;39.0;30.54;0.41;0.4;304.0;;220.0;;220.0;28.0;;20.0;98.0;22.0;4.0;26.0;3.0;1.0;18.0;145.0;;32.0;;19.0;18.0;46.0;;;2.0;0.0;2.0;;;;32.0;263.0;5.0;15.0;413.0;;413.0;;125.0;39.0;0.0;5.0;27.0;-14.0;;;5.0;-0.0;-72.0;-8.0;;;-53.0;;;;-30.0;-0.0;-1.0;110.0;79.0;;0.03;41.14;12.56;12.39;2.98;7.24;31.65;304.0;;;;12500.0;38.6;1181.0;3817.0;23.7;30.5;5258.0;;9615.0;39.4;39.7;39.7;76.3;24.1;0.033
2011.0;621.0;475.0;285.0;218.0;227.0;179.0;328.0;450.0;1056.0;146.0;159.0;898.0;242.0;-552.0;360.0;91.0;69.0;146.0;76.5;257.0;97.0;;;;160.0;403.0;7.0;;58.0;45.88;35.11;9.0;36.53;48.0;28.82;0.57;0.55;316.0;;356.0;;356.0;44.0;;49.0;216.0;35.0;15.0;50.0;226.0;0.0;114.0;607.0;;82.0;;28.0;28.0;36.0;;;6.0;7.0;13.0;;;;18.0;428.0;57.0;395.0;1056.0;;1056.0;;179.0;58.0;-5.0;9.0;3.0;-13.0;;;;-2.0;-173.0;-23.0;-637.0;;281.0;;353.0;;;6.0;42.0;196.0;105.0;;0.03;63.49;18.3;7.06;;17.64;91.76;316.0;1.6;0.1;;20033.0;35.1;1874.0;5773.0;21.1;28.8;9793.0;;28953.0;19.7;21.5;19.9;100.0;-511.8;0.031
2012.0;941.0;706.0;442.0;309.0;346.0;269.0;336.0;595.0;1448.0;219.0;237.0;1211.0;377.0;-333.0;12.0;49.0;247.0;235.0;75.01;396.0;140.0;;;;257.0;632.0;33.0;;96.0;47.02;32.86;37.0;36.76;77.0;28.58;0.82;0.8;326.0;;243.0;154.0;397.0;95.0;0.0;103.0;265.0;25.0;11.0;35.0;513.0;1.0;40.0;853.0;;68.0;;48.0;36.0;115.0;;;15.0;4.0;18.0;;;;15.0;720.0;31.0;445.0;1448.0;;1448.0;;269.0;96.0;2.0;12.0;1.0;-17.0;;;6.0;-4.0;-130.0;;-544.0;334.0;7.0;;;;;12.0;-7.0;243.0;194.0;;0.03;88.19;25.21;23.13;;12.21;113.57;326.0;0.9;0.1;;28767.0;32.9;2951.0;8223.0;22.2;28.6;11509.0;;37047.0;21.9;23.9;22.2;100.0;;0.033
2013.0;1201.0;878.0;620.0;390.0;508.0;410.0;335.0;1182.0;2168.0;210.0;751.0;1417.0;447.0;-22.0;348.0;789.0;297.0;322.0;73.15;488.0;177.0;;;;311.0;811.0;52.0;;112.0;51.66;32.5;118.0;42.31;98.0;34.11;1.25;1.22;327.0;;1015.0;3.0;1018.0;121.0;;43.0;296.0;89.0;20.0;109.0;500.0;0.0;82.0;986.0;;100.0;;51.0;46.0;64.0;499.0;;38.0;4.0;541.0;;;;7.0;1079.0;62.0;268.0;2168.0;;2168.0;;410.0;112.0;-6.0;23.0;-23.0;-29.0;;;12.0;-69.0;-150.0;-74.0;-349.0;556.0;-5.0;;;-259.0;;607.0;16.0;1015.0;226.0;;0.03;120.93;41.25;29.91;;15.11;142.65;327.0;0.7;0.0;;39502.0;32.5;3695.0;13474.0;19.4;34.1;31968.0;16429.0;46597.0;20.9;23.4;28.9;100.0;87.2;0.03
2014.0;873.0;627.0;464.0;264.0;387.0;293.0;326.0;616.0;1633.0;168.0;674.0;959.0;267.0;-492.0;-201.0;-271.0;101.0;247.0;71.76;363.0;152.0;;;;211.0;610.0;15.0;;77.0;53.1;30.18;123.0;44.27;94.0;33.53;0.92;0.9;319.0;;303.0;155.0;458.0;113.0;;45.0;294.0;153.0;42.0;195.0;456.0;0.0;71.0;1017.0;;77.0;;50.0;31.0;61.0;453.0;;27.0;25.0;506.0;;;;3.0;903.0;18.0;35.0;1633.0;;1633.0;;293.0;77.0;2.0;21.0;-30.0;-12.0;;;4.0;-95.0;-166.0;-109.0;-340.0;136.0;-13.0;-110.0;;-145.0;;54.0;155.0;303.0;574.0;;0.02;158.98;53.3;18.37;;30.31;174.54;319.0;0.6;0.0;;50767.0;30.2;4484.0;17020.0;24.3;33.5;26011.0;26325.0;55736.0;20.0;23.7;30.5;100.0;143.6;0.017
2015.0;819.0;589.0;293.0;131.0;186.0;133.0;324.0;729.0;1532.0;160.0;572.0;960.0;268.0;-160.0;-83.0;90.0;89.0;230.0;71.89;450.0;184.0;;;;266.0;680.0;24.0;;107.0;35.77;16.04;55.0;22.74;54.0;16.19;0.42;0.41;319.0;;332.0;247.0;580.0;111.0;;38.0;286.0;118.0;82.0;200.0;267.0;3.0;47.0;803.0;;82.0;;38.0;26.0;52.0;375.0;;21.0;15.0;412.0;;;;1.0;852.0;42.0;65.0;1532.0;;1532.0;;133.0;107.0;-3.0;37.0;5.0;-24.0;;;1.0;-10.0;-179.0;-5.0;-609.0;632.0;1.0;-84.0;;;0.0;1.0;65.0;332.0;242.0;;0.01;187.71;30.39;20.5;0.09;40.95;220.06;319.0;0.5;0.0;0.6;59792.0;16.0;7791.0;9679.0;28.8;16.2;41560.0;27374.0;70097.0;9.7;12.2;13.8;100.3;-0.4;0.014
2016.0;1238.0;916.0;338.0;209.0;181.0;111.0;326.0;1222.0;1860.0;238.0;603.0;1257.0;415.0;-214.0;-82.0;65.0;258.0;322.0;73.98;706.0;258.0;;;;448.0;1028.0;27.0;;157.0;27.3;16.92;-28.0;14.63;70.0;8.95;0.35;0.34;321.0;;460.0;567.0;1027.0;162.0;;32.0;307.0;138.0;90.0;227.0;25.0;11.0;68.0;638.0;;128.0;;48.0;35.0;76.0;306.0;;17.0;43.0;365.0;;;;5.0;1103.0;15.0;134.0;1860.0;;1860.0;;111.0;157.0;-14.0;56.0;33.0;-39.0;;;5.0;73.0;-157.0;;-1208.0;1157.0;-6.0;-88.0;;;;6.0;-54.0;460.0;395.0;;0.02;236.68;21.19;49.33;;30.0;240.3;321.0;0.9;0.0;;75925.0;16.9;9607.0;6798.0;38.9;9.0;60348.0;18750.0;77086.0;6.8;9.7;8.8;100.0;;0.016
2017.0;1631.0;1216.0;448.0;226.0;236.0;152.0;331.0;1400.0;2264.0;618.0;827.0;1436.0;412.0;-135.0;-10.0;250.0;197.0;415.0;74.55;990.0;325.0;;;;664.0;1405.0;50.0;16.0;195.0;27.47;13.86;9.0;14.44;85.0;9.33;0.47;0.46;325.0;;740.0;400.0;1139.0;226.0;;35.0;367.0;162.0;87.0;249.0;121.0;38.0;88.0;863.0;;160.0;309.0;73.0;43.0;106.0;;;17.0;193.0;210.0;;;;5.0;1180.0;32.0;219.0;2264.0;;2264.0;;152.0;195.0;-26.0;73.0;-17.0;-35.0;;;6.0;36.0;-215.0;-16.0;-1219.0;1316.0;-2.0;-12.0;;-1.0;;3.0;-17.0;750.0;500.0;;0.02;289.62;27.02;35.05;;38.15;255.05;325.0;1.0;0.0;;94054.0;13.9;11239.0;8776.0;36.3;9.3;45134.0;;82826.0;9.8;11.2;10.6;100.0;0.7;0.017
2018.0;1831.0;1316.0;993.0;299.0;781.0;682.0;335.0;1325.0;3466.0;340.0;558.0;2582.0;405.0;372.0;-470.0;368.0;-2.0;515.0;71.89;1017.0;324.0;;;;693.0;1531.0;48.0;14.0;174.0;54.26;16.34;482.0;42.66;123.0;37.28;2.09;2.04;327.0;;987.0;;987.0;292.0;4.0;43.0;570.0;755.0;166.0;921.0;523.0;46.0;80.0;2141.0;;218.0;;58.0;40.0;82.0;;;23.0;195.0;218.0;;;;4.0;1615.0;117.0;845.0;3140.0;326.0;3466.0;;682.0;174.0;-27.0;94.0;-56.0;-67.0;;;7.0;-463.0;-406.0;285.0;-799.0;1326.0;-33.0;-305.0;;-145.0;;-21.0;61.0;988.0;620.0;;0.01;390.79;145.67;-0.34;;86.7;551.17;327.0;0.2;0.0;;127657.0;16.3;12137.0;47587.0;15.8;37.3;68683.0;;180049.0;24.6;26.1;26.4;100.0;-9085.6;0.014
