;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
2009.0;459.0;357.0;138.0;203.0;10.0;9.0;155.0;318.0;1636.0;253.0;1625.0;16.0;117.0;66.0;-17.0;166.0;20.0;102.0;77.83;286.0;;204.0;204.0;;82.0;387.0;2.0;113.0;15.0;30.01;44.36;-193.0;2.19;1.0;1.92;0.06;0.06;155.0;;248.0;;248.0;69.0;;1.0;401.0;694.0;187.0;881.0;16.0;;21.0;1318.0;;103.0;19.0;4.0;125.0;6.0;1161.0;59.0;94.0;59.0;1373.0;;;;;-433.0;-97.0;;1641.0;-5.0;1636.0;;9.0;15.0;;;33.0;-22.0;;56.0;-1.0;60.0;-97.0;;;;72.0;-58.0;;;;41.0;;248.0;82.0;;1.65;1.79;0.03;0.08;;0.38;0.06;155.0;;;;278.0;44.4;9.0;5.0;13.8;1.9;40.0;705.0;9.0;7.6;7.5;56.3;100.0;;1.647
2010.0;428.0;351.0;54.0;96.0;-66.0;-71.0;155.0;314.0;1479.0;238.0;1541.0;-57.0;79.0;-52.0;-7.0;20.0;6.0;77.0;81.98;275.0;;198.0;198.0;;77.0;352.0;3.0;108.0;13.0;12.64;22.45;-162.0;-15.46;5.0;-16.67;-0.46;-0.46;155.0;;245.0;;245.0;66.0;;2.0;358.0;630.0;141.0;771.0;14.0;;23.0;1166.0;;73.0;29.0;;135.0;1.0;1127.0;41.0;90.0;45.0;1303.0;;;;;-57.0;-98.0;;1483.0;-4.0;1479.0;;-71.0;13.0;;;5.0;-3.0;;6.0;2.0;132.0;-73.0;;;;-45.0;-758.0;;;;751.0;;245.0;225.0;;1.49;1.84;-0.31;0.03;;0.32;-0.25;155.0;;;;286.0;22.5;9.0;-48.0;-7.3;-16.7;51.0;754.0;-38.0;3.6;2.8;124.8;100.0;;1.495
2011.0;532.0;421.0;127.0;102.0;19.0;20.0;155.0;331.0;1632.0;403.0;1279.0;357.0;-65.0;-30.0;75.0;-21.0;-118.0;111.0;79.19;328.0;;246.0;246.0;;82.0;438.0;3.0;97.0;11.0;23.94;19.08;-82.0;3.62;-2.0;3.82;0.13;0.13;155.0;;242.0;;242.0;89.0;;;386.0;676.0;208.0;884.0;11.0;;20.0;1302.0;;189.0;27.0;7.0;177.0;11.0;710.0;29.0;87.0;49.0;875.0;;;;;-42.0;-116.0;;1636.0;-4.0;1632.0;;20.0;11.0;;;27.0;-28.0;;56.0;-0.0;-124.0;-52.0;;;;-18.0;-325.0;400.0;;;;-1.0;242.0;263.0;;1.6;2.13;0.08;-0.47;;0.21;1.43;155.0;;;;331.0;19.1;7.0;13.0;-8.2;3.8;-45.0;442.0;223.0;10.2;7.1;5.7;100.0;339.4;1.605
2012.0;503.0;503.0;143.0;70.0;-7.0;36.0;153.0;233.0;1487.0;360.0;1118.0;372.0;49.0;-113.0;-61.0;-126.0;-68.0;;100.0;430.0;;358.0;358.0;;72.0;430.0;1.0;79.0;72.0;28.43;14.01;-78.0;-1.46;-44.0;7.18;0.24;0.24;153.0;;111.0;;111.0;120.0;;2.0;389.0;662.0;177.0;838.0;22.0;;5.0;1255.0;;131.0;25.0;2.0;202.0;2.0;662.0;15.0;42.0;40.0;758.0;;;;;-20.0;1.0;;1491.0;-3.0;1487.0;;36.0;72.0;;;-1.0;-15.0;;15.0;-1.0;-59.0;-117.0;;;;-89.0;-45.0;;;-16.0;;0.0;111.0;237.0;;1.57;2.09;0.15;-0.28;0.07;0.48;1.55;153.0;88.1;5.9;0.5;320.0;14.0;46.0;23.0;599.8;7.2;-81.0;421.0;237.0;-31.5;4.8;9.7;56.5;-23.1;1.571
2013.0;552.0;;116.0;94.0;-13.0;222.0;163.0;248.0;1701.0;362.0;1020.0;681.0;87.0;-74.0;24.0;36.0;-2.0;;;463.0;;280.0;280.0;;183.0;463.0;2.0;54.0;75.0;20.93;17.07;-108.0;-2.42;-236.0;40.27;1.37;1.37;163.0;;144.0;;144.0;86.0;;19.0;385.0;641.0;182.0;823.0;;221.0;24.0;1453.0;;52.0;18.0;1.0;222.0;70.0;574.0;26.0;26.0;32.0;658.0;;;;0.0;197.0;379.0;105.0;1701.0;;1701.0;;222.0;75.0;;1.0;41.0;;;;-1.0;-253.0;-89.0;;;;-55.0;-394.0;107.0;;;312.0;-1.0;144.0;107.0;;1.52;2.23;0.9;-0.01;;0.36;2.75;163.0;18.8;1.1;;363.0;17.1;49.0;146.0;1765.2;40.3;-75.0;377.0;448.0;-50.2;2.4;32.6;100.0;5493.2;1.521
2014.0;741.0;;216.0;116.0;69.0;41.0;164.0;327.0;2079.0;516.0;1226.0;853.0;124.0;-153.0;-9.0;-48.0;-53.0;;;621.0;;373.0;373.0;;248.0;621.0;0.0;38.0;109.0;29.21;15.68;-47.0;9.35;29.0;5.5;0.25;0.25;164.0;;114.0;;114.0;198.0;;16.0;436.0;721.0;350.0;1071.0;;222.0;23.0;1752.0;;96.0;26.0;5.0;309.0;85.0;559.0;27.0;49.0;75.0;710.0;;;;0.0;265.0;470.0;118.0;2079.0;;2079.0;;41.0;109.0;;2.0;-42.0;;;;-3.0;14.0;-178.0;;;;-135.0;-9.0;;;;;-11.0;114.0;162.0;;1.71;2.64;0.15;-0.19;;0.63;3.04;164.0;113.5;6.3;;433.0;15.7;64.0;24.0;41.2;5.5;-110.0;327.0;499.0;4.0;5.1;4.8;100.0;;1.71
2015.0;621.0;;207.0;50.0;-6.0;-1.0;164.0;376.0;2044.0;508.0;1294.0;751.0;226.0;-161.0;70.0;140.0;33.0;;;605.0;;323.0;323.0;;282.0;605.0;0.0;40.0;173.0;33.41;8.01;-55.0;-0.9;-4.0;-0.23;-0.01;-0.01;164.0;;245.0;;245.0;116.0;;16.0;394.0;662.0;375.0;1037.0;;210.0;27.0;1668.0;;114.0;1.0;3.0;293.0;100.0;645.0;34.0;27.0;80.0;786.0;;;;0.0;244.0;399.0;108.0;2044.0;;2044.0;;-1.0;173.0;;2.0;118.0;;;;;-66.0;-193.0;;;;-152.0;-358.0;;;;428.0;5.0;245.0;104.0;;1.57;2.41;-0.01;0.13;;0.75;2.92;164.0;-3147.8;-157.2;;395.0;8.0;110.0;-1.0;74.9;-0.2;-84.0;410.0;478.0;0.6;1.7;-0.2;100.0;;1.571
2016.0;686.0;;224.0;92.0;65.0;48.0;164.0;488.0;1932.0;537.0;1322.0;610.0;248.0;-139.0;-27.0;98.0;57.0;;;576.0;;314.0;314.0;;262.0;576.0;1.0;28.0;131.0;32.6;13.36;-27.0;9.48;17.0;7.06;0.3;0.29;164.0;;305.0;;305.0;154.0;1.0;27.0;327.0;561.0;325.0;886.0;;194.0;38.0;1444.0;;170.0;7.0;9.0;251.0;109.0;645.0;52.0;19.0;69.0;785.0;;;;0.0;231.0;287.0;92.0;1932.0;;1932.0;;48.0;131.0;;2.0;29.0;;-1.0;;;37.0;-191.0;;;;-133.0;-0.0;;;-27.0;;17.0;305.0;207.0;;1.33;3.14;0.22;0.26;0.12;0.87;2.8;164.0;71.1;3.2;0.8;515.0;13.4;98.0;36.0;25.5;7.1;-37.0;485.0;458.0;5.0;4.8;7.9;44.8;46.8;1.331
2017.0;757.0;;279.0;105.0;74.0;51.0;164.0;520.0;1998.0;540.0;1376.0;622.0;297.0;-197.0;-31.0;80.0;33.0;;;669.0;;385.0;385.0;;284.0;669.0;1.0;30.0;175.0;36.8;13.9;-32.0;9.73;23.0;6.74;0.31;0.31;164.0;;378.0;;378.0;118.0;2.0;22.0;319.0;549.0;386.0;935.0;;185.0;40.0;1479.0;;141.0;7.0;13.0;270.0;121.0;648.0;52.0;27.0;110.0;837.0;;;;0.0;249.0;283.0;90.0;1998.0;;1998.0;;51.0;175.0;;3.0;55.0;;-1.0;;;12.0;-263.0;;;;-186.0;-1.0;;;-30.0;;11.0;378.0;299.0;;1.3;3.54;0.24;0.16;0.14;1.23;2.91;164.0;72.5;3.1;0.8;581.0;13.9;135.0;39.0;30.7;6.7;-15.0;498.0;478.0;4.9;5.2;8.2;40.5;91.5;1.302
2018.0;779.0;;261.0;58.0;34.0;-49.0;165.0;546.0;2042.0;613.0;1481.0;562.0;126.0;-160.0;-30.0;-64.0;-96.0;;;741.0;;429.0;429.0;;313.0;741.0;2.0;30.0;197.0;33.52;7.48;-24.0;4.42;84.0;-6.32;-0.3;-0.3;164.0;;320.0;;320.0;223.0;2.0;2.0;324.0;557.0;499.0;1056.0;;84.0;32.0;1496.0;;354.0;12.0;5.0;242.0;5.0;643.0;49.0;38.0;138.0;867.0;;;;0.0;178.0;292.0;91.0;2042.0;;2042.0;;-49.0;197.0;;4.0;-97.0;;0.0;;;72.0;-222.0;;;;-143.0;-1.0;;;-29.0;;0.0;320.0;383.0;;1.32;3.59;-0.23;-0.44;0.13;1.02;2.59;164.0;-91.5;-3.7;0.6;590.0;7.5;149.0;-37.0;242.8;-6.3;-51.0;487.0;425.0;-6.4;3.1;-8.8;159.0;;1.321
