;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (AUD/USD)
2000.0;2.0;;-1.0;-2.0;-2.0;-1.0;0.0;3.0;5.0;1.0;1.0;5.0;-0.0;;;0.0;-0.0;;;4.0;;;;;4.0;4.0;;;0.0;-53.49;-69.8;-0.0;-69.91;;-60.71;-3.14;-3.14;0.0;;1.0;;1.0;0.0;2.0;;0.0;;;;;;2.0;2.0;;;;;;1.0;;;;;;;;;12.0;-9.0;;1.0;5.0;;5.0;;-1.0;0.0;;;;;;;;1.0;-0.0;-1.0;;;1.0;;;;;;0.0;1.0;0.0;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3.0;;0.0;-2.0;-2.0;-2.0;0.0;2.0;20.0;1.0;1.0;19.0;-1.0;;-0.0;-0.0;-1.0;;;5.0;0.0;;;;4.0;5.0;;0.0;2.0;1.57;-60.91;-0.0;-61.14;;-60.19;-3.74;-3.74;0.0;;0.0;;0.0;0.0;1.0;0.0;0.0;;14.0;14.0;;;4.0;19.0;;;0.0;;;1.0;;;;;;;;;28.0;-9.0;;1.0;20.0;;20.0;;-2.0;2.0;;;;;;;;-1.0;-0.0;-0.0;-1.0;;2.0;;;;;-0.0;0.0;0.0;1.0;;0.51;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;7.0;;-3.0;-5.0;-5.0;-5.0;0.0;5.0;19.0;1.0;1.0;18.0;-2.0;;0.0;4.0;-2.0;;;12.0;1.0;0.0;;0.0;12.0;12.0;;0.0;2.0;-36.01;-67.74;-0.0;-67.82;;-67.33;-10.73;-10.73;0.0;;4.0;;4.0;0.0;0.0;0.0;0.0;;14.0;14.0;;;0.0;14.0;;;;;;1.0;;;;;;;;;22.0;-5.0;;0.0;19.0;;19.0;;-5.0;2.0;;;;;;;;1.0;-0.0;0.0;;5.0;0.0;;0.0;;;-0.0;-0.0;4.0;0.0;;0.56;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;6.0;;-1.0;-3.0;-3.0;-3.0;0.0;5.0;20.0;2.0;2.0;18.0;-1.0;0.0;0.0;-1.0;-1.0;;;9.0;1.0;0.0;;0.0;8.0;9.0;;;2.0;-9.08;-46.69;;-46.69;;-46.69;-6.04;-6.04;0.0;;4.0;;4.0;1.0;0.0;0.0;1.0;;;14.0;;;1.0;15.0;;;;;;2.0;;;;;;;;;27.0;-8.0;;-0.0;20.0;;20.0;;-3.0;2.0;;;;;;;;-0.0;-0.0;;;;0.0;;0.0;;;;-0.0;4.0;5.0;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;3.0;0.0;-4.0;-5.0;-5.0;-5.0;0.0;9.0;16.0;3.0;4.0;12.0;-3.0;-1.0;7.0;4.0;-4.0;2.0;15.72;6.0;2.0;;;;4.0;8.0;0.0;;0.0;-164.5;-202.36;1.0;-180.17;0.0;-182.11;-11.19;-11.19;0.0;;8.0;0.0;8.0;1.0;;;1.0;;5.0;5.0;;;1.0;7.0;;1.0;;;0.0;1.0;0.0;;;;0.0;;;;17.0;-7.0;2.0;-0.0;16.0;0.0;16.0;;-5.0;0.0;;;1.0;;;;;0.0;-1.0;;;;;;7.0;;;-0.0;1.0;8.0;4.0;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;7.0;4.0;-4.0;-6.0;-6.0;-6.0;1.0;15.0;22.0;4.0;5.0;17.0;-5.0;-0.0;10.0;6.0;-5.0;4.0;51.27;10.0;2.0;;;;8.0;13.0;0.0;0.0;1.0;-60.62;-82.02;0.0;-76.35;0.0;-79.54;-11.2;-11.2;1.0;;13.0;;13.0;1.0;;1.0;2.0;;5.0;5.0;;;1.0;7.0;;2.0;;;0.0;1.0;1.0;;;1.0;1.0;;;;28.0;-13.0;3.0;0.0;22.0;0.0;22.0;;-6.0;1.0;;;-0.0;;;;;-0.0;-0.0;;;;0.0;;10.0;;;-0.0;1.0;13.0;8.0;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;7.0;1.0;-2.0;-5.0;-4.0;-4.0;1.0;10.0;17.0;2.0;3.0;13.0;-5.0;-0.0;-0.0;-5.0;-5.0;6.0;18.51;6.0;3.0;;;;3.0;12.0;1.0;0.0;2.0;-28.78;-62.32;1.0;-53.71;0.0;-54.74;-5.6;-5.6;1.0;;8.0;;8.0;1.0;;0.0;2.0;0.0;4.0;4.0;;;1.0;7.0;;1.0;0.0;;0.0;1.0;1.0;;;0.0;1.0;;;;28.0;-17.0;2.0;;17.0;0.0;17.0;;-4.0;2.0;;;-2.0;;;;-0.0;0.0;-0.0;;;;0.0;;;;;-0.0;-0.0;8.0;13.0;;0.74;15.3;-8.37;-9.71;;0.25;27.96;1.0;-19.9;-1.1;;10.0;-62.3;2.0;-5.0;-1.7;-54.7;10.0;1.0;18.0;-27.6;-23.5;-29.9;100.0;;0.742
2007.0;12.0;6.0;0.0;-1.0;-1.0;-1.0;1.0;12.0;18.0;3.0;3.0;14.0;2.0;0.0;-0.0;3.0;2.0;6.0;52.29;7.0;4.0;;;;4.0;13.0;0.0;0.0;1.0;2.59;-11.31;0.0;-10.43;0.0;-12.11;-2.24;-2.24;1.0;;11.0;;11.0;1.0;;0.0;2.0;0.0;3.0;3.0;;;1.0;6.0;;1.0;0.0;;0.0;1.0;1.0;;;0.0;1.0;;;;;-18.0;4.0;;18.0;0.0;18.0;;-1.0;1.0;;;1.0;;;;-0.0;1.0;-0.0;;;;0.0;;;;;-0.0;1.0;11.0;8.0;;0.85;21.26;-2.57;3.15;;0.25;25.89;1.0;-39.4;-2.3;;14.0;-11.3;2.0;-2.0;-17.2;-12.1;10.0;1.0;17.0;-9.1;-6.5;-9.9;100.0;;0.849
2008.0;15.0;14.0;-1.0;-2.0;-5.0;-5.0;1.0;15.0;23.0;3.0;3.0;20.0;0.0;-0.0;-1.0;-0.0;0.0;1.0;94.34;16.0;1.0;10.0;10.0;0.0;5.0;17.0;;0.0;5.0;-3.98;-12.36;-3.0;-34.72;;-34.68;-8.07;-8.07;1.0;;12.0;;12.0;2.0;;1.0;2.0;0.0;6.0;6.0;;;0.0;8.0;;2.0;0.0;;0.0;1.0;0.0;;;0.0;0.0;;;;;-49.0;2.0;;23.0;0.0;23.0;;-5.0;5.0;;;-1.0;;;;0.0;2.0;-0.0;;;;0.0;;;;;-1.0;-0.0;13.0;13.0;;0.96;24.32;-8.43;0.47;;0.18;31.97;1.0;-6.1;-0.3;;16.0;-12.4;5.0;-5.0;;-34.7;13.0;0.0;21.0;-25.7;-22.5;-26.4;100.0;;0.958
2009.0;9.0;7.0;-3.0;-7.0;-8.0;-6.0;1.0;8.0;15.0;3.0;3.0;11.0;-4.0;-0.0;-0.0;-4.0;-4.0;2.0;80.66;14.0;1.0;9.0;9.0;0.0;4.0;16.0;;0.0;3.0;-33.03;-72.3;-1.0;-85.46;;-68.82;-11.76;-11.76;1.0;;6.0;0.0;6.0;1.0;;0.0;2.0;;5.0;4.0;0.0;;;6.0;;2.0;0.0;0.0;0.0;1.0;;;;0.0;0.0;;;;58.0;-46.0;-5.0;5.0;14.0;0.0;15.0;;-6.0;3.0;;-0.0;1.0;;;;0.0;-1.0;-0.0;-0.0;-0.0;;0.0;;;;;-0.0;-0.0;6.0;11.0;;0.81;17.09;-11.76;-7.7;;0.32;20.93;1.0;-3.0;-0.0;;11.0;-72.3;4.0;-8.0;;-68.8;6.0;;14.0;-55.2;-43.5;-56.2;100.0;;0.807
