;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
2004.0;11.0;9.0;-3.0;-5.0;-5.0;-5.0;6.0;17.0;21.0;5.0;7.0;14.0;-4.0;-0.0;0.0;-4.0;-4.0;2.0;83.44;14.0;7.0;6.0;6.0;0.0;;15.0;0.0;0.0;1.0;-30.9;-46.39;0.0;-45.88;0.0;-46.15;-0.81;-0.81;6.0;;14.0;;14.0;3.0;0.0;;4.0;;1.0;1.0;;;;4.0;;4.0;;;;1.0;;;0.0;2.0;2.0;;;;43.0;-29.0;;;21.0;;21.0;;-5.0;1.0;;;-0.0;;0.0;;;-0.0;-0.0;;;;-0.0;-0.0;;;;0.0;;14.0;18.0;;1.36;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;13.0;8.0;-6.0;-8.0;-8.0;-8.0;9.0;43.0;97.0;17.0;24.0;72.0;-5.0;-5.0;25.0;16.0;-6.0;6.0;57.04;15.0;8.0;7.0;7.0;0.0;-0.0;21.0;0.0;0.0;2.0;-44.19;-59.16;-0.0;-59.17;-0.0;-58.19;-0.86;-0.86;9.0;;28.0;;28.0;12.0;4.0;;11.0;35.0;6.0;41.0;;;2.0;53.0;;11.0;;;;5.0;;;2.0;6.0;8.0;;;;82.0;-33.0;23.0;;97.0;;97.0;;-8.0;2.0;;;2.0;;1.0;;-0.0;-1.0;-1.0;-3.0;;;-0.0;-0.0;25.0;;;0.0;-0.0;28.0;12.0;;1.18;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;46.0;21.0;-9.0;-16.0;-16.0;-15.0;14.0;105.0;221.0;39.0;77.0;145.0;-12.0;-3.0;52.0;37.0;-18.0;26.0;44.43;35.0;21.0;18.0;16.0;3.0;-4.0;61.0;0.0;1.0;6.0;-19.09;-33.59;-1.0;-35.54;-2.0;-32.25;-1.11;-1.11;14.0;;68.0;;68.0;33.0;5.0;;34.0;47.0;24.0;70.0;;1.0;10.0;116.0;;34.0;4.0;0.0;;1.0;6.0;;1.0;31.0;38.0;;10.0;;138.0;-52.0;58.0;0.0;221.0;;221.0;;-15.0;6.0;;1.0;5.0;;0.0;;;-10.0;-6.0;2.0;;;-0.0;-2.0;54.0;;;0.0;-0.0;68.0;31.0;;1.32;2.6;-0.84;-1.0;;0.31;8.09;14.0;;;;35.0;-33.6;5.0;-11.0;9.3;-32.2;51.0;5.0;110.0;-7.5;-6.8;-10.3;100.0;;1.32
2007.0;96.0;52.0;-18.0;-32.0;-33.0;-32.0;21.0;118.0;217.0;63.0;73.0;144.0;1.0;-9.0;5.0;-3.0;-8.0;44.0;54.25;74.0;45.0;32.0;28.0;4.0;-2.0;118.0;2.0;3.0;12.0;-18.81;-33.12;-1.0;-34.13;-1.0;-33.29;-1.55;-1.55;21.0;;72.0;;72.0;32.0;7.0;6.0;33.0;50.0;9.0;58.0;;1.0;7.0;99.0;;19.0;4.0;0.0;;40.0;3.0;;0.0;7.0;10.0;;6.0;;162.0;-86.0;68.0;;217.0;;217.0;;-32.0;12.0;;2.0;14.0;;-2.0;;;5.0;-9.0;;;;0.0;-4.0;;;;9.0;-0.0;72.0;75.0;;1.46;3.19;-1.06;-0.27;;0.29;4.77;21.0;;;;66.0;-33.1;8.0;-22.0;2.5;-33.3;37.0;2.0;99.0;-19.2;-14.0;-22.3;100.0;;1.459
2008.0;108.0;69.0;-8.0;-21.0;-26.0;-20.0;21.0;84.0;166.0;42.0;48.0;118.0;-11.0;-14.0;-5.0;-31.0;-19.0;39.0;63.93;86.0;54.0;33.0;29.0;3.0;-1.0;125.0;3.0;7.0;10.0;-7.78;-19.77;-5.0;-24.0;-5.0;-18.95;-0.96;-0.96;21.0;;38.0;;38.0;37.0;5.0;3.0;28.0;47.0;6.0;53.0;;;1.0;82.0;;19.0;1.0;0.0;;22.0;2.0;;0.0;5.0;7.0;;2.0;;155.0;-101.0;64.0;;166.0;;166.0;;-20.0;10.0;;2.0;-12.0;;1.0;;-1.0;9.0;-8.0;-1.0;;;-5.0;-7.0;;;;2.0;0.0;38.0;69.0;;1.4;3.63;-0.69;-0.66;;0.27;3.98;21.0;;;;77.0;-19.8;7.0;-15.0;21.1;-18.9;30.0;1.0;84.0;-11.8;-11.2;-17.3;100.0;;1.398
2009.0;133.0;11.0;13.0;2.0;2.0;4.0;23.0;121.0;206.0;45.0;50.0;156.0;9.0;-7.0;27.0;29.0;2.0;122.0;8.59;9.0;;27.0;24.0;3.0;-19.0;131.0;1.0;1.0;10.0;10.05;1.78;0.0;1.81;-2.0;3.23;0.2;0.19;22.0;;68.0;;68.0;46.0;3.0;5.0;28.0;48.0;5.0;53.0;;2.0;1.0;85.0;;22.0;1.0;0.0;;22.0;1.0;;1.0;3.0;5.0;;2.0;;176.0;-96.0;76.0;;206.0;;206.0;;4.0;10.0;;4.0;-7.0;;2.0;;0.0;-2.0;-7.0;;;;-1.0;-1.0;;;;27.0;;68.0;39.0;;1.43;4.3;0.14;0.05;;0.24;5.03;22.0;;;;93.0;1.8;7.0;3.0;-78.6;3.2;53.0;1.0;109.0;3.8;1.7;2.8;100.0;;1.432
2010.0;164.0;9.0;18.0;1.0;1.0;6.0;24.0;146.0;260.0;51.0;61.0;199.0;-25.0;-27.0;42.0;-9.0;-31.0;155.0;5.22;7.0;;32.0;29.0;3.0;-26.0;162.0;1.0;2.0;16.0;11.26;0.84;-1.0;0.48;-5.0;3.57;0.24;0.23;24.0;;54.0;;54.0;85.0;2.0;5.0;32.0;57.0;18.0;75.0;;5.0;2.0;113.0;;29.0;1.0;0.0;;21.0;1.0;;4.0;5.0;10.0;;2.0;;183.0;-80.0;96.0;0.0;260.0;;260.0;;6.0;16.0;;3.0;-38.0;;0.0;;-0.0;-11.0;-6.0;-21.0;;;0.0;-0.0;;;;42.0;1.0;54.0;63.0;;1.34;5.04;0.18;-0.94;;0.18;6.12;24.0;;;;122.0;0.8;12.0;4.0;-643.2;3.6;71.0;1.0;149.0;10.2;1.1;2.9;100.0;;1.338
2011.0;124.0;-38.0;-26.0;-43.0;-44.0;-43.0;26.0;85.0;208.0;46.0;55.0;153.0;-16.0;4.0;1.0;-10.0;-23.0;162.0;-30.35;5.0;;33.0;30.0;3.0;-28.0;167.0;1.0;2.0;16.0;-20.84;-34.35;-1.0;-35.17;-1.0;-34.52;-1.62;-1.62;26.0;;42.0;;42.0;39.0;1.0;3.0;25.0;50.0;14.0;64.0;;3.0;31.0;124.0;;23.0;1.0;1.0;;22.0;1.0;;3.0;6.0;9.0;;1.0;;178.0;-118.0;93.0;;208.0;;208.0;;-43.0;16.0;;3.0;11.0;;1.0;;;-2.0;-8.0;11.0;;;-2.0;-0.0;;;;1.0;1.0;42.0;52.0;;1.29;3.63;-1.25;-0.68;;0.22;4.48;26.0;;;;96.0;-34.3;12.0;-33.0;1.9;-34.5;30.0;0.0;118.0;-25.0;-19.9;-28.0;100.0;;1.294
2012.0;180.0;116.0;5.0;-9.0;-7.0;-8.0;27.0;175.0;310.0;144.0;154.0;156.0;85.0;-8.0;5.0;82.0;76.0;64.0;64.64;119.0;106.0;27.0;24.0;3.0;-14.0;183.0;1.0;0.0;12.0;2.94;-4.85;2.0;-3.78;1.0;-4.2;-0.29;-0.29;27.0;;125.0;;125.0;44.0;0.0;6.0;24.0;50.0;12.0;62.0;;2.0;47.0;135.0;;29.0;0.0;0.0;110.0;4.0;0.0;;3.0;7.0;10.0;;1.0;;184.0;-125.0;1.0;96.0;310.0;;310.0;;-8.0;12.0;;3.0;76.0;;0.0;;0.0;1.0;-9.0;;;;-1.0;-1.0;4.0;;;2.0;1.0;125.0;43.0;;1.32;5.13;-0.22;2.16;;0.26;4.46;27.0;-81.9;-5.5;;136.0;-4.9;9.0;-6.0;-11.0;-4.2;24.0;0.0;118.0;-4.4;-2.1;-4.8;100.0;;1.319
2013.0;189.0;133.0;-4.0;-15.0;-15.0;-11.0;29.0;243.0;395.0;155.0;165.0;230.0;1.0;-12.0;77.0;64.0;-10.0;57.0;70.01;146.0;137.0;30.0;27.0;3.0;-20.0;203.0;2.0;0.0;11.0;-2.09;-8.0;-0.0;-8.13;-4.0;-5.87;-0.38;-0.38;29.0;;194.0;;194.0;44.0;0.0;4.0;27.0;54.0;11.0;65.0;0.0;6.0;54.0;152.0;;40.0;0.0;0.0;109.0;5.0;0.0;;3.0;7.0;11.0;;1.0;;212.0;-138.0;0.0;155.0;395.0;0.0;395.0;;-11.0;11.0;;4.0;5.0;1.0;-0.0;3.0;0.0;-8.0;-11.0;-2.0;;;-1.0;-0.0;75.0;;;2.0;-1.0;194.0;130.0;;1.37;4.78;-0.28;-0.26;;0.27;5.81;29.0;-78.7;-4.6;;138.0;-8.0;8.0;-8.0;27.8;-5.9;64.0;0.0;167.0;-4.6;-3.8;-4.8;100.0;;1.375
