;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (MXN/USD)
2010.0;548.0;108.0;36.0;41.0;33.0;46.0;73.0;;;;;;44.0;-26.0;-7.0;8.0;18.0;440.0;19.64;66.0;;65.0;15.0;50.0;2.0;507.0;0.0;4.0;5.0;6.6;7.54;-9.0;5.97;-19.0;8.44;0.64;0.64;73.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.0;5.0;;;-4.0;-7.0;-0.0;20.0;15.0;-4.0;-26.0;;;;-3.0;;;;;-7.0;-2.0;55.0;46.0;;0.08;93.15;7.86;2.99;;4.42;;73.0;;;;6777.0;7.5;62.0;572.0;-59.0;8.4;;;;;;;100.0;;0.081
2011.0;636.0;47.0;-9.0;-27.0;-23.0;-21.0;80.0;81.0;363.0;228.0;301.0;54.0;-11.0;-45.0;40.0;-17.0;-98.0;588.0;7.46;74.0;;54.0;;54.0;20.0;663.0;0.0;4.0;7.0;-1.49;-4.2;4.0;-3.55;0.0;-3.31;-0.26;-0.26;80.0;;32.0;0.0;32.0;17.0;6.0;26.0;109.0;;4.0;4.0;;22.0;147.0;282.0;;38.0;49.0;31.0;59.0;81.0;52.0;;;21.0;73.0;;;;141.0;-82.0;-5.0;0.0;355.0;8.0;363.0;;-21.0;7.0;;;-9.0;-2.0;-3.0;6.0;21.0;12.0;-87.0;;;;41.0;-19.0;;;;59.0;-2.0;32.0;48.0;;0.07;110.52;-3.65;-16.96;;15.12;9.34;80.0;;;;8879.0;-4.2;103.0;-294.0;-0.2;-3.3;-2048.0;725.0;751.0;-13.3;-4.8;-39.1;100.0;;0.072
2012.0;909.0;105.0;40.0;29.0;16.0;17.0;73.0;141.0;444.0;290.0;360.0;82.0;39.0;15.0;-21.0;30.0;-28.0;805.0;11.5;79.0;;78.0;20.0;59.0;0.0;884.0;1.0;7.0;16.0;4.44;3.24;-13.0;1.77;0.0;1.84;0.23;0.23;73.0;;64.0;0.0;64.0;30.0;8.0;39.0;93.0;;5.0;5.0;;25.0;180.0;302.0;;40.0;41.0;44.0;98.0;110.0;49.0;;1.0;20.0;70.0;;;;185.0;-72.0;-5.0;-25.0;442.0;2.0;444.0;;17.0;16.0;;;10.0;-6.0;-1.0;-1.0;32.0;-4.0;-67.0;;;;79.0;-54.0;;;;33.0;-2.0;64.0;34.0;;0.08;159.55;2.94;-4.9;;11.69;14.37;73.0;;;;11686.0;3.2;211.0;215.0;1.7;1.8;-1907.0;633.0;1052.0;15.5;5.4;20.5;100.0;;0.078
2013.0;997.0;105.0;55.0;24.0;22.0;21.0;87.0;307.0;642.0;297.0;339.0;304.0;3.0;-24.0;143.0;125.0;-86.0;892.0;10.53;81.0;;54.0;;54.0;27.0;973.0;2.0;10.0;23.0;5.49;2.44;-3.0;2.18;1.0;2.07;0.24;0.24;87.0;;188.0;1.0;189.0;46.0;9.0;63.0;103.0;;6.0;6.0;;23.0;203.0;336.0;;41.0;21.0;46.0;107.0;129.0;23.0;;2.0;18.0;42.0;;;;228.0;-51.0;-53.0;179.0;642.0;;642.0;;21.0;23.0;;;-38.0;-3.0;-1.0;1.0;8.0;-2.0;-89.0;;;;62.0;-83.0;200.0;;;26.0;3.0;188.0;63.0;;0.08;150.22;3.1;-12.97;;13.41;45.78;87.0;4.5;0.3;;13002.0;2.4;302.0;269.0;6.2;2.1;128.0;294.0;3962.0;8.6;4.9;6.8;100.0;232.0;0.077
2014.0;951.0;97.0;68.0;14.0;44.0;41.0;101.0;250.0;671.0;323.0;368.0;303.0;23.0;-80.0;36.0;-13.0;-86.0;854.0;10.24;84.0;;84.0;29.0;55.0;0.0;939.0;2.0;1.0;23.0;7.16;1.45;30.0;4.59;3.0;4.31;0.41;0.41;101.0;;154.0;4.0;158.0;30.0;9.0;52.0;151.0;;5.0;5.0;;22.0;244.0;421.0;;34.0;56.0;46.0;98.0;135.0;29.0;;2.0;15.0;45.0;;;;202.0;-4.0;-8.0;113.0;671.0;;671.0;;41.0;23.0;;;-31.0;3.0;-2.0;-1.0;-9.0;-10.0;-109.0;;;;26.0;-27.0;;-0.0;;63.0;10.0;154.0;166.0;;0.07;138.72;5.98;-12.54;;15.84;44.17;101.0;1.5;0.1;;14037.0;1.5;343.0;605.0;6.0;4.3;-1080.0;425.0;4470.0;12.1;6.7;13.5;100.0;-0.6;0.068
2015.0;1058.0;236.0;231.0;146.0;204.0;143.0;101.0;421.0;888.0;413.0;491.0;397.0;179.0;-35.0;4.0;168.0;94.0;822.0;22.3;100.0;;99.0;36.0;63.0;1.0;922.0;3.0;1.0;27.0;21.88;13.81;58.0;19.26;60.0;13.55;1.41;1.41;101.0;;300.0;1.0;301.0;27.0;9.0;84.0;148.0;;6.0;6.0;;32.0;281.0;466.0;;45.0;80.0;84.0;116.0;172.0;13.0;;52.0;13.0;78.0;;;;173.0;140.0;-15.0;99.0;888.0;;888.0;;143.0;27.0;;;-26.0;-3.0;-1.0;17.0;-5.0;35.0;-85.0;;;;47.0;-47.0;1.0;;;49.0;21.0;300.0;132.0;;0.06;179.66;24.35;15.95;;14.39;67.45;101.0;0.5;0.0;;18180.0;13.8;457.0;2464.0;29.6;13.6;139.0;220.0;6825.0;30.4;23.1;36.1;100.0;-1.5;0.058
2016.0;1134.0;218.0;267.0;132.0;240.0;170.0;101.0;557.0;1050.0;380.0;530.0;520.0;47.0;-1.0;1.0;92.0;-62.0;915.0;19.27;110.0;;110.0;42.0;68.0;-0.0;1025.0;5.0;1.0;26.0;23.57;11.65;108.0;21.17;70.0;14.97;1.68;1.68;101.0;;341.0;26.0;367.0;46.0;12.0;132.0;122.0;;5.0;5.0;;27.0;339.0;493.0;;42.0;51.0;81.0;105.0;183.0;45.0;;89.0;15.0;149.0;;;;143.0;292.0;2.0;83.0;1050.0;;1050.0;;170.0;26.0;70.0;0.0;-113.0;-8.0;-4.0;7.0;-10.0;-106.0;-109.0;;;;105.0;-74.0;;-1.0;;75.0;46.0;341.0;249.0;;0.05;232.36;34.78;-12.66;;22.33;106.67;101.0;0.5;0.0;;23512.0;11.7;537.0;3519.0;29.3;15.0;3663.0;943.0;10794.0;25.5;23.0;32.6;100.0;-1.3;0.048
2017.0;1264.0;133.0;-6.0;1.0;-38.0;-30.0;101.0;575.0;1153.0;477.0;636.0;517.0;50.0;-115.0;71.0;-6.0;-85.0;1131.0;10.51;135.0;;135.0;49.0;86.0;0.0;1266.0;5.0;4.0;28.0;-0.51;0.08;-39.0;-3.04;-8.0;-2.39;-0.3;-0.3;101.0;;354.0;25.0;379.0;74.0;15.0;108.0;223.0;;10.0;10.0;;29.0;317.0;578.0;;55.0;122.0;69.0;114.0;186.0;55.0;;82.0;22.0;159.0;;;;151.0;258.0;20.0;87.0;1153.0;;1153.0;;-30.0;28.0;-8.0;0.0;72.0;7.0;-3.0;10.0;6.0;-12.0;-135.0;;;;13.0;-47.0;;-1.0;;119.0;-12.0;354.0;360.0;;0.05;245.54;-5.88;-16.47;;26.22;100.44;101.0;-2.1;-0.1;;24845.0;0.1;549.0;-595.0;21.3;-2.4;1941.0;1079.0;10163.0;-4.0;-3.0;-5.9;100.0;;0.051
2018.0;1389.0;52.0;-16.0;-45.0;-47.0;-35.0;101.0;468.0;1135.0;471.0;669.0;467.0;29.0;-71.0;-12.0;-55.0;-114.0;1337.0;3.74;128.0;;128.0;52.0;76.0;-0.0;1465.0;8.0;6.0;25.0;-1.12;-3.22;-2.0;-3.37;-12.0;-2.5;-0.35;-0.35;101.0;;298.0;3.0;301.0;75.0;15.0;76.0;294.0;;9.0;9.0;;30.0;334.0;668.0;;55.0;62.0;99.0;127.0;227.0;118.0;;56.0;25.0;198.0;;;;151.0;217.0;11.0;87.0;1135.0;;1135.0;;-35.0;25.0;-12.0;1.0;105.0;0.0;-0.0;1.0;47.0;-56.0;-143.0;;;;69.0;-61.0;;-3.0;;52.0;-1.0;298.0;354.0;;0.05;269.85;-6.74;-22.22;;27.81;90.64;101.0;-1.0;-0.0;;27305.0;-3.2;501.0;-683.0;25.9;-2.5;-60.0;2311.0;9172.0;-4.6;-3.6;-7.4;100.0;;0.051
2019.0;1839.0;348.0;600.0;230.0;197.0;139.0;101.0;640.0;3342.0;915.0;3050.0;292.0;502.0;-99.0;-277.0;112.0;314.0;1491.0;18.94;129.0;;131.0;55.0;76.0;-2.0;1620.0;11.0;119.0;284.0;32.66;12.51;-33.0;10.72;58.0;7.58;1.38;1.38;101.0;;417.0;7.0;424.0;123.0;16.0;78.0;2192.0;;9.0;9.0;0.0;81.0;420.0;2702.0;;84.0;359.0;118.0;196.0;275.0;2043.0;;8.0;84.0;2135.0;;2139.0;;157.0;23.0;22.0;90.0;3342.0;;3342.0;;139.0;284.0;58.0;2.0;4.0;-19.0;-0.0;27.0;66.0;15.0;-188.0;;;;85.0;-406.0;;-4.0;;133.0;-14.0;421.0;310.0;;0.05;344.17;26.08;58.79;;35.19;54.65;101.0;0.4;0.0;;34826.0;12.5;5378.0;2639.0;29.3;7.6;-5207.0;38686.0;5530.0;9.2;9.5;47.7;100.0;1.3;0.053
