;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (INR/USD)
2001.0;;;;;;;126.0;;;;;;;;;;;;47.74;;;;;;;;;;;17.85;13.59;;9.69;;6.76;;;126.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;152.0;;;;;;;;;;;;58.68;;;;;;;;;;;36.22;30.47;;30.53;;29.6;;;152.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;153.0;;;;;;;;;;;;56.62;;;;;;;;;;;27.38;18.52;;21.75;;19.55;;;153.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;153.0;;;;;;;;;;;;53.46;;;;;;;;;;;18.29;10.36;;12.65;;12.32;;;153.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;153.0;;;;;;;;;;;;51.8;;;;;;;;;;;7.32;-1.88;;0.55;;1.08;;;153.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;153.0;;;;;;;;;;;;48.83;;;;;;;;;;;14.23;5.94;;7.78;;6.71;;;153.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158.92;10.67;-1.78;2.86;12.54;145.85;153.0;1.4;0.1;18.7;24330.0;5.9;1571.0;1633.0;13.7;6.7;1349.0;20991.0;22329.0;3.3;2.7;7.3;73.2;-133.5;
2007.0;;;;;;;159.0;;;;;;;;;;;;47.43;;;;;;;;;;;20.76;17.24;;16.13;;14.33;;;159.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;411.53;58.96;44.68;2.77;29.94;262.86;159.0;0.3;0.0;17.1;65249.0;17.2;3017.0;9349.0;11.2;14.3;18978.0;17913.0;41677.0;13.8;12.2;22.4;95.3;-135.7;
2008.0;;;;;;;169.0;;;;;;;;;;;;50.81;;;;;;;;;;;19.3;6.71;;6.88;;9.36;;;168.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;297.52;27.83;-3.85;4.39;40.28;280.03;168.0;0.5;0.0;33.0;50006.0;6.7;6205.0;4678.0;-35.8;9.4;15228.0;12864.0;47067.0;7.1;4.0;9.9;84.2;-111.6;
2009.0;;;;;;;168.0;;;;;;;;;;;;52.56;;;;;;;;;;;2.14;-4.08;;-5.75;;-7.44;;;168.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;412.48;-30.7;-1.52;4.38;28.28;249.75;168.0;-0.5;-0.0;28.7;69441.0;-4.1;3814.0;-5168.0;-29.3;-7.4;12457.0;10132.0;42045.0;-5.3;-2.8;-12.3;114.3;;
2010.0;;;;;;;170.0;;;;;;;;;;;;51.71;;;;;;;;;;;9.37;2.86;;2.92;;1.52;;;169.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;416.56;6.33;53.01;7.31;25.39;254.38;169.0;4.8;0.2;24.1;70277.0;2.9;4160.0;1068.0;48.0;1.5;13041.0;5385.0;42915.0;2.5;3.0;2.5;-15.4;13.6;
2011.0;;;;;;;170.0;;;;;;;;;;;;53.9;;;;;;;;;;;22.7;16.91;;16.66;;14.78;;;169.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;441.31;65.23;-21.25;18.1;68.57;271.72;169.0;0.5;0.0;53.2;74693.0;16.9;4148.0;11040.0;11.3;14.8;6578.0;5316.0;45990.0;21.0;13.5;24.0;72.3;-84.3;
2012.0;;;;;;;170.0;;;;;;;;;;;;55.1;;;;;;;;;;;25.58;18.87;;19.09;;14.74;;;170.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;570.52;84.11;44.62;13.07;50.63;338.78;170.0;0.4;0.0;40.9;96737.0;18.9;5213.0;14262.0;22.8;14.7;26492.0;16335.0;57444.0;19.8;16.3;24.8;84.5;29.2;
2013.0;;;;;;;170.0;;;;;;;;;;;;52.1;;;;;;;;;;;24.29;18.16;;18.64;;14.43;;;170.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;684.83;98.82;35.23;15.99;43.21;430.49;170.0;0.4;0.0;43.7;116266.0;18.2;5549.0;16777.0;22.6;14.4;32068.0;12625.0;73085.0;19.8;15.9;23.0;83.8;45.4;
2014.0;;;;;;;171.0;;;;;;;;;;;;57.35;;;;;;;;;;;26.47;19.7;;20.13;;16.28;;;170.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;776.97;126.48;51.94;17.55;62.47;533.78;170.0;0.4;0.0;37.7;132170.0;19.7;7106.0;21515.0;19.1;16.3;49684.0;20740.0;90801.0;19.4;16.4;23.7;86.1;33.8;
2015.0;2371.0;1366.0;598.0;421.0;451.0;355.0;171.0;1917.0;3116.0;1024.0;1335.0;1781.0;401.0;-366.0;-66.0;-49.0;155.0;1005.0;57.63;944.0;279.0;;;;664.0;1948.0;17.0;17.0;130.0;25.21;17.74;30.0;19.0;96.0;14.97;2.08;2.08;170.0;;86.0;548.0;634.0;807.0;408.0;68.0;769.0;54.0;209.0;263.0;62.0;93.0;12.0;1199.0;;171.0;461.0;40.0;17.0;375.0;229.0;34.0;28.0;20.0;311.0;;14.0;;14.0;1338.0;;429.0;3116.0;;3116.0;;355.0;130.0;96.0;8.0;-241.0;;-87.0;;20.0;53.0;-245.0;-4.0;-855.0;723.0;-80.0;-59.0;3.0;;-57.0;48.0;-17.0;86.0;135.0;;0.02;869.75;130.17;56.97;21.05;89.96;653.25;170.0;0.4;0.0;37.4;148189.0;17.7;8100.0;22179.0;21.2;15.0;55843.0;14307.0;111302.0;17.6;15.0;19.9;83.8;34.8;0.016
2016.0;2336.0;1393.0;577.0;447.0;410.0;302.0;171.0;1807.0;3136.0;976.0;1198.0;1938.0;623.0;-308.0;-257.0;-7.0;398.0;943.0;59.65;945.0;269.0;;;;675.0;1887.0;21.0;12.0;155.0;24.7;19.15;-37.0;17.54;108.0;12.94;1.77;1.77;171.0;;74.0;529.0;603.0;759.0;386.0;59.0;815.0;58.0;314.0;372.0;50.0;75.0;16.0;1328.0;;186.0;345.0;39.0;10.0;436.0;161.0;23.0;12.0;25.0;221.0;;13.0;;13.0;1503.0;;422.0;3136.0;;3136.0;;302.0;155.0;108.0;7.0;-3.0;;-38.0;;11.0;54.0;-225.0;-120.0;-1031.0;1046.0;-23.0;-177.0;0.0;;-62.0;-18.0;-65.0;74.0;81.0;;0.02;906.81;117.3;154.58;24.07;87.19;752.23;171.0;0.4;0.0;52.2;154708.0;19.1;10250.0;20013.0;26.3;12.9;55042.0;10685.0;128336.0;14.4;13.5;15.6;79.5;15.6;0.015
