;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CLP/USD)
2012.0;;;;;;;;1282.0;9639.0;1321.0;3246.0;5129.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;196.0;0.0;196.0;993.0;75.0;18.0;5866.0;1810.0;79.0;1889.0;378.0;38.0;186.0;8357.0;;492.0;455.0;65.0;;374.0;1349.0;;391.0;185.0;1925.0;;36.0;;2391.0;1941.0;797.0;;8375.0;1264.0;9639.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013.0;3272.0;1352.0;873.0;745.0;712.0;437.0;982.0;1436.0;9173.0;1766.0;3339.0;4641.0;843.0;-202.0;-412.0;230.0;599.0;1920.0;41.31;582.0;;362.0;354.0;7.0;220.0;2502.0;5.0;91.0;227.0;26.67;22.77;-33.0;21.76;117.0;13.35;0.44;0.44;982.0;;409.0;2.0;411.0;934.0;42.0;50.0;5482.0;1650.0;71.0;1721.0;413.0;21.0;99.0;7737.0;;554.0;234.0;113.0;;978.0;1094.0;;337.0;142.0;1573.0;;34.0;;4259.0;2056.0;-1674.0;;7980.0;1193.0;9173.0;;437.0;227.0;;;;;;;;179.0;-244.0;-10.0;-0.0;2.0;50.0;-404.0;;;-193.0;185.0;1.0;409.0;179.0;;0.0;1751.34;233.77;320.54;103.21;130.61;2483.91;982.0;;;;1719567.0;22.8;119507.0;229527.0;16.5;13.3;-173412.0;574924.0;2438837.0;8.7;8.1;9.4;55.9;32.2;0.002
2014.0;3316.0;1142.0;776.0;630.0;547.0;267.0;982.0;1387.0;8439.0;1514.0;3362.0;4069.0;;-311.0;-262.0;-135.0;117.0;2175.0;34.42;490.0;;325.0;319.0;6.0;165.0;2665.0;5.0;79.0;211.0;23.4;19.0;-83.0;16.49;218.0;8.06;0.27;0.27;982.0;;219.0;2.0;220.0;1055.0;72.0;40.0;5405.0;1460.0;60.0;1521.0;71.0;21.0;33.0;7051.0;;627.0;236.0;101.0;;652.0;1224.0;;420.0;204.0;1848.0;;31.0;;3669.0;1929.0;-1529.0;;7431.0;1007.0;8439.0;;267.0;211.0;;;;;;;;-479.0;-319.0;-0.0;-55.0;37.0;26.0;-194.0;;;-265.0;197.0;2.0;219.0;354.0;;0.0;2052.1;165.46;72.28;164.11;197.57;2517.89;982.0;;;;2014864.0;19.0;128437.0;162459.0;39.9;8.1;-77220.0;743672.0;2472201.0;5.7;7.6;6.6;0.8;227.1;0.002
2015.0;3362.0;1252.0;797.0;741.0;644.0;355.0;982.0;1197.0;7509.0;1204.0;2994.0;3656.0;;-418.0;-386.0;16.0;377.0;2109.0;37.26;516.0;;300.0;296.0;4.0;216.0;2625.0;4.0;71.0;216.0;23.71;22.04;-97.0;19.15;155.0;10.56;0.36;0.36;982.0;;203.0;23.0;226.0;905.0;60.0;6.0;4835.0;1251.0;60.0;1311.0;69.0;32.0;65.0;6312.0;;614.0;26.0;53.0;;563.0;1165.0;;331.0;294.0;1791.0;;29.0;;3143.0;1864.0;-1352.0;;6650.0;859.0;7509.0;;355.0;216.0;;;;;;;;-571.0;-436.0;6.0;-9.0;0.0;21.0;-201.0;;;-190.0;5.0;7.0;203.0;188.0;;0.0;2428.35;256.49;271.96;137.18;315.22;2640.59;982.0;;;;2384293.0;22.0;153202.0;251838.0;24.0;10.6;-4570.0;826381.0;2592682.0;8.1;8.7;9.7;46.5;50.4;0.001
2016.0;3754.0;1503.0;1046.0;847.0;1010.0;573.0;982.0;1293.0;8055.0;1130.0;2888.0;4123.0;;-95.0;-665.0;152.0;585.0;2251.0;40.04;547.0;;309.0;303.0;6.0;238.0;2798.0;9.0;66.0;241.0;27.88;22.57;162.0;26.9;166.0;15.27;0.58;0.58;982.0;;367.0;1.0;368.0;826.0;56.0;43.0;5186.0;1324.0;66.0;1390.0;33.0;33.0;120.0;6762.0;;581.0;27.0;143.0;;522.0;1197.0;;297.0;264.0;1758.0;;26.0;;3326.0;2342.0;-1544.0;;7011.0;1044.0;8055.0;;573.0;241.0;;;;;;;;-814.0;-332.0;-3.0;-12.0;207.0;46.0;-208.0;;;-482.0;25.0;-5.0;367.0;215.0;;0.0;2562.34;391.26;399.55;328.77;226.5;2814.46;982.0;0.0;0.0;6111.0;2515844.0;22.6;161661.0;384160.0;16.5;15.3;109280.0;802047.0;2763391.0;11.4;11.5;13.9;16.0;82.3;0.001
2017.0;4042.0;1550.0;1112.0;939.0;1082.0;567.0;981.0;1719.0;9243.0;1326.0;3096.0;4842.0;;-238.0;-515.0;282.0;600.0;2492.0;38.36;560.0;;328.0;324.0;4.0;232.0;3052.0;27.0;64.0;248.0;27.5;23.23;143.0;26.77;233.0;14.03;0.58;0.58;981.0;;681.0;0.0;681.0;924.0;64.0;50.0;5820.0;1440.0;90.0;1530.0;25.0;5.0;145.0;7523.0;;578.0;28.0;179.0;;720.0;1235.0;;280.0;256.0;1771.0;;24.0;;3618.0;2843.0;-1619.0;;7938.0;1304.0;9243.0;;567.0;248.0;;;;;;;;-815.0;-432.0;-3.0;-13.0;189.0;21.0;-13.0;;;-423.0;-79.0;3.0;681.0;399.0;;0.0;2537.64;356.0;376.58;265.74;271.07;3039.89;981.0;0.0;0.0;4831.7;2490470.0;23.2;152684.0;349383.0;21.5;14.0;242525.0;760933.0;2983384.0;10.3;10.9;11.7;25.4;70.6;0.002
2018.0;3469.0;1538.0;1162.0;965.0;815.0;521.0;1278.0;1435.0;10775.0;1752.0;5488.0;4923.0;;-2708.0;1391.0;-251.0;626.0;1931.0;44.33;583.0;;277.0;273.0;4.0;306.0;2514.0;24.0;111.0;310.0;33.51;27.82;-150.0;23.5;221.0;15.01;0.41;0.41;1278.0;;353.0;2.0;355.0;910.0;82.0;88.0;7639.0;1317.0;166.0;1483.0;23.0;28.0;168.0;9341.0;;671.0;474.0;28.0;;607.0;2451.0;;400.0;885.0;3736.0;;21.0;;5691.0;2755.0;-3419.0;-104.0;10411.0;364.0;10775.0;;521.0;310.0;;;;;;;;-830.0;-432.0;-2337.0;-2.0;1.0;64.0;-1182.0;958.0;-104.0;-333.0;2052.0;7.0;353.0;604.0;;0.0;1885.65;282.97;340.29;181.02;235.11;2676.46;1278.0;0.0;0.0;3352.2;2410360.0;27.8;215187.0;361710.0;27.1;15.0;-220516.0;1703044.0;3421229.0;7.2;8.2;10.6;36.0;-83.2;0.001
2019.0;3488.0;1532.0;907.0;699.0;501.0;394.0;1383.0;1353.0;10443.0;1384.0;5463.0;4631.0;;-414.0;-585.0;-13.0;562.0;1956.0;43.91;614.0;;305.0;301.0;4.0;309.0;2571.0;23.0;118.0;314.0;26.02;20.04;-198.0;14.38;81.0;11.28;0.28;0.28;1383.0;;313.0;1.0;315.0;939.0;53.0;46.0;7124.0;1219.0;176.0;1395.0;14.0;29.0;529.0;9090.0;;688.0;218.0;24.0;;478.0;2279.0;;331.0;1469.0;4079.0;;71.0;;5159.0;2669.0;-3197.0;;10094.0;349.0;10443.0;;394.0;314.0;;;;;;;;-708.0;-427.0;;-10.0;4.0;-8.0;-425.0;;;-314.0;154.0;-2.0;313.0;326.0;;0.0;1897.29;214.09;305.52;170.95;232.11;2519.06;1383.0;0.0;0.0;3668.4;2624576.0;20.0;236627.0;296154.0;16.2;11.3;-23087.0;1714838.0;3484698.0;5.7;5.9;8.5;20.2;56.0;0.001
2020.0;3583.0;1582.0;222.0;-48.0;-188.0;-72.0;1383.0;1443.0;11114.0;1470.0;6060.0;4713.0;;-780.0;-180.0;135.0;283.0;2001.0;44.14;670.0;;350.0;346.0;4.0;320.0;2672.0;28.0;85.0;323.0;6.21;-1.34;-140.0;-5.25;-114.0;-2.0;-0.05;-0.05;1383.0;;467.0;1.0;468.0;923.0;33.0;19.0;7155.0;1298.0;232.0;1530.0;22.0;152.0;812.0;9671.0;;459.0;224.0;158.0;;787.0;2126.0;;236.0;2228.0;4590.0;;73.0;;5458.0;2457.0;-3202.0;;10773.0;341.0;11114.0;;-72.0;323.0;;;;;;;;-252.0;-779.0;;-8.0;0.0;-48.0;-219.0;;;-440.0;479.0;32.0;467.0;331.0;;0.0;1842.21;-36.77;145.7;226.06;400.71;2423.08;1383.0;-0.1;-0.0;5811.3;2548384.0;-1.3;229957.0;-50860.0;60.8;-2.0;-19079.0;1512279.0;3351916.0;-0.4;-0.9;-1.5;714.9;;0.001
2021.0;3316.0;959.0;569.0;304.0;136.0;100.0;1383.0;1486.0;11134.0;2499.0;7212.0;3631.0;;-863.0;344.0;344.0;484.0;2357.0;28.92;594.0;;191.0;191.0;;403.0;2952.0;31.0;204.0;247.0;17.15;9.17;-168.0;4.09;18.0;3.01;0.07;0.07;1383.0;;;;;;;1486.0;;;;;;;9648.0;9648.0;;;;;;2499.0;;;;4713.0;4713.0;;;;;;;;10843.0;291.0;11134.0;;100.0;;;;;;;;;-100.0;;;;;-863.0;;;;;344.0;;;;;0.0;2045.56;61.56;298.48;;;2239.43;1383.0;0.0;0.0;;2829682.0;9.2;210928.0;85154.0;13.1;3.0;-864073.0;;3097868.0;3.3;3.0;2.7;100.0;;0.001
