;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (AUD/USD)
1998.0;;;;;;-0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;-inf;-0.0;-0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;;;;;;-0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;-inf;-0.8;-0.8;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;0.0;;-1.0;;;-1.0;1.0;;;;;;;;;;;;;0.0;0.0;;;;;0.0;;;;-1684.0;;;;;-1684.0;-1.43;-1.43;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;0.0;;-2.0;;;-2.0;1.0;;;;;;;;;;;;;2.0;1.0;;;;1.0;2.0;;;1.0;-580.87;;;;;-801.84;-2.45;-2.45;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;0.0;0.0;-2.0;-3.0;;-3.0;1.0;;;;;;-2.0;-0.0;0.0;-2.0;-2.0;;100.0;3.0;1.0;;;;2.0;3.0;0.0;;1.0;-540.06;-628.85;-0.0;;;-686.23;-3.37;-3.37;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.0;1.0;;;0.0;;;;;0.0;-0.0;;;;;;0.0;;;;;2.0;4.0;;0.56;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1.0;;-2.0;-3.0;;-3.0;1.0;2.0;11.0;0.0;0.0;11.0;-2.0;-0.0;2.0;-0.0;-2.0;;;4.0;1.0;;;;3.0;4.0;;;1.0;-187.11;-209.4;-1.0;;;-252.4;-3.22;-3.22;1.0;;2.0;;2.0;0.0;;0.0;0.0;;8.0;8.0;;;-0.0;9.0;;0.0;;;;0.0;;;;0.0;0.0;;;;11.0;-10.0;-0.0;10.0;11.0;;11.0;;-3.0;1.0;;;-0.0;;;;;0.0;-0.0;;;;;;2.0;;;-0.0;-0.0;2.0;2.0;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;2.0;2.0;-6.0;-6.0;-7.0;-7.0;1.0;21.0;29.0;2.0;2.0;27.0;-4.0;-0.0;22.0;18.0;-4.0;;100.0;8.0;4.0;;;;4.0;8.0;0.0;;1.0;-374.4;-385.32;-1.0;-425.88;;-425.88;-5.43;-5.43;1.0;;21.0;;21.0;0.0;;0.0;0.0;;8.0;8.0;;;-0.0;8.0;;2.0;;;;0.0;;;;0.0;0.0;0.0;;;34.0;-18.0;10.0;;29.0;0.0;29.0;;-7.0;1.0;;;2.0;;;;;1.0;-0.0;;;;;;24.0;;;-2.0;-0.0;21.0;2.0;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;2.0;2.0;-18.0;-9.0;-19.0;-19.0;2.0;17.0;17.0;2.0;2.0;15.0;-9.0;-0.0;4.0;-6.0;-9.0;;100.0;11.0;6.0;;;;5.0;11.0;1.0;;1.0;-898.69;-446.85;-10.0;-942.61;;-942.61;-9.15;-9.15;2.0;;16.0;;16.0;0.0;;0.0;0.0;;;;;;;0.0;;2.0;;;;0.0;;;;0.0;0.0;;;;42.0;-38.0;11.0;-0.0;17.0;;17.0;;-19.0;1.0;;;0.0;;;;;9.0;-0.0;;;;;;4.0;;;-0.0;-1.0;16.0;22.0;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1.0;1.0;-9.0;-8.0;-9.0;-9.0;2.0;8.0;8.0;1.0;1.0;6.0;-9.0;-0.0;-0.0;-8.0;-9.0;;100.0;9.0;6.0;3.0;3.0;0.0;0.0;9.0;;;0.0;-1522.41;-1496.86;-0.0;-1537.92;;-1537.92;-4.01;-4.01;2.0;;7.0;0.0;7.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;1.0;;;;0.0;;;;0.0;0.0;;;;41.0;2.0;-37.0;0.0;8.0;;8.0;;-9.0;0.0;;;-0.0;;;;;0.0;-0.0;;;;0.0;;;;;-0.0;0.0;7.0;16.0;;0.74;0.36;-5.49;-5.49;;0.03;4.09;2.0;-2.5;-0.1;;1.0;-1496.9;0.0;-12.0;;-1537.9;9.0;;9.0;-133.1;-112.5;-134.3;100.0;;0.742
2007.0;0.0;0.0;-9.0;-9.0;-9.0;-9.0;2.0;7.0;7.0;1.0;2.0;5.0;-8.0;-0.0;6.0;-2.0;-8.0;;100.0;10.0;4.0;6.0;6.0;0.0;0.0;10.0;;;0.0;-2185.5;-2167.55;-0.0;-2197.05;;-2197.05;-4.08;-4.08;2.0;;6.0;0.0;6.0;0.0;;0.0;0.0;;;;;;;0.0;;0.0;;;;1.0;;;;0.0;0.0;;;;;3.0;-45.0;;7.0;;7.0;;-9.0;0.0;;;0.0;;;;-0.0;1.0;-0.0;;;;0.0;;7.0;;;-0.0;-1.0;6.0;8.0;;0.85;0.22;-4.75;-3.92;;0.0;2.39;2.0;-3.6;-0.2;;1.0;-2167.5;0.0;-11.0;;-2197.0;6.0;;6.0;-186.2;-144.3;-198.5;100.0;;0.849
2008.0;0.0;0.0;-13.0;-12.0;-13.0;-13.0;3.0;11.0;11.0;1.0;2.0;9.0;-9.0;-0.0;13.0;4.0;-9.0;;100.0;13.0;6.0;;;;7.0;13.0;;;0.0;-2757.01;-2588.19;-1.0;-2762.17;;-2762.17;-4.61;-4.61;3.0;;11.0;;11.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;1.0;;;;0.0;;;;1.0;1.0;;;;;-63.0;6.0;;11.0;;11.0;;-13.0;0.0;;;-1.0;;;;0.0;5.0;-0.0;;;;-0.0;;14.0;;;-1.0;-0.0;11.0;7.0;;0.96;0.17;-4.67;-3.25;;0.02;3.4;3.0;-4.9;-0.2;;0.0;-2588.2;0.0;-14.0;;-2762.2;11.0;;10.0;-126.4;-115.9;-137.4;100.0;;0.958
2009.0;0.0;0.0;-6.0;-7.0;-6.0;-6.0;3.0;4.0;4.0;1.0;1.0;3.0;-6.0;-0.0;0.0;-6.0;-6.0;;100.0;7.0;2.0;4.0;4.0;0.0;1.0;7.0;;;0.0;-1748.88;-1935.69;1.0;-1756.87;;-1756.87;-1.94;-1.94;3.0;;3.0;;3.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;;0.0;;;;0.0;0.0;;;;;-59.0;-0.0;;4.0;;4.0;;-6.0;0.0;;;-0.0;;;;0.0;0.0;-0.0;;;;;;;;;0.0;0.0;3.0;9.0;;0.81;0.13;-2.23;-2.08;;0.01;1.11;3.0;-4.4;-0.1;;0.0;-1935.7;0.0;-8.0;;-1756.9;4.0;;4.0;-198.1;-163.6;-200.6;100.0;;0.807
2010.0;0.0;0.0;-4.0;-4.0;-4.0;-4.0;4.0;6.0;6.0;1.0;1.0;4.0;-4.0;-0.0;5.0;1.0;-4.0;;100.0;4.0;0.0;3.0;3.0;0.0;1.0;4.0;;;0.0;-2265.79;-2279.38;-0.0;-2282.2;;-2282.2;-1.09;-1.09;4.0;;4.0;;4.0;0.0;;1.0;0.0;;;;;;0.0;0.0;;1.0;;;;0.0;;;;0.0;0.0;;;;;-66.0;-0.0;;6.0;;6.0;;-4.0;0.0;;;-0.0;-0.0;;1.0;0.0;1.0;-0.0;;;;;;5.0;;;-0.0;-0.0;4.0;4.0;;0.84;0.06;-1.29;-1.25;;0.01;1.38;4.0;-6.5;-0.3;;0.0;-2279.4;0.0;-5.0;;-2282.2;5.0;;5.0;-92.6;-72.1;-93.8;100.0;;0.84
