;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
2010.0;525.0;57.0;3.0;-31.0;-59.0;-59.0;110.0;119.0;737.0;203.0;629.0;108.0;7.0;-253.0;204.0;-42.0;-227.0;468.0;10.79;87.0;;33.0;;33.0;55.0;555.0;3.0;31.0;31.0;0.66;-5.84;-28.0;-11.2;;-11.2;-0.53;-0.53;110.0;;58.0;6.0;65.0;45.0;6.0;3.0;549.0;;7.0;7.0;25.0;;37.0;619.0;;59.0;44.0;6.0;57.0;43.0;426.0;;;0.0;426.0;;;;241.0;-134.0;1.0;;737.0;;737.0;;-59.0;31.0;;1.0;40.0;-5.0;-2.0;29.0;21.0;-6.0;-234.0;;-19.0;;-234.0;-41.0;;;;244.0;;58.0;100.0;;0.6;7.92;-0.89;-3.42;;3.53;1.64;110.0;;;;871.0;-5.8;51.0;-98.0;;-11.2;-140.0;707.0;180.0;-5.1;-3.7;-54.2;100.0;;0.603
2011.0;924.0;139.0;44.0;13.0;-57.0;-57.0;110.0;266.0;1054.0;313.0;1023.0;31.0;-31.0;-274.0;324.0;19.0;-301.0;784.0;15.09;126.0;;50.0;;50.0;76.0;910.0;5.0;54.0;47.0;4.81;1.46;-70.0;-6.13;;-6.13;-0.51;-0.51;110.0;;71.0;22.0;92.0;146.0;10.0;17.0;709.0;;;9.0;10.0;;59.0;788.0;;106.0;89.0;7.0;73.0;45.0;684.0;;1.0;25.0;710.0;;;;215.0;-176.0;-8.0;;1054.0;;1054.0;;-57.0;47.0;;2.0;-47.0;-104.0;-6.0;54.0;22.0;22.0;-270.0;;-5.0;1.0;-270.0;-163.0;;;;487.0;;71.0;52.0;;0.54;15.65;-0.96;-5.11;;4.57;0.53;110.0;;;;1721.0;1.5;88.0;-105.0;;-6.1;-88.0;1274.0;58.0;-0.3;-0.2;-180.6;100.0;;0.537
2012.0;1326.0;188.0;34.0;4.0;-84.0;-83.0;110.0;494.0;2318.0;961.0;2147.0;171.0;-9.0;-191.0;268.0;68.0;-228.0;1138.0;14.16;184.0;;64.0;;64.0;119.0;1322.0;4.0;66.0;52.0;2.54;0.32;-88.0;-6.33;-1.0;-6.29;-0.76;-0.76;110.0;;132.0;47.0;179.0;210.0;33.0;72.0;1209.0;368.0;54.0;422.0;8.0;;186.0;1825.0;;227.0;365.0;44.0;191.0;179.0;1094.0;;40.0;52.0;1186.0;;;;231.0;-243.0;183.0;;2318.0;;2318.0;;-83.0;52.0;-1.0;2.0;-11.0;-15.0;-4.0;-40.0;95.0;32.0;-219.0;51.0;-9.0;;-233.0;-91.0;;;;359.0;;132.0;64.0;;0.49;24.71;-1.55;-4.25;;4.09;3.19;110.0;;;;2717.0;0.3;106.0;-171.0;0.7;-6.3;-957.0;2242.0;351.0;-1.3;-0.8;-48.7;100.0;;0.488
2013.0;2216.0;464.0;236.0;198.0;41.0;9.0;110.0;569.0;2376.0;1114.0;2174.0;202.0;260.0;-200.0;56.0;116.0;90.0;1752.0;20.92;265.0;;88.0;;88.0;177.0;2017.0;5.0;111.0;85.0;10.67;8.95;-157.0;1.84;32.0;0.4;0.08;0.08;110.0;;231.0;85.0;316.0;184.0;36.0;33.0;1115.0;319.0;55.0;374.0;29.0;;289.0;1807.0;;294.0;332.0;40.0;259.0;229.0;953.0;;64.0;43.0;1060.0;;;;201.0;-202.0;203.0;;2376.0;;2376.0;;9.0;85.0;-3.0;1.0;86.0;-8.0;-12.0;97.0;93.0;83.0;-170.0;;-66.0;0.0;-135.0;-366.0;;;;422.0;;231.0;115.0;;0.42;47.59;0.19;1.94;;3.66;4.33;110.0;;;;5234.0;8.9;200.0;21.0;78.5;0.4;-1287.0;2251.0;476.0;2.6;6.4;4.3;100.0;;0.423
2014.0;2183.0;399.0;189.0;151.0;-33.0;-24.0;110.0;687.0;2347.0;1073.0;2191.0;157.0;112.0;-264.0;93.0;-59.0;-57.0;1784.0;18.29;248.0;;112.0;22.0;90.0;136.0;2032.0;14.0;148.0;74.0;8.67;6.91;-184.0;-1.51;-8.0;-1.12;-0.22;-0.22;110.0;;146.0;194.0;341.0;258.0;33.0;54.0;940.0;283.0;52.0;335.0;19.0;;367.0;1661.0;;332.0;214.0;35.0;313.0;215.0;1013.0;;44.0;60.0;1117.0;;;;178.0;-204.0;182.0;;2347.0;;2347.0;;-24.0;74.0;-10.0;2.0;-7.0;-83.0;-2.0;71.0;-13.0;77.0;-168.0;;-541.0;433.0;13.0;-585.0;0.0;;;678.0;;146.0;206.0;;0.38;52.76;-0.59;-1.37;;4.07;3.79;110.0;;;;5803.0;6.9;198.0;-65.0;25.6;-1.1;-1029.0;2692.0;416.0;6.7;4.9;-15.6;100.0;;0.376
2015.0;1579.0;145.0;-44.0;-42.0;-272.0;-271.0;110.0;468.0;1979.0;1025.0;2078.0;-99.0;-100.0;-137.0;293.0;62.0;-415.0;1434.0;9.18;187.0;;65.0;;65.0;122.0;1622.0;11.0;173.0;55.0;-2.77;-2.68;-230.0;-17.22;-1.0;-17.18;-2.47;-2.47;110.0;;161.0;28.0;189.0;175.0;23.0;81.0;897.0;190.0;43.0;233.0;3.0;;378.0;1510.0;;266.0;315.0;26.0;222.0;222.0;899.0;;32.0;122.0;1053.0;;;;121.0;-408.0;188.0;;1979.0;;1979.0;;-271.0;55.0;-1.0;2.0;-12.0;0.0;-1.0;43.0;-12.0;126.0;-315.0;;-136.0;251.0;49.0;-272.0;79.0;;;486.0;7.0;161.0;98.0;;0.25;56.9;-9.77;-14.95;;11.33;-3.57;110.0;;;;6258.0;-2.7;218.0;-1075.0;0.2;-17.2;-2205.0;3562.0;-392.0;-10.3;-5.0;274.1;100.0;;0.252
2016.0;2048.0;331.0;286.0;106.0;5.0;-39.0;110.0;587.0;2580.0;1111.0;2272.0;308.0;9.0;-198.0;162.0;-27.0;-126.0;1718.0;16.15;225.0;;107.0;22.0;85.0;118.0;1943.0;12.0;188.0;92.0;13.97;5.16;-100.0;0.26;44.0;-1.89;-0.35;-0.35;110.0;;169.0;118.0;287.0;220.0;33.0;47.0;1056.0;231.0;58.0;289.0;265.0;;383.0;1993.0;;318.0;303.0;22.0;292.0;199.0;936.0;;79.0;145.0;1161.0;;;;457.0;-536.0;386.0;;2580.0;;2580.0;;-39.0;92.0;42.0;3.0;80.0;-6.0;-5.0;-5.0;-18.0;-168.0;-136.0;;-341.0;116.0;163.0;-476.0;446.0;-106.0;;298.0;;169.0;195.0;;0.31;60.64;-1.15;-3.74;;4.02;9.11;110.0;;;;6670.0;5.2;301.0;-126.0;815.0;-1.9;-1707.0;3049.0;1002.0;-94.3;7.5;-12.6;100.0;;0.307
2017.0;2352.0;527.0;399.0;261.0;180.0;160.0;108.0;998.0;3115.0;1007.0;2259.0;855.0;89.0;-295.0;259.0;64.0;-106.0;1824.0;22.43;266.0;;116.0;22.0;93.0;150.0;2090.0;15.0;128.0;91.0;16.98;11.11;-81.0;7.67;21.0;6.79;1.52;1.49;105.0;;230.0;315.0;546.0;332.0;45.0;74.0;1004.0;227.0;63.0;290.0;252.0;;571.0;2117.0;;288.0;172.0;16.0;389.0;159.0;882.0;;121.0;250.0;1252.0;;;;653.0;-367.0;570.0;-1.0;3115.0;;3115.0;;160.0;91.0;22.0;8.0;-110.0;-73.0;-11.0;-28.0;-25.0;-81.0;-195.0;;-1109.0;956.0;37.0;-677.0;372.0;-14.0;;579.0;11.0;230.0;166.0;;0.3;74.05;5.03;-3.33;;6.14;26.94;105.0;4.9;0.2;;7790.0;11.1;300.0;529.0;11.5;6.8;-30.0;2922.0;2834.0;13.0;9.9;18.7;100.0;338.0;0.302
2018.0;2358.0;456.0;318.0;135.0;155.0;108.0;114.0;907.0;3038.0;1045.0;2223.0;815.0;114.0;15.0;-42.0;105.0;-106.0;1902.0;19.33;270.0;;122.0;27.0;95.0;148.0;2173.0;8.0;79.0;84.0;13.5;5.74;20.0;6.58;47.0;4.59;1.61;1.58;113.0;;301.0;133.0;434.0;349.0;52.0;73.0;847.0;194.0;68.0;262.0;332.0;;690.0;2131.0;;342.0;86.0;17.0;431.0;186.0;868.0;;135.0;174.0;1178.0;;;;569.0;-215.0;464.0;-3.0;3038.0;;3038.0;;108.0;84.0;44.0;6.0;-53.0;-41.0;-14.0;79.0;-16.0;-75.0;-220.0;;-732.0;874.0;68.0;-279.0;;-3.0;;241.0;17.0;301.0;196.0;;0.26;81.31;3.73;-3.66;;7.59;28.11;113.0;6.5;0.3;;9153.0;5.7;325.0;420.0;30.2;4.6;-535.0;3371.0;3164.0;8.2;7.7;13.3;100.0;-3.0;0.258
2019.0;2847.0;314.0;567.0;-297.0;-631.0;-598.0;114.0;1030.0;4776.0;1707.0;5652.0;-876.0;646.0;-295.0;-227.0;119.0;257.0;2533.0;11.03;611.0;;110.0;;110.0;501.0;3144.0;3.0;285.0;913.0;19.92;-10.45;-334.0;-22.17;-33.0;-21.0;1.8;1.79;114.0;;410.0;15.0;425.0;343.0;65.0;196.0;2377.0;187.0;83.0;271.0;348.0;;751.0;3747.0;;405.0;514.0;16.0;521.0;267.0;3373.0;;60.0;511.0;3945.0;;3012.0;;558.0;-1870.0;440.0;-4.0;4776.0;;4776.0;;-598.0;913.0;-34.0;4.0;58.0;-25.0;-20.0;43.0;-24.0;302.0;-388.0;;-337.0;428.0;-31.0;-385.0;9.0;-3.0;;151.0;-4.0;410.0;291.0;;0.25;100.52;-21.11;9.09;;13.71;-30.91;114.0;-1.6;-0.1;;11442.0;-10.4;3671.0;-2403.0;5.3;-21.0;-2723.0;13558.0;-3519.0;-10.7;-7.2;68.3;100.0;;0.249
