;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
2012.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;0.0;;0.0;;;0.0;0.0;;;;0.0;;0.0;;0.0;;0.0;0.0;;;;0.0;;;;0.0;-1.0;;1.0;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013.0;;;-4.0;-4.0;-4.0;-4.0;22.0;6.0;6.0;5.0;6.0;-0.0;-3.0;-0.0;9.0;5.0;-3.0;;;4.0;4.0;1.0;1.0;;-0.0;4.0;0.0;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-0.2;-0.2;22.0;;6.0;;6.0;0.0;;0.0;0.0;;0.0;0.0;;;;0.0;;1.0;4.0;0.0;;0.0;1.0;;;;1.0;;0.0;;0.0;-5.0;0.0;5.0;6.0;;6.0;;-4.0;0.0;;0.0;1.0;;;;;0.0;-0.0;;;;;;4.0;;;5.0;;6.0;0.0;;1.37;;-0.15;-0.11;;0.01;-0.0;22.0;;;;;-inf;0.0;-3.0;;-inf;1.0;1.0;-0.0;-356.4;-71.4;3655.1;100.0;;1.375
2014.0;;0.0;-20.0;-20.0;-15.0;-15.0;11.0;138.0;139.0;4.0;7.0;132.0;-17.0;-1.0;145.0;131.0;-19.0;;inf;20.0;12.0;8.0;8.0;;;20.0;0.0;0.0;0.0;-inf;-inf;5.0;-inf;;-inf;-1.32;-1.32;11.0;;136.0;;136.0;1.0;;0.0;1.0;;0.0;0.0;;;;2.0;;2.0;0.0;0.0;;2.0;3.0;;;;3.0;;0.0;;1.0;-19.0;1.0;149.0;139.0;;139.0;;-15.0;0.0;;1.0;1.0;;;;;-5.0;-1.0;;;;-0.0;-0.0;143.0;;;2.0;5.0;136.0;5.0;;1.21;;-1.09;-1.42;;0.11;9.87;11.0;-14.7;-0.8;;;-inf;0.0;-12.0;;-inf;111.0;3.0;109.0;-14.5;-14.1;-11.1;100.0;;1.21
2015.0;;;-28.0;-29.0;-23.0;-23.0;23.0;106.0;109.0;6.0;11.0;98.0;-26.0;-1.0;2.0;-19.0;-28.0;;;29.0;25.0;7.0;7.0;;-3.0;29.0;1.0;0.0;1.0;-inf;-inf;7.0;-inf;;-inf;-0.97;-0.97;23.0;;103.0;;103.0;2.0;;2.0;2.0;;0.0;0.0;;;;3.0;;1.0;0.0;0.0;0.0;5.0;5.0;;;;5.0;;0.0;;1.0;-40.0;0.0;136.0;109.0;;109.0;;-23.0;1.0;;1.0;1.0;;;;;-6.0;-1.0;;;;-0.0;-0.0;;;;2.0;7.0;103.0;122.0;;1.09;;-0.89;-1.09;;0.06;3.85;23.0;-19.0;-0.9;;;-inf;0.0;-21.0;;-inf;92.0;5.0;90.0;-28.0;-26.5;-23.2;100.0;;1.086
2016.0;;;-40.0;-42.0;-41.0;-41.0;23.0;65.0;69.0;7.0;13.0;56.0;-36.0;-3.0;0.0;-37.0;-39.0;;;42.0;34.0;10.0;10.0;;-2.0;42.0;0.0;1.0;1.0;-inf;-inf;0.0;-inf;;-inf;-1.77;-1.77;23.0;;62.0;;62.0;2.0;;1.0;4.0;;0.0;0.0;;;;4.0;;0.0;;0.0;;7.0;6.0;;;;6.0;;;;1.0;-80.0;-0.0;135.0;69.0;;69.0;;-41.0;1.0;;3.0;2.0;;;;;-0.0;-3.0;;;;;-0.0;;;;0.0;1.0;62.0;100.0;;1.05;;-1.67;-1.57;;0.11;2.28;23.0;-3.2;-0.1;;;-inf;1.0;-39.0;;-inf;55.0;6.0;53.0;-66.8;-60.0;-73.6;100.0;;1.051
2017.0;;;-47.0;-49.0;-52.0;-52.0;25.0;61.0;64.0;10.0;17.0;47.0;-42.0;-0.0;32.0;-13.0;-42.0;;;49.0;37.0;13.0;13.0;;-1.0;49.0;0.0;1.0;1.0;-inf;-inf;-4.0;-inf;0.0;-inf;-2.06;-2.06;25.0;;58.0;;58.0;1.0;;2.0;3.0;;0.0;0.0;;;;3.0;;1.0;2.0;1.0;0.0;7.0;6.0;;;;6.0;;;;2.0;-143.0;10.0;178.0;64.0;-0.0;64.0;;-52.0;1.0;;5.0;0.0;;;;;4.0;-0.0;;;;;;31.0;;;1.0;-3.0;58.0;71.0;;1.2;;-1.72;-1.38;;0.0;1.55;25.0;-2.7;-0.1;;;-inf;1.0;-44.0;-0.0;-inf;42.0;5.0;39.0;-90.5;-76.0;-110.9;100.0;;1.2
2018.0;;;-40.0;-42.0;-43.0;-42.0;34.0;124.0;126.0;9.0;20.0;107.0;-33.0;-0.0;99.0;66.0;-33.0;;;42.0;34.0;14.0;14.0;;-6.0;42.0;0.0;1.0;1.0;-inf;-inf;-1.0;-inf;0.0;-inf;-1.25;-1.25;34.0;;121.0;;121.0;2.0;;1.0;2.0;;;;;;;2.0;;0.0;;;1.0;9.0;11.0;;;;11.0;;;;2.0;-178.0;12.0;270.0;127.0;-0.0;126.0;;-42.0;1.0;;6.0;1.0;;;;;1.0;-0.0;;;;;;97.0;;;3.0;-0.0;121.0;55.0;;1.15;;-1.08;-0.85;;0.01;2.73;34.0;-8.6;-0.3;;;-inf;1.0;-37.0;-0.0;-inf;100.0;9.0;93.0;-35.3;-32.7;-39.7;100.0;;1.147
2019.0;;;-61.0;-64.0;-63.0;-63.0;41.0;129.0;132.0;12.0;27.0;106.0;-49.0;-1.0;56.0;7.0;-50.0;;;64.0;52.0;14.0;14.0;;-2.0;64.0;1.0;1.0;2.0;-inf;-inf;1.0;-inf;0.0;-inf;-1.55;-1.55;41.0;;125.0;;125.0;1.0;;2.0;3.0;;;;0.0;;;3.0;;0.0;1.0;0.0;1.0;10.0;14.0;;;;14.0;;1.0;;2.0;-237.0;19.0;322.0;132.0;-1.0;132.0;;-63.0;2.0;;10.0;2.0;;;;;-0.0;-1.0;;;;;-1.0;54.0;;;3.0;1.0;125.0;118.0;;1.12;;-1.38;-1.09;;0.01;2.3;41.0;-7.8;-0.3;;;-inf;2.0;-56.0;-0.2;-inf;104.0;13.0;94.0;-52.7;-47.7;-59.9;100.0;;1.121
2020.0;;;-49.0;-52.0;-57.0;-57.0;50.0;98.0;121.0;13.0;52.0;70.0;-57.0;-1.0;18.0;-44.0;-59.0;;;52.0;47.0;17.0;17.0;;-12.0;52.0;0.0;2.0;3.0;-inf;-inf;-5.0;-inf;0.0;-inf;-1.14;-1.14;50.0;;93.0;;93.0;1.0;;4.0;23.0;;;;0.0;;;23.0;;0.0;3.0;0.0;1.0;9.0;39.0;;;;39.0;;21.0;;3.0;-315.0;29.0;353.0;121.0;-1.0;121.0;;-57.0;3.0;0.0;10.0;-6.0;;;;;-7.0;-1.0;;;;;-1.0;;;;18.0;-3.0;93.0;137.0;;1.22;;-0.93;-0.96;;0.02;1.14;50.0;-6.2;-0.2;;;-inf;2.0;-47.0;-0.3;-inf;70.0;32.0;57.0;-47.9;-42.8;-81.6;100.0;;1.221
2021.0;2.0;;-67.0;-65.0;-70.0;-70.0;50.0;218.0;238.0;31.0;110.0;129.0;-30.0;-0.0;156.0;127.0;-30.0;;;67.0;48.0;20.0;20.0;;-1.0;67.0;;;3.0;-4370.38;-4223.86;-5.0;-4546.75;0.0;-4551.03;-1.4;-1.4;50.0;;213.0;;213.0;1.0;;4.0;20.0;;;;1.0;;;21.0;;0.0;7.0;1.0;6.0;18.0;61.0;17.0;;;78.0;;19.0;;;;;;239.0;-1.0;238.0;;-70.0;3.0;0.0;7.0;28.0;;;;;2.0;-1.0;;;;0.0;-1.0;123.0;;;33.0;1.0;213.0;86.0;;1.14;0.03;-1.23;-0.53;;0.01;2.27;50.0;-5.3;-0.2;;1.0;-4223.9;2.0;-62.0;-0.2;-4551.0;164.0;54.0;114.0;-33.7;-29.3;-54.1;100.0;;1.137
