;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ZAR/USD)
2010.0;1812.0;292.0;529.0;266.0;243.0;139.0;294.0;;;;;;455.0;-605.0;155.0;17.0;71.0;1520.0;16.13;27.0;;16.0;16.0;;11.0;1546.0;;27.0;279.0;29.2;14.66;-23.0;13.39;84.0;7.65;0.47;0.47;294.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;139.0;279.0;84.0;30.0;16.0;-93.0;-8.0;126.0;-9.0;-92.0;-385.0;;-7.0;;-213.0;-283.0;;;-121.0;559.0;12.0;117.0;100.0;;0.13;47.32;3.62;1.85;3.17;10.05;;294.0;;;;13905.0;14.7;2139.0;1064.0;34.8;7.7;;;;;;;12.6;171.4;0.13
2011.0;2288.0;573.0;829.0;552.0;501.0;339.0;294.0;225.0;2467.0;2937.0;3785.0;-1318.0;865.0;-414.0;-544.0;-108.0;463.0;1715.0;25.03;21.0;;7.0;7.0;;14.0;1736.0;;2.0;322.0;36.25;24.13;-52.0;21.88;167.0;14.81;1.15;1.15;294.0;;44.0;;44.0;132.0;31.0;18.0;2078.0;;;;164.0;;;2242.0;;66.0;;90.0;;2871.0;;;706.0;142.0;848.0;;;;;-1701.0;280.0;;2467.0;;2467.0;;339.0;322.0;75.0;33.0;98.0;55.0;-7.0;-15.0;0.0;-1.0;-402.0;;-13.0;;2.0;-266.0;;;-334.0;55.0;-16.0;44.0;153.0;;0.12;63.17;9.36;12.78;9.21;11.11;-36.38;294.0;;;;18565.0;24.1;2613.0;2750.0;33.3;14.8;-22004.0;;-10692.0;-72.1;20.6;-25.7;1.5;72.1;0.123
2012.0;2015.0;354.0;611.0;331.0;283.0;361.0;294.0;216.0;2455.0;2211.0;3417.0;-962.0;408.0;-381.0;-42.0;-11.0;30.0;1661.0;17.56;23.0;;9.0;9.0;;14.0;1684.0;;14.0;303.0;30.34;16.42;-48.0;14.02;-67.0;17.92;1.23;1.23;294.0;;34.0;;34.0;120.0;41.0;22.0;2061.0;;;;178.0;;;2238.0;;52.0;;11.0;;2159.0;491.0;;554.0;160.0;1206.0;;;;;-1439.0;340.0;;2455.0;;2455.0;;361.0;303.0;-67.0;32.0;-78.0;-42.0;-12.0;-25.0;0.0;-142.0;-378.0;;-3.0;;1.0;-520.0;;;-95.0;573.0;4.0;34.0;44.0;;0.12;58.3;10.45;0.87;2.75;10.94;-27.84;294.0;;;;17133.0;16.4;2578.0;3070.0;-23.8;17.9;-16964.0;4175.0;-8182.0;156.8;12.6;-37.5;73.6;317.3;0.118
2013.0;1992.0;370.0;638.0;350.0;258.0;223.0;176.0;286.0;2134.0;353.0;1071.0;1062.0;687.0;-355.0;-241.0;70.0;388.0;1622.0;18.58;20.0;;6.0;6.0;;14.0;1642.0;;34.0;341.0;32.01;17.59;-92.0;12.97;40.0;11.22;1.31;1.27;173.0;;104.0;;104.0;87.0;18.0;77.0;1649.0;;;;176.0;;23.0;1848.0;;51.0;48.0;73.0;;254.0;143.0;;432.0;144.0;719.0;;;;1934.0;-1232.0;201.0;;2134.0;;2134.0;;223.0;341.0;-44.0;32.0;132.0;14.0;17.0;28.0;-1.0;4.0;-299.0;;-18.0;;-38.0;-2933.0;1934.0;;-27.0;785.0;-21.0;104.0;34.0;;0.09;121.78;13.66;23.73;1.64;18.28;64.94;173.0;0.3;0.0;35.6;21013.0;17.6;3596.0;2357.0;15.3;11.2;-706.0;1505.0;11205.0;14.1;13.9;21.0;88.0;-491.4;0.095
2014.0;1882.0;327.0;507.0;275.0;202.0;134.0;227.0;168.0;2412.0;308.0;1118.0;1295.0;350.0;-372.0;-58.0;-80.0;69.0;1555.0;17.37;51.0;;36.0;36.0;;15.0;1606.0;;20.0;281.0;26.93;14.64;-74.0;10.72;72.0;7.12;0.61;0.59;222.0;;49.0;5.0;54.0;80.0;28.0;6.0;1961.0;64.0;;64.0;215.0;4.0;;2245.0;;47.0;48.0;7.0;;214.0;226.0;;334.0;249.0;809.0;;;;1878.0;-855.0;244.0;;2412.0;;2412.0;;134.0;281.0;;36.0;19.0;14.0;-5.0;10.0;;-120.0;-281.0;-33.0;;;-59.0;-198.0;;;;140.0;;49.0;129.0;;0.09;98.25;7.0;3.62;;14.66;67.6;222.0;1.2;0.1;;21781.0;14.6;3255.0;1552.0;35.5;7.1;-1630.0;2616.0;14986.0;6.9;9.3;10.4;100.0;;0.086
2015.0;1466.0;148.0;328.0;116.0;59.0;46.0;243.0;178.0;1825.0;345.0;857.0;967.0;227.0;-216.0;-1.0;10.0;11.0;1318.0;10.12;32.0;;18.0;18.0;;14.0;1350.0;;23.0;235.0;22.37;7.93;-57.0;4.03;24.0;3.16;0.19;0.19;242.0;;46.0;;46.0;97.0;26.0;8.0;1429.0;48.0;;48.0;167.0;4.0;;1647.0;;33.0;129.0;8.0;;184.0;117.0;;230.0;165.0;512.0;;;;1403.0;-632.0;190.0;;1825.0;;1825.0;;46.0;235.0;;18.0;-43.0;-41.0;-5.0;3.0;;-29.0;-216.0;;;;0.0;-102.0;;;;100.0;;46.0;36.0;;0.06;93.92;2.96;0.7;;13.83;61.95;242.0;2.4;0.1;;22717.0;7.9;3637.0;717.0;41.2;3.2;-2597.0;1808.0;14985.0;3.7;5.1;4.8;100.0;;0.065
2016.0;2273.0;432.0;719.0;396.0;328.0;269.0;245.0;560.0;3035.0;454.0;1820.0;1215.0;321.0;-687.0;396.0;18.0;19.0;1840.0;19.02;36.0;;36.0;36.0;;;1876.0;;66.0;294.0;31.66;17.44;-68.0;14.45;90.0;11.85;1.1;1.1;244.0;;70.0;;70.0;419.0;49.0;22.0;1982.0;68.0;;68.0;383.0;17.0;26.0;2475.0;;82.0;55.0;5.0;;317.0;598.0;;342.0;426.0;1367.0;;;;1581.0;-584.0;217.0;;3035.0;;3035.0;;269.0;294.0;;36.0;-17.0;-16.0;-3.0;1.0;;-262.0;-302.0;-386.0;;;1.0;-861.0;;;;1257.0;-11.0;70.0;52.0;;0.07;127.8;15.14;1.04;;16.98;68.31;244.0;0.8;0.0;;31241.0;17.4;4042.0;3702.0;27.5;11.8;1467.0;8222.0;16697.0;11.9;14.0;22.2;100.0;;0.073
2017.0;3706.0;269.0;-395.0;128.0;-596.0;-358.0;503.0;969.0;6141.0;681.0;4204.0;1937.0;221.0;-2272.0;2164.0;88.0;-271.0;3438.0;7.25;141.0;;108.0;108.0;;33.0;3578.0;;201.0;;-10.66;3.46;-724.0;-16.07;-238.0;-9.67;-0.71;-0.71;503.0;;166.0;;166.0;498.0;285.0;20.0;4153.0;516.0;;516.0;463.0;17.0;23.0;5172.0;;140.0;134.0;3.0;;408.0;1937.0;;688.0;898.0;3523.0;;;;2799.0;-1070.0;207.0;;6141.0;;6141.0;;-358.0;;;;-42.0;-17.0;-76.0;51.0;;622.0;-492.0;-2066.0;;291.0;-5.0;-4498.0;1085.0;;;5577.0;-25.0;166.0;78.0;;0.08;91.31;-8.83;-6.68;;12.13;47.73;503.0;-0.7;-0.0;;45912.0;3.5;;-4437.0;39.9;-9.7;3567.0;23992.0;23998.0;-4.3;-6.4;-18.5;100.0;;0.081
2018.0;3523.0;161.0;533.0;69.0;-100.0;-174.0;574.0;1057.0;5906.0;1018.0;4187.0;1720.0;848.0;-539.0;-285.0;34.0;356.0;3362.0;4.57;92.0;;22.0;22.0;;71.0;3455.0;;172.0;460.0;15.14;1.95;-169.0;-2.84;75.0;-4.93;-0.31;-0.31;566.0;;177.0;;177.0;491.0;368.0;21.0;3793.0;479.0;;479.0;549.0;5.0;23.0;4850.0;;153.0;430.0;6.0;2.0;432.0;1274.0;454.0;706.0;735.0;3169.0;;;;2411.0;-1078.0;321.0;;5906.0;;5906.0;;-174.0;460.0;;21.0;-74.0;-32.0;-64.0;22.0;;616.0;-492.0;35.0;;0.0;-81.0;-1477.0;;;;1191.0;9.0;177.0;143.0;;0.07;89.5;-4.42;9.04;;12.51;43.69;566.0;-0.7;-0.0;;50656.0;1.9;6614.0;-2500.0;-75.4;-4.9;563.0;18317.0;24724.0;2.6;1.2;-10.1;100.0;;0.07
2019.0;5208.0;656.0;566.0;582.0;-93.0;4.0;645.0;1868.0;7218.0;1023.0;4994.0;2224.0;676.0;-347.0;-105.0;219.0;126.0;4552.0;12.59;74.0;;23.0;23.0;;50.0;4626.0;;170.0;515.0;10.87;11.17;-675.0;-1.78;-124.0;0.09;0.01;0.01;627.0;;401.0;;401.0;328.0;1107.0;32.0;4130.0;490.0;;490.0;660.0;21.0;49.0;5349.0;;229.0;11.0;42.0;91.0;693.0;1712.0;475.0;492.0;1291.0;3971.0;;;;2904.0;-1102.0;317.0;;7218.0;;7218.0;;4.0;515.0;;26.0;-45.0;;-357.0;;;175.0;-550.0;185.0;;;18.0;-1581.0;121.0;;;1355.0;-4.0;401.0;182.0;;0.07;116.33;0.1;2.8;;12.29;49.67;627.0;51.9;2.1;;72925.0;11.2;7214.0;62.0;133.3;0.1;11837.0;23971.0;31138.0;-0.3;0.7;0.2;100.0;-96.0;0.071
