;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno
2011.0;12.0;;11.0;;9.0;8.0;1.0;;95.0;33.0;35.0;59.0;9.0;-5.0;-1.0;3.0;9.0;;;;;1.0;1.0;0.0;;;11.0;2.0;0.0;95.64;;;81.61;1.0;71.37;5.71;5.71;1.0;;4.0;;4.0;1.0;;;0.0;;;;;;;;95.0;9.0;24.0;0.0;;;;1.0;0.0;;;3.0;;;0.0;8.0;7.0;44.0;95.0;;95.0;;8.0;0.0;0.0;;0.0;0.0;;;-33.0;0.0;-0.0;;;;-5.0;-38.0;;;-4.0;41.0;0.0;4.0;1.0;;
2012.0;13.0;;11.0;10.0;10.0;8.0;2.0;;100.0;30.0;33.0;67.0;8.0;-6.0;-4.0;-2.0;8.0;;;;;2.0;2.0;0.0;;;12.0;1.0;0.0;87.6;77.1;;77.1;2.0;63.96;5.22;5.22;2.0;;2.0;;2.0;1.0;;;0.0;;;;;;;;100.0;9.0;21.0;0.0;;;;1.0;0.0;;;3.0;;0.0;0.0;15.0;8.0;44.0;100.0;;100.0;;8.0;0.0;0.0;;3.0;-0.0;;;-30.0;-3.0;-0.0;;;;-6.0;-27.0;;;-1.0;24.0;-0.0;2.0;4.0;;
2013.0;13.0;12.0;10.0;9.0;9.0;8.0;2.0;11.0;113.0;26.0;28.0;85.0;7.0;-2.0;3.0;8.0;7.0;1.0;91.36;5.0;;2.0;2.0;;3.0;1.0;12.0;1.0;0.0;78.3;68.86;;68.86;1.0;58.33;4.04;4.04;2.0;;9.0;;9.0;2.0;;-1.0;0.0;;;;;;102.0;102.0;;10.0;16.0;0.0;;;;0.0;0.0;-0.0;0.0;2.0;;;0.0;20.0;12.0;53.0;113.0;;113.0;;8.0;0.0;0.0;;15.0;-0.0;;;-16.0;-16.0;-0.0;;;;-2.0;-21.0;9.0;;;15.0;0.0;9.0;2.0;;
2014.0;6.0;6.0;-27.0;-28.0;-28.0;-27.0;2.0;6.0;83.0;14.0;20.0;64.0;3.0;-7.0;-0.0;-4.0;3.0;1.0;85.99;6.0;;1.0;1.0;;5.0;1.0;7.0;1.0;0.0;-420.14;-435.89;;-435.89;-1.0;-424.63;-11.76;-11.76;2.0;;5.0;;5.0;7.0;;-5.0;0.0;;0.0;0.0;4.0;;73.0;77.0;;3.0;11.0;0.0;;;;0.0;0.0;-0.0;0.0;7.0;;;0.0;-7.0;11.0;59.0;84.0;-1.0;83.0;;-27.0;0.0;-1.0;;8.0;1.0;;;-8.0;23.0;-0.0;;;;-7.0;-16.0;;;;16.0;-0.0;5.0;9.0;;
2015.0;3.0;2.0;-58.0;-59.0;-59.0;-61.0;2.0;3.0;24.0;4.0;24.0;2.0;0.0;3.0;-9.0;-5.0;0.0;0.0;81.23;62.0;;1.0;1.0;;61.0;1.0;3.0;0.0;0.0;-2196.91;-2220.47;;-2220.47;2.0;-2314.74;-24.81;-24.81;2.0;;0.0;;0.0;1.0;;2.0;0.0;;0.0;0.0;1.0;;20.0;21.0;;1.0;3.0;0.0;;;;0.0;0.0;-0.0;0.0;20.0;;;0.0;-68.0;10.0;60.0;26.0;-1.0;24.0;;-61.0;0.0;1.0;0.0;7.0;1.0;;;-0.0;53.0;-0.0;;;;4.0;-13.0;;;;5.0;-0.0;0.0;5.0;;
2016.0;1.0;1.0;-2.0;-3.0;-3.0;-3.0;3.0;3.0;21.0;;19.0;3.0;-0.0;2.0;-2.0;0.0;-0.0;0.0;97.8;4.0;;2.0;2.0;;2.0;1.0;1.0;0.0;0.0;-185.25;-191.86;;-191.86;;-191.86;-0.68;-0.68;3.0;;1.0;;1.0;1.0;;1.0;0.0;;;;1.0;;17.0;18.0;;1.0;;0.0;;;;0.0;0.0;-0.0;0.0;19.0;;;0.0;-70.0;10.0;63.0;22.0;-1.0;21.0;;-3.0;0.0;-0.0;2.0;4.0;-0.0;;;3.0;-3.0;-0.0;;;;2.0;-3.0;1.0;;;;0.0;1.0;0.0;;
2017.0;;;-4.0;-4.0;-4.0;-11.0;4.0;3.0;7.0;;12.0;-4.0;-1.0;1.0;2.0;2.0;-1.0;;;4.0;;1.0;1.0;;3.0;1.0;0.0;;0.0;-inf;-inf;;-inf;;-inf;-2.99;-2.99;4.0;;2.0;0.0;3.0;1.0;;-1.0;0.0;;;;0.0;;4.0;5.0;;;;0.0;;;;;;16.0;16.0;;;;0.0;-82.0;10.0;67.0;8.0;-1.0;7.0;;-11.0;0.0;;3.0;-1.0;-0.0;;;3.0;7.0;-0.0;;-0.0;;1.0;;2.0;;;;0.0;2.0;1.0;;
2018.0;;;-2.0;-2.0;-2.0;8.0;5.0;2.0;3.0;0.0;0.0;3.0;-0.0;-2.0;4.0;0.0;-2.0;;;2.0;;2.0;2.0;;0.0;4.0;;;0.0;-inf;-inf;;-inf;-0.0;inf;1.66;1.66;5.0;;2.0;;2.0;;;0.0;2.0;;;;;;;2.0;;;0.0;0.0;0.0;0.0;;;;;;;;;0.0;-25.0;-1.0;29.0;3.0;;3.0;;8.0;0.0;-0.0;;-1.0;;;;1.0;-6.0;-2.0;1.0;;;-0.0;;4.0;;;0.0;-0.0;1.0;1.0;;
2019.0;0.0;0.0;-7.0;-7.0;-7.0;-7.0;8.0;8.0;11.0;5.0;6.0;6.0;-2.0;-9.0;12.0;1.0;-4.0;;100.0;4.0;;4.0;;;;7.0;;0.0;0.0;-1827.19;-1929.87;;-1929.87;0.0;-1931.62;-0.89;-0.89;8.0;;2.0;;2.0;5.0;;0.0;2.0;;;;1.0;;0.0;4.0;;;3.0;0.0;0.0;2.0;0.0;;;;0.0;;;;0.0;-32.0;-0.0;39.0;11.0;-0.0;11.0;;-7.0;0.0;;1.0;1.0;;;;2.0;2.0;-2.0;-1.0;-1.0;;-5.0;-0.0;7.0;;;5.0;0.0;2.0;1.0;;
2020.0;28.0;4.0;-7.0;-2.0;-0.0;-6.0;51.0;78.0;167.0;42.0;47.0;120.0;30.0;-133.0;106.0;1.0;30.0;25.0;12.84;-3.0;;3.0;;;-6.0;22.0;6.0;0.0;1.0;-26.28;-8.49;2.0;-0.79;-2.0;-21.05;-0.12;-0.12;51.0;;3.0;;3.0;;;76.0;;69.0;20.0;89.0;;;;89.0;;;2.0;8.0;;41.0;;;;5.0;5.0;;;;0.0;;8.0;112.0;167.0;;167.0;;-6.0;1.0;-0.0;0.0;34.0;;0.0;;36.0;2.0;;-82.0;;;-50.0;;19.0;;;88.0;-2.0;3.0;2.0;;
