;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (INR/USD)
2009.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010.0;;;;;;;1513.0;;;;;;;;;;;;;;;;;;;;;;;53.59;53.59;;53.59;;52.43;;;1491.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.02;-0.03;;;10.94;1491.0;;;;54.0;53.6;;28.0;2.2;52.4;21.0;;16314.0;0.2;0.2;0.2;100.0;30523.1;
2011.0;;;;;;;1523.0;;;;;;;;;;;;;;;;;;;;;;;80.49;77.15;;29.31;;18.75;;;1523.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.69;2.57;-39.62;;0.88;18.97;1523.0;18.8;1.2;;20864.0;77.1;542.0;3912.0;34.9;18.7;3652.0;159165.0;28906.0;5.6;8.2;13.5;100.0;2.5;
2012.0;;;;;;;1738.0;;;;;;;;;;;;;;;;;;;;;;;82.24;80.23;;22.95;;15.26;;;1738.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.15;2.62;-35.35;;0.86;27.35;1738.0;19.8;1.3;;29809.0;80.2;600.0;4548.0;33.5;15.3;24936.0;157185.0;47527.0;7.7;8.9;9.6;100.0;25.6;
2013.0;;;;;;;1846.0;;;;;;;;;;;;;;;;;;;;;;;208.34;;;60.86;;44.97;;;1844.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.81;3.96;-37.44;;4.38;33.73;1844.0;18.9;1.1;;16244.0;;651.0;7305.0;26.2;45.0;325278.0;284792.0;62202.0;6.7;9.1;11.7;100.0;11.0;
2014.0;;;;;;;1849.0;;;;;;;;;;;;;;;;;;;;;;;199.24;;;41.31;;29.89;;;1846.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.81;3.23;-34.39;1.38;1.44;36.97;1846.0;22.1;1.2;1.9;19968.0;;801.0;5969.0;27.9;29.9;387137.0;361389.0;68257.0;6.3;8.7;8.7;57.4;0.1;
2015.0;407.0;;775.0;;188.0;137.0;1850.0;7333.0;8439.0;;7184.0;1238.0;-1036.0;0.0;1048.0;13.0;-1055.0;;;166.0;;65.0;63.0;2.0;100.0;;910.0;571.0;15.0;190.4;;;46.2;52.0;33.61;0.06;0.06;1848.0;;147.0;;147.0;171.0;;7014.0;113.0;102.0;2.0;104.0;889.0;;;1106.0;9545.0;192.0;;;;;6800.0;;;;6800.0;13984.0;;218.0;275.0;179.0;-42.0;608.0;8423.0;16.0;8439.0;;137.0;15.0;;;-173.0;;;;;-1015.0;-19.0;;-16.0;32.0;4.0;;60.0;;-24.0;1012.0;;137.0;124.0;;0.02;13.76;4.62;-35.68;0.8;0.66;41.87;1848.0;14.3;0.7;1.2;25431.0;;955.0;8547.0;27.6;33.6;458285.0;424991.0;77399.0;6.5;9.0;11.0;82.7;3.4;0.016
2016.0;456.0;;825.0;;189.0;129.0;1861.0;8208.0;9626.0;;8341.0;1270.0;-1349.0;-144.0;1423.0;-70.0;-1363.0;;;190.0;;57.0;54.0;3.0;132.0;;997.0;623.0;13.0;181.0;;;41.51;60.0;28.39;0.05;0.05;1860.0;;67.0;;67.0;183.0;;7959.0;104.0;96.0;1.0;98.0;1216.0;;;1418.0;11043.0;267.0;;;;;7878.0;;;;7878.0;16219.0;;183.0;265.0;179.0;-46.0;688.0;9611.0;15.0;9626.0;;129.0;13.0;;;21.0;;;;;-1512.0;-14.0;;-132.0;;2.0;;32.0;;-55.0;1447.0;;60.0;130.0;;0.02;16.22;4.61;-48.53;1.97;0.5;45.2;1860.0;16.9;0.8;2.5;30181.0;;828.0;8567.0;31.9;28.4;543588.0;521739.0;84086.0;5.8;8.5;10.2;57.1;-1.7;0.015
2017.0;564.0;;886.0;;166.0;160.0;1913.0;9174.0;11131.0;;9715.0;1398.0;-885.0;-325.0;1221.0;11.0;-890.0;;;191.0;;56.0;53.0;3.0;135.0;;1150.0;710.0;10.0;157.06;;;29.37;6.0;28.37;0.07;0.07;1886.0;;97.0;;97.0;204.0;;8873.0;90.0;98.0;2.0;100.0;1767.0;;;1957.0;13088.0;318.0;;;;;9223.0;;;;9223.0;18937.0;;186.0;270.0;282.0;-45.0;705.0;11113.0;18.0;11131.0;;160.0;10.0;;;-90.0;;;;;-965.0;-5.0;;-10051.0;9727.0;5.0;;2.0;;-45.0;1264.0;;72.0;61.0;;0.02;19.47;5.52;-30.74;1.57;0.18;48.28;1886.0;27.4;1.2;1.0;36731.0;;673.0;10422.0;3.4;28.4;597655.0;600831.0;91073.0;7.6;7.9;11.4;71.6;-4.9;0.015
2018.0;703.0;;1094.0;;267.0;224.0;1980.0;11215.0;13715.0;;11608.0;2088.0;-2396.0;238.0;2250.0;91.0;-2409.0;;;234.0;;62.0;57.0;5.0;172.0;;1323.0;819.0;8.0;155.64;;;38.06;42.0;31.93;0.11;0.11;1962.0;;185.0;;185.0;253.0;;10777.0;78.0;98.0;4.0;102.0;2320.0;;;2500.0;16215.0;420.0;;9.0;;;11026.0;;;;11026.0;22634.0;;159.0;307.0;409.0;-46.0;1260.0;13696.0;19.0;13715.0;;224.0;8.0;;2.0;-7.0;;;;;-2623.0;-13.0;;-37.0;271.0;17.0;-148.0;520.0;-28.0;-47.0;1951.0;;161.0;70.0;;0.02;23.31;7.44;-79.91;1.55;0.42;69.25;1962.0;21.2;0.8;1.0;45715.0;;519.0;14595.0;15.8;31.9;729642.0;717398.0;135843.0;6.7;7.9;10.7;79.2;18.5;0.015
